"Stem","commR_17_18","n"
"mooc",46,1
"mooc",54,1
"mooc",84,1
"motion sensor",67,1
"movement",25,1
"multimod",67,1
"multimodal data",87,1
"natural language process",60,1
"natural language process",81,1
"natural language process",84,1
"near-win",51,1
"negoti",38,1
"neural ai",90,1
"neural network",33,1
"neural network",43,1
"non-technical skil",43,1
"not in education, employment or training (neets)",7,1
"online discuss",52,1
"online tutor",7,1
"ontolog",31,1
"open-end",89,1
"open learner model",75,2
"open learner models (olm)",7,1
"opennlp",81,1
"orchestr",18,2
"pair program",53,1
"parsons problem",13,2
"parsons puzzl",96,1
"patient manikin",87,1
"peer assess",42,2
"peer learn",27,1
"peer learn",61,1
"peer support",61,1
"person",63,1
"person",98,1
"personalised learn",49,1
"personalized learning servic",29,1
"physical computing kit",89,1
"physiological synchroni",67,1
"prediction of learner skil",44,1
"professional cap",15,2
"program",78,1
"program",96,1
"program correct",45,1
"psychomotor skills train",87,1
"question classif",33,1
"question dataset and taxonomi",33,1
"question gener",58,1
"question gener",62,1
"question taxonomi",62,1
"questioning techniqu",62,1
"random forest model",10,1
"reading comprehens",60,1
"real classroom",10,1
"reciprocal recommend",61,1
"recommender system",93,1
"recsystel",61,1
"recurrent neural networks (rnn)",17,1
"regress",37,1
"representation learn",17,1
"respons",89,1
"retrospective summari",87,1
"revised bloom’s taxonomi",77,1
"revision analysi",25,1
"revision graph",25,1
"revision process",25,1
"science, technology, engineering and mathematics (stem)",29,1
"self-determination theory (sdt)",29,1
"self-explan",13,2
"semantic web",58,1
"sensor-fre",80,1
"sentiment analysi",84,1
"seq2seq",92,1
"shared-activity environ",91,1
"short-answ",40,1
"short answ",40,1
"simul",30,1
"simulation-based surgical educ",24,1
"social",89,1
"social network analysi",54,1
"social robot",78,1
"software ag",72,1
"speech",39,1
"student answer assess",57,1
"student evaluation of teach",84,1
"student model",1,3
"student model",17,1
"student model",77,1
"student program",71,1
"student respons",33,1
"students’ particip",59,1
"study plan",93,1
"support",89,1
"svm",40,1
"symbolic execut",71,1
"tangibl",39,1
"tb-moop",27,1
"teachable ag",5,2
"teachable ag",20,4
"team-based massive open online project cours",27,1
"teamwork",25,1
"testing effect",60,1
"text classif",40,1
"transact",27,1
"troubleshooting skil",32,1
"tutor",96,1
"tutoring system evalu",26,1
"uncertainti",75,2
"unity 3d",81,1
"user-interfac",17,1
"user behavior",36,1
"user model",97,1
"user studi",78,1
"utterance typ",10,1
"vendler verb class",81,1
"video-based learn",13,2
"virtual commun",31,1
"virtual lab",22,2
"virtual learning assist",12,1
"virtual learning environ",72,1
"virtual math teams (vmt)",10,1
"virtual reality surgeri",24,1
"virtual teaching assist",12,1
"visual",25,1
"visualis",75,2
"willingness to communicate in l2",55,1
"word commun",35,1
"workplace learn",48,1
"write",25,1
"writing analyt",25,1
