"Stem","commR_17_18","n"
"feedback",58,1
"first-year engin",54,1
"format",12,1
"formative assess",20,1
"fuzzy set qualitative comparative analysi",40,1
"game-based learn",62,1
"grade go",76,1
"graph featur",39,1
"group recommend",40,1
"higher educ",33,1
"higher educ",44,1
"human-computer interact",50,1
"idea measur",71,1
"immersive learning environ",12,1
"immigr",73,1
"improvement sci",70,1
"inequ",45,1
"informal learn",30,1
"information polici",81,1
"information retriev",19,1
"information spread",66,1
"information visu",54,1
"information visu",65,1
"inquiry-based learn",26,1
"instructional design",57,1
"intelligent tutoring system",13,1
"intelligent tutoring system",20,1
"intelligent tutoring systems (its)",17,1
"interact",52,1
"international assess",45,1
"introductory program",11,1
"irt",79,1
"item pool",78,1
"item response theori",78,1
"job interview",46,1
"judgments of learn",65,1
"latent semantics analysi",18,1
"learn",51,1
"learner trait",62,1
"learning analyt",1,14
"learning analyt",2,6
"learning analyt",3,6
"learning analyt",4,6
"learning analyt",7,3
"learning analyt",8,2
"learning analyt",10,4
"learning analyt",11,1
"learning analyt",12,1
"learning analyt",15,2
"learning analyt",16,1
"learning analyt",21,1
"learning analyt",28,1
"learning analyt",30,1
"learning analyt",33,1
"learning analyt",34,1
"learning analyt",44,1
"learning analyt",48,1
"learning analyt",65,1
"learning analyt",69,1
"learning analyt",71,1
"learning analyt",73,1
"learning analyt",77,1
"learning analyt",78,1
"learning analyt",79,1
"learning analyt",81,1
"learning analyt",999,185
"learning context",6,1
"learning curv",68,1
"learning design",8,2
"learning environ",82,1
"learning management system",34,1
"learning management system",69,1
"learning metr",11,1
"learning node represent",39,1
"learning object",54,1
"learning outcom",6,1
"lectur",52,1
"lexical sophist",61,1
"linguist",75,1
"locus of control",22,1
"log analysi",30,1
"machine learn",11,1
"machine learn",70,1
"machine learn",80,1
"mastery learn",49,1
"mathematics educ",20,1
"measurement of learn",79,1
"method",6,1
"minerva",26,1
"mobile appl",33,1
"mobile develop",28,1
"model",11,1
"model",52,1
"model",80,1
"mooc",14,2
"mooc",43,1
"mooc",48,1
"mooc",75,1
"mooc",77,1
"moodl",6,1
"motiv",77,1
"multi-scale commun",63,1
"multilayer network",63,1
"multimodal learning analyt",5,3
"multimodal learning analyt",82,1
"national student clearinghous",29,1
"natural language process",11,1
"natural language process",13,1
"natural language process",23,2
"natural language process",67,1
"natural language process",83,1
"networked improvement commun",70,1
"neurofeedback",50,1
"non-cooperative gam",40,1
"noncognitive factor",29,1
"on-line tutoring system",11,1
"online learn",57,1
"online math gam",22,1
"online social network",19,1
"online social network",47,1
"online social network",66,1
"ontolog",16,1
"open",16,1
"open edx, outcome-based learn",6,1
"open learner model",21,1
"orchestration technolog",58,1
"osbl",69,1
"pedagogical learning analyt",12,1
"peer tutor",11,1
"perform",6,1
"performance assess",53,1
"personal behavior",47,1
"personal information management system",41,1
"personalized dashboard",76,1
"personalized emotional engag",17,1
"personalized learn",17,1
"personalized tag recommend",26,1
"placement",49,1
"poisson model",27,1
"power bi",76,1
"power queri",76,1
"predict",6,1
"predict",51,1
"predictive analyt",11,1
"predictive analyt",56,1
"predictive model",20,1
"predictive model",44,1
"prefer",41,1
"preschool",22,1
"privaci",41,1
"privacy metr",66,1
"probabilistic student model",51,1
"programming educ",11,1
"programming learn",58,1
"quantified-self stud",33,1
"question detect",13,1
"question taxonomi",16,1
"read",23,2
"real-time feedback",33,1
"real-world test",26,1
"recommendation engin",33,1
"recommender engin",70,1
"reflect",58,1
"reflective learning practic",33,1
"reflective writ",83,1
"reflective writing analyt",83,1
"regress",27,1
"regress",60,1
"remediation assign",49,1
"reproduc",16,1
"response-tim",40,1
"retent",22,1
"reus",16,1
"revision network",6,1
"satisfact",40,1
"satisfaction from cont",40,1
"scalabl",11,1
"scalabl",80,1
"science classroom inquiry simul",61,1
"science educ",82,1
"science epistemolog",61,1
"science practic",61,1
"scientific model",42,2
"scientific reason",62,1
"self-data",41,1
"self-regul",40,1
"self-regulated learn",9,2
"self-regulated learn",33,1
"self-regulated learn",44,1
"self-report",17,1
"semantic stabil",26,1
"sensing technolog",82,1
"sentiment analysi",11,1
"simul",51,1
"skill relationship",24,1
"social learn",69,1
"social network analysi",70,1
"social network analysi",71,1
"socioeconomic status",45,1
"spectral graph wavelet",63,1
"statistical analysi",70,1
"strategi",51,1
"student",52,1
"student assign",12,1
"student choic",49,1
"student clickstream data",27,1
"student engag",44,1
"student model",68,1
"student retent",60,1
"student success",80,1
"student’s behavior",16,1
"summative assess",12,1
"survival analysi",60,1
"synthetic individual data",36,1
"systematic review",6,1
"taal",61,1
"teacher intervent",12,1
"teacher practic",12,1
"teacher professional develop",43,1
"teamwork",53,1
"technology adopt",56,1
"technology enhanced learn",26,1
"tempor",71,1
"temporal analysi",14,2
"temporal network",63,1
"text similar",19,1
"thinking ord",6,1
"undergraduate educ",37,2
"valid",79,1
"video analyt",75,1
"video annotation tool",46,1
"video retent",6,1
"virtual collabor",12,1
"virtual r",50,1
"visual",6,1
"visual",21,1
"visual",46,1
"visual",69,1
"visualization dashboard",48,1
"wiki",6,1
"write",73,1
"writing-to-learn",67,1
