"Stem","commR_17_18","n"
"typical behavior",62,1
"university h",38,1
"user behavior",10,1
"variable select",41,1
"variational auto-encod",30,1
"video learn",10,1
"visual",15,1
"visual",75,1
"vocabulary assess",8,1
"vocabulary learn",8,1
"vocabulary learn",70,1
"vocabulary list",31,1
"x-means clust",62,1
"zone of proximal develop",36,1
