"Article","Year","Stem"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"performance predict"
"Predicting Multi-document Comprehension: Cohesion Network Analysis",2019,"multi-document comprehension and integr"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"network analysi"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"it"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"natural language process"
"Using Machine Learning to Overcome the Expert Blind Spot for Perceptual Fluency Trainings",2019,"multiple visu"
"Disentangling Conceptual and Embodied Mechanisms for Learning with Virtual and Physical Representations",2019,"physical/virtual mod"
"Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support",2019,"multiple represent"
"Confrustion in Learning from Erroneous Examples: Does Type of Prompted Self-explanation Make a Difference?",2019,"erroneous exampl"
"Modeling Collaboration in Online Conversations Using Time Series Analysis and Dialogism",2019,"time series analysi"
"Improving Short Answer Grading Using Transformer-Based Pre-training",2019,"self-attent"
"The Impact of Student Model Updates on Contingent Scaffolding in a Natural-Language Tutoring System",2019,"dialogue-based tutoring system"
"Uniform Adaptive Testing Using Maximum Clique Algorithm",2019,"computerized adaptive test"
"Rater-Effect IRT Model Integrating Supervised LDA for Accurate Measurement of Essay Writing Ability",2019,"item response theori"
"Collaboration Detection that Preserves Privacy of Students’ Speech",2019,"collaborative learn"
"How Does Order of Gameplay Impact Learning and Enjoyment in a Digital Learning Game?",2019,"digital learning gam"
"Analyzing Students’ Design Solutions in an NGSS-Aligned Earth Sciences Curriculum",2019,"technology-enhanced learn"
"Hierarchical Reinforcement Learning for Pedagogical Policy Induction",2019,"hierarchical reinforcement learn"
"A Comparative Study on Question-Worthy Sentence Selection Strategies for Educational Question Generation",2019,"educational question gener"
"Effect of Discrete and Continuous Parameter Variation on Difficulty in Automatic Item Generation",2019,"automatic item gener"
"Automated Summarization Evaluation (ASE) Using Natural Language Processing Tools",2019,"natural language process"
"The Importance of Automated Real-Time Performance Feedback in Virtual Reality Temporal Bone Surgery Training",2019,"virtual reality surgical train"
"Model-Based Characterization of Text Discourse Content to Evaluate Online Group Collaboration",2019,"joint problem-solv"
"Conscientiousness, Honesty-Humility, and Analogical/Creative Reasoning: Implications for Instructional Designs in Intelligent Tutoring Systems",2019,"intellig"
"Learners’ Gaze Behaviors and Metacognitive Judgments with an Agent-Based Multimedia Environment",2019,"stem"
"Online Assessment of Belief Biases and Their Impact on the Acceptance of Fallacious Reasoning",2019,"belief bia"
"Early Dropout Prediction for Programming Courses Supported by Online Judges",2019,"learning analyt"
"Developing a Deep Learning-Based Affect Recognition System for Young Children",2019,"emotion recognit"
"Using Exploratory Data Analysis to Support Implementation and Improvement of Education Technology Product",2019,"st math"
"Bayesian Diagnosis Tracing: Application of Procedural Misconceptions in Knowledge Tracing",2019,"procedural misconcept"
"Analysis of Gamification Elements. A Case Study in a Computer Science Course",2019,"gamif"
"Towards Adaptive Worked-Out Examples in an Intelligent Tutoring System",2019,"worked out exampl"
"Orchestrating Class Discussion with Collaborative Kit-Build Concept Mapping",2019,"concept map"
"Identifying Editor Roles in Argumentative Writing from Student Revision Histories",2019,"editor rol"
"Automating the Categorization of Learning Activities, to Help Improve Learning Design",2019,"learning design"
"A Systematic Approach for Analyzing Students’ Computational Modeling Processes in C2STEM",2019,"learning by model"
"Intelligent Tutoring System for Negotiation Skills Training",2019,"negotiation train"
"Robot Lecture for Enhancing Non-verbal Behavior in Lecture",2019,"robot lectur"
"Design Prompts for Virtual Reality in Education",2019,"virtual r"
"Assessing and Improving Learning Outcomes for Power Management Experiments Using Cognitive Graph",2019,"learning outcom"
"Does Choosing the Concept on Which to Solve Each Practice Problem in an Adaptive Tutor Affect Learning?",2019,"choice of practice problem"
"Measuring Content Complexity of Technical Texts: Machine Learning Experiments",2019,"text content complex"
"Should Students Use Digital Scratchpads? Impact of Using a Digital Assistive Tool on Arithmetic Problem-Solving",2019,"digital assistive tool"
"Degree Curriculum Contraction: A Vector Space Approach",2019,"higher educ"
"What Does Time Tell? Tracing the Forgetting Curve Using Deep Knowledge Tracing",2019,"deep knowledge trac"
"Evaluating the Transfer of Scaffolded Inquiry: What Sticks and Does It Last?",2019,"science inquiri"
"Automatic Classification of Error Types in Solutions to Programming Assignments at Online Learning Platform",2019,"mooc"
"Using Recurrent Neural Networks to Build a Stopping Algorithm for an Adaptive Assessment",2019,"recurrent neural network"
"Participatory Design to Lower the Threshold for Intelligent Support Authoring",2019,"intelligent system"
"Finding Relevant e-Learning Materials",2019,"knowledge representation and reason"
"Predicting Dialogue Breakdown in Conversational Pedagogical Agents with Multimodal LSTMs",2019,"conversational pedagogical ag"
"Pique: Recommending a Personalized Sequence of Research Papers to Engage Student Curiosity",2019,"personalized learn"
"Group Formation for Collaborative Learning",2019,"systematic review"
"L2 Learners’ Preferences of Dialogue Agents: A Key to Achieve Adaptive Motivational Support?",2019,"adapt"
"Discovery of Study Patterns that Impacts Students’ Discussion Performance in Forum Assignments",2019,"study strategi"
"Automatic Construction of a Phonics Curriculum for Reading Education Using the Transformer Neural Network",2019,"phonics instruct"
"An Annotation Protocol for Collecting User-Generated Counter-Arguments Using Crowdsourcing",2019,"critical think"
"Towards an Automatic Q&A Generation for Online Courses - A Pipeline Based Approach",2019,"person"
"Semantic Matching of Open Texts to Pre-scripted Answers in Dialogue-Based Learning",2019,"answer match"
"Developing Game-Based Models of Cooperation, Persistence and Problem Solving from Collaborative Gameplay",2019,"cooper"
"An Intelligent-Agent Facilitated Scaffold for Fostering Reflection in a Team-Based Project Course",2019,"online mob program"
"I Wanna Talk Like You: Speaker Adaptation to Dialogue Style in L2 Practice Conversation",2019,"epistemic network analysi"
"Understanding Students’ Model Building Strategies Through Discourse Analysis",2019,"computational model"
"Eye Gaze Sequence Analysis to Model Memory in E-education",2019,"eye-tracking studi"
"Exploring Teachable Humans and Teachable Agents: Human Strategies Versus Agent Policies and the Basis of Expertise",2019,"polici"
"Learning from Videos Showing a Dialog Fosters More Positive Affect Than Learning from a Monolog",2019,"sentiment analysi"
"Automated Feedback on the Structure of Hypothesis Tests",2019,"domain reason"
"Informing the Utility of Learning Interventions: Investigating Factors Related to Students’ Academic Achievement in Classroom and Online Courses",2019,"self-regulated learn"
"Auto-Sending Messages in an Intelligent Orchestration System: A Pilot Study",2019,"classroom orchestration system"
"Analysis of Holistic Interactions Between Lecturers and Students in Lectures",2019,"lectur"
"Take the Initiative: Mixed Initiative Dialogue Policies for Pedagogical Agents in Game-Based Learning Environments",2019,"pedagogical ag"
"Investigating on Discussion for Sharing Understanding by Using Reciprocal Kit-Build Concept Map",2019,"collaborative learn"
"What Inquiry with Virtual Labs Can Learn from Productive Failure: A Theory-Driven Study of Students’ Reflections",2019,"inquiry learn"
"Detection of Collaboration: Relationship Between Log and Speech-Based Classification",2019,"collaborative learn"
"An Intelligent Tutoring System and Teacher Dashboard to Support Mathematizing During Science Inquiry",2019,"intelligent tutor"
"Leaving No One Behind: Educating Those Most Impacted by Artificial Intelligence",2019,"educ"
"Modeling Students’ Behavior Using Sequential Patterns to Predict Their Performance",2019,"sequential pattern min"
"Personalization in OELEs: Developing a Data-Driven Framework to Model and Scaffold SRL Processes",2019,"person"
"Analyzing Engagement in an On-Line Session",2019,"engag"
"A Machine Learning Grading System Using Chatbots",2019,"chatbot"
"Evidence-Based Recommendation for Content Improvement Using Reinforcement Learning",2019,"learning-engin"
"A Virtual Counselor for Genetic Risk Communication",2019,"embodied conversational ag"
"The Role of Achievement Goal Orientation on Metacognitive Process Use in Game-Based Learning",2019,"motiv"
"A Multimodal Alerting System for Online Class Quality Assurance",2019,"multimodal learn"
"Leveraging Cognitive Science and Artificial Intelligence to Save Lives",2019,"artificial intellig"
"A Task-Oriented Dialogue System for Moral Education",2019,"moral educ"
"Toward a Scalable Learning Analytics Solution",2019,"scalable learning analyt"
"Motivating Students to Ask More Questions",2019,"question product"
"Towards Helping Teachers Select Optimal Content for Students",2019,"instructional decis"
"Autoencoders for Educational Assessment",2019,"neural network"
"The Value of Multimodal Data in Classification of Social and Emotional Aspects of Tutoring",2019,"social and emotional learn"
"Making Sense of Student Success and Risk Through Unsupervised Machine Learning and Interactive Storytelling",2020,"sensemaking in learning analyt"
"Using Motion Sensors to Understand Collaborative Interactions in Digital Fabrication Labs",2020,"motion sensor"
"Student Dropout Prediction",2020,"machine learn"
"Investigating Visitor Engagement in Interactive Science Museum Exhibits with Multimodal Bayesian Hierarchical Models",2020,"museum-based learn"
"Fooling Automatic Short Answer Grading Systems",2020,"automatic short answer grad"
"Using Neural Tensor Networks for Open Ended Short Answer Assessment",2020,"knowledge graph"
"The Sound of Inattention: Predicting Mind Wandering with Automatically Derived Features of Instructor Speech",2020,"mind-wand"
"To Tailor or Not to Tailor Gamification? An Analysis of the Impact of Tailored Game Elements on Learners’ Behaviours and Motivation",2020,"tailored gamif"
"Improving Affect Detection in Game-Based Learning with Multimodal Data Fusion",2020,"affect detect"
"Strategies for Deploying Unreliable AI Graders in High-Transparency High-Stakes Exams",2020,"automatic short answer grad"
"A Conceptual Framework for Human–AI Hybrid Adaptivity in Education",2020,"adapt"
"Exploring How Gender and Enjoyment Impact Learning in a Digital Learning Game",2020,"digital learning gam"
"Neural Multi-task Learning for Teacher Question Detection in Online Classrooms",2020,"question detect"
"A Data-Driven Student Model to Provide Adaptive Support During Video Watching Across MOOCs",2020,"person"
"Transfer of Automated Performance Feedback Models to Different Specimens in Virtual Reality Temporal Bone Surgery",2020,"virtual reality surgical train"
"Use of Adaptive Feedback in an App for English Language Spontaneous Speech",2020,"mall"
"Impact of Conversational Formality on the Quality and Formality of Written Summaries",2020,"summary writ"
"LIWCs the Same, Not the Same: Gendered Linguistic Signals of Performance and Experience in Online STEM Courses",2020,"community of inquiri"
"SoundHunters: Increasing Learner Phonological Awareness in Plains Cree",2020,"computer assisted language learn"
"Moodoo: Indoor Positioning Analytics for Characterising Classroom Teaching",2020,"spatial model"
"AI Enabled Tutor for Accessible Training",2020,"ai enabled tutor"
"DETECT: A Hierarchical Clustering Algorithm for Behavioural Trends in Temporal Educational Data",2020,"hierarchical clust"
"Effect of Non-mandatory Use of an Intelligent Tutoring System on Students’ Learning",2020,"intelligent tutoring system"
"Evaluating Crowdsourcing and Topic Modeling in Generating Knowledge Components from Explanations",2020,"knowledge compon"
"Modeling the Relationships Between Basic and Achievement Emotions in Computer-Based Learning Environments",2020,"affective model"
"Analysis of Task Difficulty Sequences in a Simulation-Based POE Environment",2020,"task difficulti"
"Affective Sequences and Student Actions Within Reasoning Mind",2020,"affect dynam"
"Helping Teachers Help Their Students: A Human-AI Hybrid Approach",2020,"pedagogical decision-mak"
"Comprehensive Views of Math Learners: A Case for Modeling and Supporting Non-math Factors in Adaptive Math Software",2020,"math educ"
"Exploring the Impact of Simple Explanations and Agency on Batch Deep Reinforcement Learning Induced Pedagogical Policies",2020,"deep reinforcement learn"
"Recommending Insightful Drill-Downs Based on Learning Processes for Learning Analytics Dashboards",2020,"learning analytics dashboard"
"Introducing a Framework to Assess Newly Created Questions with Natural Language Processing",2020,"natural language process"
"Using Thinkalouds to Understand Rule Learning and Cognitive Control Mechanisms Within an Intelligent Tutoring System",2020,"cognitive control"
"Remember the Facts? Investigating Answer-Aware Neural Question Generation for Text Comprehension",2020,"automatic question gener"
"Raising Teachers Empowerment in Gamification Design of Adaptive Learning Systems: A Qualitative Research",2020,"gamif"
"Far from Success – Far from Feedback Acceptance? The Influence of Game Performance on Young Students’ Willingness to Accept Critical Constructive Feedback During Play",2020,"critical constructive feedback"
"Robust Neural Automated Essay Scoring Using Item Response Theory",2020,"deep neural network"
"Supporting Teacher Assessment in Chinese Language Learning Using Textual and Tonal Features",2020,"audio process"
"Early Detection of Wheel-Spinning in ASSISTments",2020,"wheel-spin"
"Investigating Differential Error Types Between Human and Simulated Learners",2020,"simulated learn"
"Studying the Interactions Between Science, Engineering, and Computational Thinking in a Learning-by-Modeling Environment",2020,"science and engin"
"Detecting Off-Task Behavior from Student Dialogue in Game-Based Collaborative Learning",2020,"off-task behavior"
"Automated Analysis of Middle School Students’ Written Reflections During Game-Based Learning",2020,"reflect"
"Can Ontologies Support the Gamification of Scripted Collaborative Learning Sessions?",2020,"gamif"
"Predicting Gaps in Usage in a Phone-Based Literacy Intervention System",2020,"machine learn"
"MACER: A Modular Framework for Accelerated Compilation Error Repair",2020,"introductory program"
"Modelling Learners in Crowdsourcing Educational Systems",2020,"learner model"
"BERT and Prerequisite Based Ontology for Predicting Learner’s Confusion in MOOCs Discussion Forums",2020,"massive open online courses (moocs)"
"Identification of Students’ Need Deficiency Through a Dialogue System",2020,"need defici"
"The Double-Edged Sword of Automating Personalized Interventions in Makerspaces: An Exploratory Study of Potential Benefits and Drawbacks",2020,"personalized intervent"
"EdNet: A Large-Scale Hierarchical Dataset in Education",2020,"dataset"
"Exploring Automatic Short Answer Grading as a Tool to Assist in Human Rating",2020,"assess"
"Multi-document Cohesion Network Analysis: Visualizing Intratextual and Intertextual Links",2020,"cohesion network analysi"
"Mastery Learning Heuristics and Their Hidden Models",2020,"mastery learn"
"Towards Practical Detection of Unproductive Struggle",2020,"mastery learn"
"What Happens When Gamification Ends?",2020,"gamif"
"Using Eye-Tracking and Click-Stream Data to Design Adaptive Training of Children’s Inhibitory Control in a Maths and Science Game",2020,"inhibitory control"
"Interactive Pedagogical Agents for Learning Sequence Diagrams",2020,"pedagogical ag"
"Prediction of Group Learning Results from an Aggregation of Individual Understanding with Kit-Build Concept Map",2020,"concept map"
"Automatic Classification for Cognitive Engagement in Online Discussion Forums: Text Mining and Machine Learning Approach",2020,"text min"
"Explaining Errors in Predictions of At-Risk Students in Distance Learning Education",2020,"learning analyt"
"A General Multi-method Approach to Design-Loop Adaptivity in Intelligent Tutoring Systems",2020,"instructional design"
"Towards Improving Sample Representativeness of Teachers on Online Social Media: A Case Study on Pinterest",2020,"teachers in social media"
"A Framework for Exploring the Impact of Tutor Practices on Learner Self-regulation in Online Environments",2020,"self-regulated learn"
"Automated Personalized Feedback Improves Learning Gains in An Intelligent Tutoring System",2020,"intelligent tutoring system"
"Allowing Revisions While Providing Error-Flagging Support: Is More Better?",2020,"error-flagging feedback"
"Learner-Context Modelling: A Bayesian Approach",2020,"context model"
"Distinguishing Anxiety Subtypes of English Language Learners Towards Augmented Emotional Clarity",2020,"eda featur"
"A Socratic Tutor for Source Code Comprehension",2020,"socratic method"
"Siamese Neural Networks for Class Activity Detection",2020,"multimodal learn"
"Deep-Cross-Attention Recommendation Model for Knowledge Sharing Micro Learning Service",2020,"recommender system"
"Investigating the Role of Politeness in Human-Human Online Tutoring",2020,"educational dialogue analysi"
"Raising Academic Performance in Socio-cognitive Conflict Learning Through Gamification",2020,"gamif"
"Towards Interpretable Deep Learning Models for Knowledge Tracing",2020,"knowledge trac"
"Early Prediction of Success in MOOC from Video Interaction Features",2020,"mooc"
"Predicting Reading Comprehension from Constructed Responses: Explanatory Retrievals as Stealth Assessment",2020,"natural language process"
"An Approach to Model Children’s Inhibition During Early Literacy and Numeracy Acquisition",2020,"learn"
"Confrustion and Gaming While Learning with Erroneous Examples in a Decimals Game",2020,"digital learning gam"
"Learning Outcomes and Their Relatedness Under Curriculum Drift",2020,"learning outcome(s)"
"Scientific Modeling Using Large Scale Knowledge",2020,"agent-based model"
"Promoting Learning and Satisfaction of Children When Interacting with an Emotional Companion to Program",2020,"learning companion"
"Automatic Grading System Using Sentence-BERT Network",2020,"neural network"
"Extended Multi-document Cohesion Network Analysis Centered on Comprehension Prediction",2020,"multi-document comprehension model"
"Supporting Empathy Training Through Virtual Patients",2020,"virtual ag"
"Generating Game Levels to Develop Computer Science Competencies in Game-Based Learning Environments",2020,"k-12 computer science educ"
"An Evaluation of Data-Driven Programming Hints in a Classroom Setting",2020,"data-driven hint"
"Deep Knowledge Tracing with Transformers",2020,"bayesian knowledge trac"
"Relationships Between Body Postures and Collaborative Learning States in an Augmented Reality Study",2020,"postur"
"Effect of Immediate Feedback on Math Achievement at the High School Level",2020,"computer-based learn"
"Automated Prediction of Novice Programmer Performance Using Programming Trajectories",2020,"machine learn"
"Examining Students’ Intrinsic Cognitive Load During Program Comprehension – An Eye Tracking Approach",2020,"cognitive load"
"Agent-in-the-Loop: Conversational Agent Support in Service of Reflection for Learning During Collaborative Programming",2020,"conversational ag"
"Toward an Automatic Speech Classifier for the Teacher",2020,"intelligent tutoring system"
"Constructing Automated Revision Graphs: A Novel Visualization Technique to Study Student Writing",2020,"natural language process"
"When Lying, Hiding and Deceiving Promotes Learning - A Case for Augmented Intelligence with Augmented Ethics",2020,"ethic"
"Understanding Collaborative Question Posing During Computational Modeling in Science",2020,"question pos"
"Machine Learning and Student Performance in Teams",2020,"machine learn"
"Scanpath Analysis of Student Attention During Problem Solving with Worked Examples",2020,"scanpath analysi"
"Helping Teachers Assist Their Students in Gamified Adaptive Educational Systems: Towards a Gamification Analytics Tool",2020,"adaptive learning system"
"Understanding Rapport over Multiple Sessions with a Social, Teachable Robot",2020,"human-robot interact"
"Exercise Hierarchical Feature Enhanced Knowledge Tracing",2020,"knowledge trac"
"Sequence-to-Sequence Models for Automated Text Simplification",2020,"natural language process"
"Relationships Between Math Performance and Human Judgments of Motivational Constructs in an Online Math Tutoring System",2020,"intelligent tutor"
"Automated Short-Answer Grading Using Deep Neural Networks and Item Response Theory",2020,"deep neural network"
"Automatic Dialogic Instruction Detection for K-12 Online One-on-One Classes",2020,"dialogic instruct"
"Exploring the Role of Perspective Taking in Educational Child-Robot Interaction",2020,"child-robot interact"
"Evaluating Student Learning in a Synchronous, Collaborative Programming Environment Through Log-Based Analysis of Projects",2020,"collaborative learn"
"Adaptive Forgetting Curves for Spaced Repetition Language Learning",2020,"spaced repetit"
"Learning from Interpretable Analysis: Attention-Based Knowledge Tracing",2020,"knowledge trac"
"Identifying Beneficial Learning Behaviors from Large-Scale Interaction Data",2020,"learning behavior"
"A Gamified Solution to the Cold-Start Problem of Intelligent Tutoring System",2020,"intelligent tutoring system"
"Bridging Over from Learning Videos to Learning Resources Through Automatic Keyword Extraction",2020,"video analysi"
"The Potential for the Use of Deep Neural Networks in e-Learning Student Evaluation with New Data Augmentation Method",2020,"deep learn"
"A Large-Scale, Open-Domain, Mixed-Interface Dialogue-Based ITS for STEM",2020,"intelligent tutoring system"
"Contingent Scaffolding for System Safety Analysis",2020,"contingent scaffold"
"The Exploration of Feeling of Difficulty Using Eye-Tracking and Skin Conductance Response",2020,"metacognit"
"Sense of Agency in Times of Automation: A Teachers’ Professional Development Proposal on the Ethical Challenges of AI Applied to Education",2020,"artificial intellig"
"Improving Students’ Problem-Solving Flexibility in Non-routine Mathematics",2020,"problem-solving flex"
"Investigating Transformers for Automatic Short Answer Grading",2020,"self-attent"
"Predicting Learners Need for Recommendation Using Dynamic Graph-Based Knowledge Tracing",2020,"node classif"
"Is a Dialogue-Based Tutoring System that Emulates Helpful Co-constructed Relations During Human Tutoring Effective?",2015,"it"
"Predicting Comprehension from Students’ Summaries",2015,"reading strategi"
"Learning Bayesian Networks for Student Modeling",2015,"student model"
"Tutorial Dialogue Modes in a Large Corpus of Online Tutoring Transcripts",2015,"human tutorial dialogu"
"Data-Driven Worked Examples Improve Retention and Completion in a Logic Tutor",2015,"worked exampl"
"Improving Engagement in an E-Learning Environment",2015,"blended learn"
"Using Eye Tracking to Identify Learner Differences in Example Processing",2015,"worked exampl"
"The Design Rationale of Logic-Muse, an ITS for Logical Reasoning in Multiple Contexts",2015,"reasoning skil"
"Evaluating the Effectiveness of Integrating Natural Language Tutoring into an Existing Adaptive Learning System",2015,"intelligent tutoring system"
"Adapting Collaboration Dialogue in Response to Intelligent Tutoring System Feedback",2015,"problem solv"
"The Role of Student Choice Within Adaptive Tutoring",2015,"choic"
"Identifying Affective Trajectories in Relation to Learning Gains During the Interaction with a Tutoring System",2015,"affective st"
"A Tutorial Dialogue System for Real-Time Evaluation of Unsupervised Dialogue Act Classifiers: Exploring System Outcomes",2015,"dialogue act classif"
"A Predictive Model of Learning Gains for a Video and Exercise Intensive Learning Environment",2015,"educational data min"
"Integrating Learning Progressions in Unsupervised After-School Online Intelligent Tutoring",2015,"item response theori"
"When More Intelligent Tutoring in the Form of Buggy Messages Does not Help",2015,"buggy messag"
"Supporting Students’ Interactions over Case Studies",2015,"ill-defined domain of eth"
"A Framework for Automated Generation of Questions Based on First-Order Logic",2015,"first order log"
"Fine-Grained Analyses of Interpersonal Processes and Their Effect on Learning",2015,"learning gain"
"Promoting Metacognitive Awareness within a Game-Based Intelligent Tutoring System",2015,"artificial intellig"
"Student Performance Estimation Based on Topic Models Considering a Range of Lessons",2015,"prediction model"
"Towards a Model of How Learners Process Feedback",2015,"feedback"
"Item Response Model with Lower Order Parameters for Peer Assessment",2015,"peer assess"
"Positive Impact of Collaborative Chat Participation in an edX MOOC",2015,"collaborative reflect"
"Selection Task and Computer-Based Feedback to Improve the Searching Process in Task-Oriented Reading Situations",2015,"self-regulation strategi"
"Personalized Expert Skeleton Scaffolding in Concept Map Construction",2015,"concept map"
"Using Eye Gaze Data to Explore Student Interactions with Tutorial Dialogues in a Substep-Based Tutor",2015,"eye gaze data analysi"
"UML-IT: An ITS to Teach Multiple Modelling Tasks",2015,"uml-model"
"Virtual Teams in Massive Open Online Courses",2015,"mooc"
"Promoting Self-regulated Learning in an Intelligent Tutoring System for Writing",2015,"intelligent tutoring system"
"Exploring Missing Behaviors with Region-Level Interaction Network Coverage",2015,"interaction network"
"Educational Technologies to Support Linguistically Diverse Students, and the Challenges of Classroom Integration",2015,"dialect"
"Developing Self-regulated Learners Through an Intelligent Tutoring System",2015,"intelligent tutor system"
"Building Compiler-Student Friendship",2015,"middle school stud"
"Who Needs Help? Automating Student Assessment Within Exploratory Learning Environments",2015,"medical grad"
"Toward Combining Individual and Collaborative Learning Within an Intelligent Tutoring System",2015,"problem solv"
"Motivating Learning in the Age of the Adaptive Tutor",2015,"motiv"
"Towards Multimodal Affective Detection in Educational Systems Through Mining Emotional Data Sources",2015,"artificial intellig"
"Promoting Metacognition Within a Game-Based Environment",2015,"metacognit"
"Negotiation-Driven Learning: A New Perspective of Learning Using Negotiation",2015,"intelligent tutoring system"
"Supporting K-5 Learners with Dialogue Systems",2015,"spoken dialogu"
"Sharing Student Models That Use Machine Learning",2015,"user model"
"Moody Agents: Affect and Discourse During Learning in a Serious Game",2015,"discours"
"Examining the Predictive Relationship Between Personality and Emotion Traits and Learners’ Agent-Direct Emotions",2015,"emot"
"Evaluating Human and Automated Generation of Distractors for Diagnostic Multiple-Choice Cloze Questions to Assess Children’s Reading Comprehension",2015,"question gener"
"Machine Learning for Holistic Evaluation of Scientific Essays",2015,"read"
"Learning to Diagnose a Virtual Patient: an Investigation of Cognitive Errors in Medical Problem Solving",2015,"cognitive error"
"Studying Student Use of Self-Regulated Learning Tools in an Open-Ended Learning Environment",2015,"open-ended learning environ"
"Educational Question Answering Motivated by Question-Specific Concept Maps",2015,"concept map"
"Situated Pedagogical Authoring: Authoring Intelligent Tutors from a Student’s Perspective",2015,"authoring tool"
"Two Modes are Better Than One: a Multimodal Assessment Framework Integrating Student Writing and Drawing",2015,"formative assess"
"To Resolve or not to Resolve? that is the Big Question About Confusion",2015,"confusion resolut"
"Motivational Design in an Intelligent Tutoring System that Helps Students Make Good Task Selection Decisions",2015,"problem select"
"SNS Messages Recommendation for Learning Motivation",2015,"learning motiv"
"How Spacing and Variable Retrieval Practice Affect the Learning of Statistics Concepts",2015,"fill in the blank"
"Leveraging Multiple Views of Text for Automatic Question Generation",2015,"question gener"
"Mind Wandering During Learning with an Intelligent Tutoring System",2015,"mind wand"
"DeepStealth: Leveraging Deep Learning Models for Stealth Assessment in Game-Based Learning Environments",2015,"game-based learning environ"
"Learning Mental Models of Human Cognitive Processing by Creating Cognitive Models",2015,"cognitive model"
"A Study of Automatic Speech Recognition in Noisy Classroom Environments for Automated Dialog Analysis",2015,"google speech"
"A Player Model for Adaptive Gamification in Learning Environments",2015,"gamif"
"Exploring the Impact of a Learning Dashboard on Student Affect",2015,"affect"
"Cognitive Tutor Use in Chile: Understanding Classroom and Lab Culture",2015,"classroom observ"
"TARLAN: a Simulation Game to Improve Social Problem-Solving Skills of ADHD Children",2015,"simulation gam"
"Blocking Vs. Interleaving: Examining Single-Session Effects Within Middle School Math Homework",2015,"interleav"
"Impact of Adaptive Educational System Behaviour on Student Motivation",2015,"target item"
"Understanding Student Success in Chemistry Using Gaze Tracking and Pupillometry",2015,"eye track"
"AttentiveLearner: Improving Mobile MOOC Learning via Implicit Heart Rate Tracking",2015,"heart rat"
"Distractor Quality Evaluation in Multiple Choice Questions",2015,"multiple choice quest"
"Interpreting Freeform Equation Solving",2015,"markov decision process"
"Teachable Agents with Intrinsic Motivation",2015,"teachable ag"
"ITS Support for Conceptual and Perceptual Connection Making Between Multiple Graphical Representations",2015,"multiple represent"
"Discovering Individual and Collaborative Problem-Solving Modes with Hidden Markov Models",2015,"collabor"
"Improving Student Problem Solving in Narrative-Centered Learning Environments: a Modular Reinforcement Learning Framework",2015,"narrative-centered learning environ"
"Filtering of Spontaneous and Low Intensity Emotions in Educational Contexts",2015,"affective comput"
"Contextual Recommendation of Educational Contents",2015,"bayesian network"
"Coherence Over Time: Understanding Day-to-Day Changes in Students’ Open-Ended Problem Solving Behaviors",2015,"open-ended learning environ"
"From Learning Companions to Testing Companions",2015,"learning-by-teach"
"Negotiation-Driven Learning",2015,"intelligent tutoring system"
"From Heterogeneous Multisource Traces to Perceptual-Gestural Sequences: the PeTra Treatment Approach",2015,"intelligent tutoring system"
"Probability Based Scaffolding System with Fading",2015,"learning sci"
