"Article","Year","Author","Stem"
"Measuring item teaching value in an online learning environment",2019,"Harmon, J","cognitive diagnostic model"
"Deep-IRT: Make deep learning based knowledge tracing explainable using item response theory",2019,"Yeung, C.-K.","deep learn"
"Tutorial proposal: Designing and developing open, pedagogically-based predictive models using the moodle analytics API",2019,"Dalton, E","curriculum"
"Sharing and reusing data and analytic methods with LearnSphere",2019,"Koedinger, K","data storage and shar"
"Implicit and explicit emotions in MOOCs",2019,"Syed, M","discussion forum"
"Grading emails and generating feedback",2019,"Unnam, A","automatic grad"
"Incorporating prior practice difficulty into performance factors analysis to model Mandarin tone learning",2019,"Cao, M","adaptive train"
"A comparative analysis of emotional words for learning effectiveness in online education",2019,"Jo, J","gamif"
"Improving peer assessment accuracy by incorporating relative peer grades",2019,"Wang, T","mooc"
"Characterising students' writing processes using temporal keystroke analysis",2019,"Malekian, D","keystroke log"
"Investigating writing style development in high school",2019,"Lorenzen, S","educational system"
"Supporting minority student success by using machine learning to identify at-risk students",2019,"Jayaraman, J.D","at-risk stud"
"Visualizing learning performance data and model predictions as objects in a 3D space",2019,"Emond, B","closing the loop between research and practic"
"N-gram graphs for topic extraction in educational forums",2019,"Davis, G.M","graph-based method"
"Exploring the link between motivations and gaming",2019,"Dang, S","game"
"Visualization and clustering of learner pathways in an interactive online learning environment",2019,"Furr, D.","cluster analysi"
"A generalizable performance evaluation model of driving games via risk-weighted trajectories",2019,"Flemming, R","dynamic difficulty adjust"
"Collaboration analysis using object detection",2019,"Guo, Z","collaborative learn"
"Design and deployment of a better university course search: Inferring latent",2019,"Dong, M","course search"
"Kappa learning: A new item-similarity method for clustering educational items from response data",2019,"Nazaretsky, T","adaptive learn"
"Using a glicko-based algorithm to measure in-course learning",2019,"Reddick, R.","adaptive learn"
"Application of Hidden Markov models to quantify the impact of enrollment patterns on student performance",2019,"Boumi, S","academic outcom"
"Exploring neural network models for the classification of students in highly interactive environments",2019,"Käser, T","exploration environ"
"Modelling end-of-session actions in educational systems",2019,"Hansen, C","deep learn"
"Anatomy of mobile learners: Using learning analytics to unveil learning in presence of mobile devices",2019,"Sher, V.","learning analyt"
"Exploring stealth assessment via deep learning in an open-ended virtual environment",2019,"Reilly, J.M","deep learn"
"Detecting suggestions in peer assessments",2019,"Zingle, G","classification techniqu"
"Towards discovering problem similarity through deep learning: Combining problem features and user behavior",2019,"Mussack, D","concept discoveri"
"A self-attentive model for knowledge tracing",2019,"Pandey, S","knowledge trac"
"Modeling person-specific development of math skills in continuous time: New evidence for mutualism",2019,"Ou, L","continuous-time model"
"The guided team-partitioning problem: Definition, complexity, and algorithm",2019,"Bahargam, S","partit"
"Smart learning object recommendations based on time-dependent learning need models",2019,"Krauss, C","educational recommender system"
"Investigating effects of considering mobile and desktop learning data on predictive power of learning management system (LMS) features on student success",2019,"Sher, V","learner model"
"Teacher vs. Algorithm: Double-blind experiment of content sequencing in mathematics",2019,"Levy, B","collaborative filt"
"The influence of school demographics on the relationship between students' help-seeking behavior and performance and motivational measures",2019,"Karumbaiah, S","demograph"
"Detecting wheel-spinning and productive persistence in educational games",2019,"Elizabeth Owen, V","behavior detect"
"Student knowledge diagnosis on response data via the model of sparse factor learning",2019,"Zhang, Y","cognitive diagnosis student model"
"Categorizing students' questions using an ensemble hybrid approach",2019,"Harrak, F","coding schem"
"Why deep knowledge tracing has less depth than anticipated",2019,"Ding, X","knowledge trac"
"Using knowledge component modeling to increase domain understanding in a digital learning game",2019,"Nguyen, H","decimal numb"
"Predicting early and often: Predictive student modeling for block-based programming environments",2019,"Emerson, A","block-based program"
"Hybrid deep neural networks to predict socio-moral reasoning skills",2019,"Tato, A","convolutional neural network"
"DAS3H: Modeling student learning and forgetting for optimally scheduling distributed practice of skills",2019,"Choffin, B","adaptive spac"
"Do learners know what's good for them? Crowdsourcing subjective ratings of OERs to predict learning gains",2019,"Whitehill, J","adaptive learn"
"Toward instrumenting makerspaces: Using motion sensors to capture students' affective states in open-ended learning environments",2019,"Ramirez, L","instrument"
"Filtering non-relevant short answers in peer learning applications",2019,"Gagnon, V","short answer grad"
"Grade prediction based on cumulative knowledge and co-taken courses",2019,"Ren, Z","co-taken cours"
"Scholars walk: A Markov chain framework for course recommendation",2019,"Polyzou, A","course recommend"
"Time-series insights into the process of passing or failing online university courses using neural-induced interpretable student states",2019,"Jeon, B","clickstream data"
"Towards a general purpose anomaly detection method to identify cheaters in massive open online courses",2019,"Alexandron, G","anomaly detect"
"Student performance prediction by discovering inter-activity relations",2018,"Sahebi, S","learning material correlation discoveri"
"Identifying profiles of collaborative problem solvers in an online electronics environment",2018,"Andrews-Todd, J","assess"
"GritNet: Student performance prediction with deep learning",2018,"Kim, B.-H","deep learning for educ"
"LeCore: A Framework for Modeling Learner’s preference",2018,"Abhinav, K","learning & develop"
"Predictive student modeling for interventions in online classes",2018,"Eagle, M","cognitive model"
"Re-designing the structure of online courses to empower educational data mining",2018,"Chen, Z","clustering analysi"
"Studying affect dynamics and chronometry using sensor-free detectors",2018,"Botelho, A.F","affect chronometri"
"Predicting individualized learner models across tutor lessons",2018,"Eagle, M","bkt"
"Contextual derivation of stable BKT parameters for analyzing content efficacy",2018,"Agarwal, D","bayesian knowledge trac"
"Predicting learning by analyzing eye-gaze data of reading behavior",2018,"Rajendran, R","classif"
"Forgetting curves and testing effect in an adaptive learning and assessment system",2018,"Matayoshi, J","adaptive learn"
"Machine beats human at sequencing visuals for perceptual-fluency practice",2018,"Sen, A","chemistri"
"What can we learn from college students’ network transactions? Constructing useful features for student success prediction",2018,"Pytlarz, I","attend"
"Tracking behavioral patterns among students in an online educational system",2018,"Lorenzen, S","educational system"
"Automated speech act categorization of chat utterances in virtual internships",2018,"Gautam, D","classif"
"Is the doer effect robust across multiple data sets?",2018,"Koedinger, K.R","causal discoveri"
"Mining MOOC lecture transcripts to construct concept dependency graphs",2018,"ALSaad, F","bridge ensemble measur"
"A Comparison of Features for the Automatic Labeling of Student Answers to Open-ended Questions",2018,"Mantecon, J.G.A","entity embed"
"Quantyler: Apportioning credit for student forum participation",2018,"Bihani, A","collaborative learn"
"Standard error considerations on AFM parameters",2018,"Durand, G","additive factor model"
"Who they are and what they want: Understanding the reasons for MOOC enrollment",2018,"Wes Crues, R","informal educ"
"Predicting student enrollment based on student and college characteristics",2018,"Slim, A","classif"
"Exploring collaboration using motion sensors and multi-modal learning analytics",2018,"Reilly, J.M","collabor"
"Job description mining to understand work-integrated learning",2018,"Chopra, S","co-operative educ"
"Predicting quitting in students playing a learning game",2018,"Karumbaiah, S","adaptive intervent"
"Modeling math identity and math success through sentiment analysis and linguistic features",2018,"Crossley, S","math"
"Predicting student performance based on online study habits: A study of blended courses",2018,"Sheshadri, A","blended cours"
"Finding topics in enrollment data",2018,"Motz, B","course enrol"
"An open vocabulary approach for estimating teacher use of authentic questions in classroom discourse",2018,"Cook, C","authentic quest"
"Improving stealth assessment in game-based learning with LSTM-based analytics",2018,"Akram, B","game-based learn"
"Impact of corpus size and dimensionality of LSA spaces from Wikipedia articles on autotutor answer evaluation",2018,"Cai, Z","autotutor"
"Understanding student procrastination via mixture models",2018,"Park, J","clickstream data"
"Intelligent instructional hand offs",2018,"Fancsali, S.E","cognitive tutor"
"Filtered time series analyses of student problem-solving behaviors in game-based learning",2018,"Sawyer, R","dynamic analysi"
"A hybrid multi-criteria approach using a genetic algorithm for recommending courses to university students",2018,"Esteban, A","course recommend"
"Accurate measurement of lexical sophistication with reference to ESL learner data",2018,"Naismith, B","advanced guiraud"
"Using student logs to build Bayesian models of student knowledge and skills",2018,"Nguyen, H","bayesian learn"
"Using a common sense knowledge base to auto generate multi-dimensional vocabulary assessments",2018,"Mittal, R.S","assessment gener"
"ELBA: Exceptional learning behavior analysis",2018,"Du, X","exceptional model min"
"Clustering the learning patterns of adults with low literacy skills interacting with an intelligent tutoring system",2018,"Fang, Y","adult read"
"Feature extraction for classifying students based on their academic performance",2018,"Polyzou, A","academic student success"
"Mining user trajectories in electronic text books",2018,"Boubekki, A","behavioral analys"
"Gender differences in undergraduate engineering applicants: A text mining approach",2018,"Chopra, S","admiss"
"Understanding learners’ opinion about participation certificates in online courses using topic modeling",2018,"Nanda, G","latent dirichlet alloc"
"Constructing cognitive profiles for simulation-based hiring assessments",2018,"Kantar, R","cognitive assess"
"Identifying user engagement patterns in an online video discussion platform",2018,"Lee, S.Y","hierarchical clust"
"Who are they looking at? Automatic eye gaze following for classroom observation video analysis",2018,"Aung, A.M","automatic eye gaze follow"
"Prediction of academic achievement based on digital campus",2018,"Wang, Z","academic achievement predict"
"Analyzing the relative learning benefits of completing required activities and optional readings in online courses",2018,"Carvalho, P.F","active learn"
"Estimating the treatment effect of new device deployment on uruguayan students’ online learning activity",2018,"Aguerrebere, C","one laptop per child"
"How many friends can you make in a week?: Evolving social relationships in MOOCs over time",2018,"Xu, Y","community detect"
"Mining student misconceptions from pre- and post-test data",2018,"Pérez-Lemonche, Á","analyzing wrong answ"
"Can textbook annotations serve as an early predictor of student learning?",2018,"Winchell, A","bayesian regress"
"Modeling the effects of students’ interactions with immersive simulations using Markov switching systems",2018,"Hoernle, N","bayesian infer"
"Does deep knowledge tracing model interactions among skills?",2018,"Montero, S","deep learn"
"Identifying student communities in blended courses",2017,"Gitinabard, N","blended cours"
"Riple: Recommendation in peer-learning environments based on knowledge gaps and interests",2017,"Khosravi, H","knowledge gap"
"Personalized feedback for open-response mathematical questions using long short-term memory networks",2017,"Michalenko, J.J","automatic grad"
"Online learning persistence and academic achievement",2017,"Fang, Y","academic achiev"
"On the prevalence of multiple-account cheating in massive open online learning",2017,"Bao, Y","academic dishonesti"
"An LDA topic model and social network analysis of a school blogging platform",2017,"Kuang, X","lda"
"Sequence modelling for analysing student interaction with educational systems",2017,"Hansen, C","cluster"
"Mining innovative augmented graph grammars for argument diagrams through novelty selection",2017,"Xue, L","argument diagram"
"Zone out no more: Mitigating mind wandering during computerized reading",2017,"D’Mello, S.K","attention-awar"
"A prediction and early alert model using learning management system data and grounded in learning science theory",2017,"Hong, W","early warning system"
"An analysis of students’ questions in MOOCs forums",2017,"Cao, M","classif"
"Grade prediction with temporal course-wise influence",2017,"Ren, Z","course-wise influ"
"The reading ability of college freshmen",2017,"Olney, A.M","adult literaci"
"Identifying relationships between students’ questions type and their behavior",2017,"Harrak, F","cluster"
"Short-answer responses to STEM exercises: Measuring response validity and its impact on learning",2017,"Waters, A","best educational practic"
"Development of a trajectory model for visualizing teacher ICT usage based on event segmentation data",2017,"Zheng, L","contextual numb"
"Untangling the program name versus the curriculum: An investigation of titles and curriculum content",2017,"Wes Crues, R.","business educ"
"Using a single model trained across multiple experiments to improve the detection of treatment effects",2017,"Patikorn, T","anova"
"On the influence on learning of student compliance with prompts fostering self-regulated learning",2017,"Lallé, S","compliance with prompt"
"Student use of inquiry simulations in middle school science",2017,"McBride, E.","inquiri"
"Text analysis with LIWC and coh-metrix: Portraying MOOCs instructors",2017,"Li, J","instructor"
"Behavior-based latent variable model for learner engagement",2017,"Lan, A.S","behavioral data"
"Understanding student’s reviewing and reflection behaviors using web-based programming grading assistant",2017,"Paredes, Y.V","educational technolog"
"A latent factor model for instructor content preference analysis",2017,"Wang, J.Z","bloom’s taxonomi"
"Developing Chinese automated essay scoring model to assess college students’ essay quality",2017,"Ju-Lu, Y","chinese automated essay scor"
"Intelligent composition of test papers based on MOOC learning data",2017,"Ma, L","automatic composition of test pap"
"Data-mining textual responses to uncover misconception patterns",2017,"Michalenko, J.J","learning analyt"
"An offline evaluation method for individual treatment rules and how to find heterogeneous treatment effect",2017,"Patikorn, T","assist"
"Causal forest vs. naïve causal forest in detecting personalization: An empirical study in ASSISTments",2017,"Yin, B","causal forest"
"Predicting performance in a small private online course",2017,"Han, W","at-risk stud"
"Tracking online reading of college students",2017,"Olney, A.M","internet"
"Modeling network dynamics of MOOC discussion interactions at scale",2017,"Zhang, J","interact"
"Teaching informal logical fallacy identification with a cognitive tutor",2017,"Diana, N","cognitive task analysi"
"Student use of scaffolded inquiry simulations in middle school science",2017,"McBride, E","inquiri"
"Making the grade: How learner engagement changes after passing a course",2017,"Lang, D","grading schem"
"Automatic scoring method for descriptive test using recurrent neural network",2017,"Yasuda, K","essay scor"
"Modeling dormitory occupancy using Markov chains",2017,"Pokrajac, D.D","banner"
"Intelligent argument grading system for student-produced argument diagrams",2017,"Xue, L.","argument diagram"
"Towards automatic classification of learning objects: Reducing the number of used features",2017,"González, P","feature select"
"Discovering skill prerequisite structure through Bayesian estimation and nested model comparison",2017,"Han, S.-Y","bayesian network"
"Learning to represent student knowledge on programming exercises using deep learning",2017,"Wang, L","educational data min"
"Modeling classifiers for virtual internships without participant data",2017,"Gautam, D","automated assess"
"Emerging patterns in student’s learning attributes through text mining",2017,"Thanasuan, K","clustering algorithm"
"Predicting short- and long-term vocabulary learning via semantic features of partial word knowledge",2017,"Nam, S","intelligent tutoring system"
"Mycos intelligent teaching assistant",2017,"Guo, J","open learning platform"
"A neural network approach to estimate student skill mastery in cognitive diagnostic assessments",2017,"Guo, Q","cognitive diagnosis model"
"Student learning strategies and behaviors to predict success in an online adaptive mathematics tutoring system",2017,"Xie, J","adaptive tutoring system"
"Metacognitive prompt overdose: Positive and negative effects of prompts in iSTART",2017,"McCarthy, K.S","educational gam"
"Few hundred parameters outperform few hundred thousand?",2017,"Lalwani, A","adaptive learn"
"Using an additive factor model and performance factor analysis to assess learning gains in a tutoring system to help adults with reading difficulties",2017,"Shi, G","additive factor model"
"An effective framework for automatically generating and ranking topics in MOOC videos",2017,"Zhu, J","guidance for stud"
"Estimating individual treatment effect from educational studies with residual counterfactual networks",2017,"Zhao, S","counterfactual infer"
"Learner affect through the looking glass: Characterization and detection of confusion in online courses",2017,"Zeng, Z","confusion character"
"Assessing computer literacy of adults with low literacy skills",2017,"Olney, A.M","adult literaci"
"Combining machine learning and natural language processing to assess literary text comprehension",2017,"Balyan, R","classif"
"Adaptive Sequential Recommendation for Discussion Forums on MOOCs using Context Trees",2017,"Mi, F","context tre"
"Can typical behaviors identified in MOOCs be discovered in other courses?",2017,"An, T.-S","mooc"
"Addressing student behavior and affect with empathy and growth mindset",2017,"Karumbaiah, S","confid"
"Automated assessment for scientific explanations in on-line science inquiry",2017,"Li, H","automated assess"
"Predicting student retention from behavior in an online orientation course",2017,"Kai, S","online orientation cours"
"Using temporal association rule mining to predict dyadic rapport in peer tutoring",2017,"Madaio, M","association rule min"
"Assessing the dialogic properties of classroom discourse: Proportion models for imbalanced classes",2017,"Olney, A.M","authent"
"Inferring frequently asked questions from student question answering forums",2017,"Sindhgatta, R","agglomerative clust"
"Toward the automatic labeling of course questions for ensuring their alignment with learning outcomes",2017,"Supraja, S","extreme learning machin"
"Exploring the relationship between student pre-knowledge and engagement in MOOCs using polytomous IRT",2017,"Liu, J","engag"
"Characterizing collaboration in the pair program tracing and debugging eye-tracking experiment: A preliminary analysis",2017,"Villamor, M.M","collabor"
"The misidentified identifiability problem of Bayesian knowledge tracing",2017,"Doroudi, S","bayesian knowledge trac"
"Towards reliable and valid measurement of individualized student parameters",2017,"Liu, R","3"
"Task and timing: Separating procedural and tactical knowledge in student models",2017,"Cook, J","bkt"
"Gaze-based detection of mind wandering during lecture viewing",2017,"Hutt, S","attention-aware learn"
"Convolutional neural network for automatic detection of sociomoral reasoning level",2017,"Tato, A","convolutional neural network"
"When and who at risk? Call back at these critical points",2017,"Li, Y","dropout"
"Linking language to math success in an on-line course",2017,"Crossley, S","math"
"Adaptive assessment experiment in a harvardx MOOC",2017,"Rushkin, I","adaptive assess"
"Analysis of problem-solving behavior in open-ended scientific-discovery game challenges",2017,"Bauer, A","problem solv"
"Studying MOOC completion at scale using the MOOC replication framework",2017,"Andres, J.M.L","meta-analysi"
"Efficient feature embeddings for student classification with variational auto-encoders",2017,"Klingler, S","deep neural network"
"Predicting prospective peer helpers to provide just-in-time help to users in question and answer forums",2017,"Ishola, O.M","lifelong learn"
"Clustering student sequential trajectories using dynamic time warping",2017,"Shen, S","cluster"
"Automatic peer tutor matching: Data-driven methods to enable new opportunities for help",2017,"Diana, N","educational data min"
"Epistemic network analysis and topic modeling for chat data from collaborative learning environment",2017,"Cai, Z","chat"
"Dropout Prediction in MOOCs using Learners’ Study Habits Features",2017,"Wan, H","dropout predict"
"Clustering students in assistments: Exploring system- and school-level traits to advance personalization",2017,"Adjei, S","ensembled prediction model"
"The antecedents of and associations with elective replay in an educational game: Is replay worth it?",2017,"Liu, Z","educational gam"
"Modeling the zone of proximal development with a computational approach",2017,"Chounta, I.-A","intelligent tutoring system"
"Identifying relevant user behavior, predicting learning, and persistence in an ITS-based afterschool program",2016,"Craig, S.D","afterschool program"
"Investigating gender differences on homework in middle school mathematics",2016,"Feng, M","gender gap"
"Modeling interactions across skills: A method to construct and compare models predicting the existence of skill relationships",2016,"Botelho, A.F","feature select"
"A platform for integrating and analyzing data to evaluate the impacts of educational technologies",2016,"Stanhope, D.S","data"
"Designing interactive and personalized concept mapping learning environments",2016,"Wang, S.","adaptive scaffold"
"An automated test of motor skills for job selection and feedback",2016,"Singh, B.P","assess"
"Studying assignment size and student performance using propensity score matching",2016,"Mojarad, S.","assignment s"
"Automated feedback on group processes: An experience report",2016,"Borge, M","automated process assess"
"Estimation of prerequisite skills model from large scale assessment data using semantic data mining",2016,"Penteado, B.E.","data min"
"Meta-learning for predicting the best vote aggregation method: Case study in collaborative searching of LOs",2016,"Zapata, A","classif"
"Predicting performance on MOOC assessments using multi-regression models",2016,"Ren, Z","mooc"
"Exploring the impact of data-driven tutoring methods on students’ demonstrative knowledge in logic problem solving",2016,"Mostafavi, B","data-driven method"
"Validating game-based measures of implicit science learning",2016,"Rowe, E","game-based learn"
"Time series analysis of VLE activity data",2016,"Młynarska, E","data min"
"Mining sequences of gameplay for embedded assessment in collaborative learning",2016,"Buffum, P","collabor"
"Discovering ‘tough love’ interventions despite dropout",2016,"Williams, J.J","attrit"
"Predicting off-task behaviors in an adaptive vocabulary learning system",2016,"Nam, S.","adaptive system"
"Automatic gaze-based detection of mind wandering during narrative film comprehension",2016,"Mills, C","eye gaz"
"Guiding students towards frequent high-utility paths in an ill-defined domain",2016,"Jugo, I","computer-based learning environ"
"Perfect scores indicate good students !? The case of one hundred percenters in a math learning system",2016,"Zheng, Z","educational data min"
"A comparative analysis of techniques for predicting student performance",2016,"Bydžovská, H.","classif"
"Validating automated triggers and notifications @ scale in blackboard learn",2016,"Whitmer, J","higher educ"
"Predicting dialogue acts for intelligent virtual agents with multimodal student interaction data",2016,"Min, W","deep learn"
"Pattern mining uncovers social prompts of conceptual learning with physical and virtual representations",2016,"Rau, M.A.","collabor"
"Towards modeling chunks in a knowledge tracing framework for students’ deep learning",2016,"Huang, Y","bayesian network"
"Examining the necessity of problem diagrams using MOOC AB experiments",2016,"Chen, Z","ab experi"
"Semantic features of math problems: Relationships to student learning and engagement",2016,"Slater, S","correlation min"
"A scalable learning analytics platform for automated writing feedback",2016,"Feild, J","analytic tools for learn"
"Toward automated support for teacher-facilitated formative feedback on student writing",2016,"Sabourin, J","automated writing assess"
"Quantifying how students use an online learning system: A focus on transitions and performance",2016,"Snow, E.L","blended learn"
"Learning curves for problems with multiple knowledge components",2016,"van de Sande, B.","knowledge compon"
"Time Series Cross Section method for monitoring students’ page views of course materials and improving classroom teaching",2016,"Dobashi, K.","cross sect"
"Analysing and refining pilot training",2016,"Emond, B","additive factor model"
"Document segmentation for labeling with academic learning objectives",2016,"Bhartiya, D","academic learning object"
"Learning curves versus problem difficulty: An analysis of the knowledge component picture for a given context",2016,"van de Sande, B.","knowledge compon"
"Applicability of educational data mining in Afghanistan: Opportunities and challenges",2016,"Sherzad, A.R.","afghanistan education system"
"Patterns of usage from educational technology products across America",2016,"Stanhope, D.S","educ"
"A nonlinear state space model for identifying at-risk students in open online courses",2016,"Wang, F","at-risk stud"
"Enabling people to harness and control EDM for lifelong, life-wide learning",2016,"Kay, J.","business analyt"
"An ensemble method to predict student performance in an online math learning environment",2016,"Stapel, M","educational data min"
"Assessing student-generated design justifications in engineering virtual internships",2016,"Rus, V","auto-assess"
"How to model implicit knowledge? Similarity learning methods to assess perceptions of visual representations",2016,"Rau, M.A","chemistri"
"Preliminary results on dialogue act classification in chat-based online tutorial dialogues",2016,"Rus, V","dialogue act"
"Effect of student ability and question difficulty on duration",2016,"Ma, Y","1pl"
"Individualizing Bayesian knowledge tracing. Are skill parameters more important than student parameters?",2016,"Yudelson, M.V.","bayesian knowledge trac"
"Towards integrating human and automated tutoring systems",2016,"Ritter, S","blended approach"
"How quickly can wheel spinning be detected?",2016,"Matsuda, N","detector"
"Browsing-pattern mining from e-book logs with non-negative matrix factorization",2016,"Shimada, A","e-book log"
"Seeking programming-related information from large scaled discussion forums, help or harm?",2016,"Lu, Y","discussion forum"
"Extracting measures of active learning and student self-regulated learning strategies from MOOC data",2016,"Diana, N","active learn"
"Modeling visitor behavior in a game-based engineering museum exhibit with hidden Markov models",2016,"Tissenbaum, M","interactive tabletops model"
"MATHia X: The next generation cognitive tutor",2016,"Ritter, S","cognitive tutor"
"Study on automatic scoring of descriptive type tests using text similarity calculations",2016,"Nogaito, I","auto-scor"
"Execution traces as a powerful data representation for intelligent tutoring systems for programming",2016,"Paaßen, B","computer science teach"
"Classifying behavior to elucidate elegant problem solving in an educational game",2016,"Malkiewich, L","classifi"
"LIVELINET: A multimodal deep recurrent neural network to predict liveliness in educational videos",2016,"Sharma, A","deep learn"
"Measuring gameplay affordances of user-generated content in an educational game",2016,"Hicks, D","educational data min"
"A data-driven framework of modeling skill combinations for deeper knowledge tracing",2016,"Huang, Y","bayesian network"
"Semi-automatic detection of teacher questions from human-transcripts of audio in live classrooms",2016,"Blanchard, N","automatic speech recognit"
"Exploring learning management system interaction data: Combining Data-driven and Theory-driven Approaches",2016,"Choi, H","cluster"
"Redefining “what” in analyses of who does what in MOOCs",2016,"Baikadi, A","factor analysi"
"A coupled user clustering algorithm for web-based learning systems",2016,"Niu, K","coupled interact"
"Understanding engagement in MOOCs",2016,"Li, Q","behavioral engag"
"Can word probabilities from LDA be simply added up to represent documents?",2016,"Cai, Z","cluster similar"
"Toward revision-sensitive feedback in automated writing evaluation",2016,"Roscoe, R.D","automated writing evalu"
"Predicting STEM achievement with learning management system data: Prediction modeling and a test of an early warning system",2016,"Dominguez, M.M","early warning system"
"Back to the basics: Bayesian extensions of IRT outperform neural networks for proficiency estimation",2016,"Wilson, K.H","bayesian models of student perform"
"Adding eye-tracking AOI data to models of representation skills does not improve prediction accuracy",2016,"Rau, M.A","bayesian knowledge trac"
