"Article","Year","Author"
"Data-Assistive Course-to-Course Articulation Using Machine Translation",2019,"Pardos__Zachary_A."
"Via: Illuminating Academic Pathways at Scale",2019,"Angus__Geoffrey"
"Predict and Intervene: Addressing the Dropout Problem in a MOOC-Based Program",2019,"Borrella__Inma"
"Chimeria: Grayscale MOOC: Towards Critical Self-Reflection at Scale",2019,"Ortiz__Pablo"
"Measuring Students' Performance on Programming Tasks",2019,"Effenberger__Tom\'{a}\v{s}"
"Informing the Design of Collaborative Activities in MOOCs Using Actionable Predictions",2019,"Er__Erkan"
"Measuring Difficulty of Introductory Programming Tasks",2019,"Effenberger__Tom\'{a}\v{s}"
"Inquiry Learning at Scale: Pedagogy-Informed Design of a Platform for Citizen Inquiry",2019,"Sharples__Mike"
"BookBuddy: Turning Digital Materials Into Interactive Foreign Language Lessons Through a Voice Chatbot",2019,"Ruan__Sherry"
"Creating a Framework for User-Centered Development and Improvement of Digital Education",2019,"Bruechner__Dominik"
"Leveraging Skill Hierarchy for Multi-Level Modeling with Elo Rating System",2019,"Yudelson__Michael"
"Student Code Trajectories in an Introductory Programming MOOC",2019,"Bajwa__Ayesha"
"Predicting the Difficulty of Automatic Item Generators on Exams from Their Difficulty on Homeworks",2019,"Chen__Binglin"
"Pilot Study to Estimate ""Difficult"" Area in e-Learning Material by Physiological Measurements",2019,"Tamura__Kaori"
"Semantic Matching Evaluation of User Responses to Electronics Questions in AutoTutor",2019,"Carmon__Colin_M."
"Proposal and Implementation of an Elderly-Oriented User Interface for Learning Support Systems",2019,"Lu__Min"
"Implementing Learning Analytics to Foster a STEM Learning Ecosystem at the City-Level: Emerging Research and Design Challenges",2019,"Nacu__Denise"
"On the Influence of Grades on Learning Behavior of Students in MOOCs",2019,"Wang__Li"
"Synchronous at Scale: Investigation and Implementation of a Semi-Synchronous Online Lecture Platform",2019,"Kutnick__Denise_G."
"Impact of Free-Certificate Coupons on Learner Behavior in Online Courses: Results from Two Case Studies",2019,"Littenberg-Tobias__Joshua"
"Guided-KNOWLA: The Use of Guided Unscrambling to Enhance Active Online Learning",2019,"Braude__Eric"
"An Automated Feedback System to Support Student Learning in Writing-to-Learn Activities",2019,"Xiong__Ye"
"AutomaTA: Human-Machine Interaction for Answering Context-Specific Questions",2019,"Lee__Changyoon"
"What Do Students at Distance Universities Think about AI?",2019,"Holmes__Wayne"
"Peer Advising at Scale: Content and Context of a Learner-Owned Course Evaluation System",2019,"Duncan__Alex"
"Towards Improving Students' Forum Posts Categorization in MOOCs and Impact on Performance Prediction",2019,"Harrak__Fatima"
"PARQR: Augmenting the Piazza Online Forum to Better Support Degree Seeking Online Masters Students",2019,"Bilgrien__Noah"
"Causal Inference in Higher Education: Building Better Curriculums",2019,"Kaur__Prableen"
"Investigating Learning Design Categorization and Learning Behaviour in Computational MOOCS",2019,"Biswas__Sagar"
"LiveDataLab: A Cloud-Based Platform to Facilitate Hands-on Data Science Education at Scale",2019,"Green__Aaron"
"Jack Watson: Addressing Contract Cheating at Scale in Online Computer Science Education",2019,"Graziano__Rocko"
"Developing an Intervention to Advance Learning At Scale",2019,"Haniya__Samaa"
"Web of Slides: Automatic Linking of Lecture Slides to Facilitate Navigation",2019,"Labhishetty__Sahiti"
"WOSView Demo: A Tool to Explore the Web of Slides",2019,"Labhishetty__Sahiti"
"Teaching C Programming Interactively at Scale Using Taskgrader: An Open-Source Autograder Tool",2019,"Sharrock__R\'{e}mi"
"Supporting Instruction of Formulaic Sequences Using Videos at Scale",2019,"Jo__Kyung_Je"
"Achievements for Building a Learning Community",2019,"Hartman__Kevin"
"Replicating MOOC Predictive Models at Scale",2018,"Gardner__Josh"
"Students, Systems, and Interactions: Synthesizing the First Four Years of Learning@scale and Charting the Future",2018,"Kross__Sean"
"The Potential for Scientific Outreach and Learning in Mechanical Turk Experiments",2018,"Jun__Eunice"
"Toward Large-Scale Learning Design: Categorizing Course Designs in Service of Supporting Learning Outcomes",2018,"Davis__Dan"
"Addressing Two Problems in Deep Knowledge Tracing via Prediction-Consistent Regularization",2018,"Yeung__Chun-Kit"
"The Effects of Adaptive Learning in a Massive Open Online Course on Learners' Skill Development",2018,"Rosen__Yigal"
"QG-Net: A Data-Driven Question Generation Model for Educational Content",2018,"Wang__Zichao"
"Towards Domain General Detection of Transactive Knowledge Building Behavior",2018,"Fiacco__James"
"Docent: Transforming Personal Intuitions to Scientific Hypotheses through Content Learning and Process Training",2018,"Pandey__Vineet"
"Supporting Answerers with Feedback in Social Q&amp;A",2018,"Frens__John"
"Refocusing the Lens on Engagement in MOOCs",2018,"Crues__R._Wes"
"The Relationship between Scientific Explanations and the Proficiencies of Content, Inquiry, and Writing",2018,"Li__Haiying"
"Towards Making Block-Based Programming Activities Adaptive",2018,"Effenberger__Tom\'{a}\v{s}"
"Towards Adapting to Learners at Scale: Integrating MOOC and Intelligent Tutoring Frameworks",2018,"Aleven__Vincent"
"Combining Adaptivity with Progression Ordering for Intelligent Tutoring Systems",2018,"Mu__Tong"
"Toward a Large-Scale Open Learning System for Data Management",2018,"Murthy__Sean"
"From Online Learning to Offline Action: Using MOOCs for Job-Embedded Teacher Professional Development",2018,"Napier__Alyssa"
"Exploring the Utility of Response Times and Wrong Answers for Adaptive Learning",2018,"Pel\'{a}nek__Radek"
"Measuring Item Similarity in Introductory Programming",2018,"Pel\'{a}nek__Radek"
"Pilot Study on Optimal Task Scheduling in Learning",2018,"Ling__Lin"
"Longitudinal Trends in Sentiment Polarity and Readability of an Online Masters of Computer Science Course",2018,"Camacho__Ida"
"Glanceable Code History: Visualizing Student Code for Better Instructor Feedback",2018,"Cassidy__Caitlin"
"Toward Large-Scale Automated Scoring of Scientific Visual Models",2018,"Leong__Chee_Wee"
"An Active Viewing Framework for Video-Based Learning",2018,"Dodson__Samuel"
"A Content Engagement Score for Online Learning Platforms",2018,"Singh__Vivek"
"Adaptive Natural-Language Targeting for Student Feedback",2018,"Kolchinski__Y._Alex"
"Rain Classroom: A Tool for Blended Learning with MOOCs",2018,"Wang__Shuaiguo"
"Gamifying Higher Education: Enhancing Learning with Mobile Game App",2018,"Zafar__Farshida"
"WPSS: Dropout Prediction for MOOCs Using Course Progress Normalization and Subset Selection",2018,"Chai__Yuqian"
"Contemporary Online Course Design Recommendations to Support Women's Cognitive Development",2018,"Byrne__Virginia_L."
"Session Details: Keynote Address",2017,"Urrea__Claudia"
"Learning Engineering: The Art of Applying Learning Science at Scale",2017,"Saxberg__Bror"
"Session Details: Engineering Learning Environments",2017,"Wiltrout__Mary_Ellen"
"Robust Evaluation Matrix: Towards a More Principled Offline Exploration of Instructional Policies",2017,"Doroudi__Shayan"
"A Visual Approach towards Knowledge Engineering and Understanding How Students Learn in Complex Environments",2017,"Fratamico__Lauren"
"Enabling Real-Time Adaptivity in MOOCs with a Personalized Next-Step Recommendation Framework",2017,"Pardos__Zachary_A."
"Session Details: Learn to Code",2017,"Singer__Susan"
"Learning to Code in Localized Programming Languages",2017,"Dasgupta__Sayamindu"
"Teaching Students to Recognize and Implement Good Coding Style",2017,"Wiese__Eliane_S."
"Session Details: Predicting and Explaining Learning",2017,"Thille__Candace"
"Detecting Diligence with Online Behaviors on Intelligent Tutoring Systems",2017,"Dang__Steven"
"Epistemic Cognition: A Promising and Necessary Construct for Enriching Large-Scale Online Learning Analysis",2017,"Johanes__Petr"
"Session Details: Feedback for Improving Learning",2017,"Ogan__Amy"
"Scaling Expert Feedback: Two Case Studies",2017,"Joyner__David_A."
"Gradescope: A Fast, Flexible, and Fair System for Scalable Assessment of Handwritten Work",2017,"Singh__Arjun"
"Writing Reusable Code Feedback at Scale with Mixed-Initiative Program Synthesis",2017,"Head__Andrew"
"Session Details: Plenary Panel",2017,"Urrea__Claudia"
"Creative Learning @ Scale",2017,"Resnick__Mitchel"
"Session Details: Integrity of Courses and Learners",2017,"Scanlon__Eileen"
"Preventing Keystroke Based Identification in Open Data Sets",2017,"Leinonen__Juho"
"Do Performance Trends Suggest Wide-Spread Collaborative Cheating on Asynchronous Exams?",2017,"Chen__Binglin"
"Session Details: Experimentation",2017,"Glassman__Elena"
"Towards Equal Opportunities in MOOCs: Affirmation Reduces Gender &amp; Social-Class Achievement Gaps in China",2017,"Kizilcec__Ren\'{e}_F."
"Learning about Learning at Scale: Methodological Challenges and Recommendations",2017,"van_der_Sluis__Frans"
"Discourse: MOOC Discussion Forum Analysis at Scale",2017,"Kindel__Alexander"
"Demo of Orchestration Graph Engine: Enabling Rich Social Pedagogical Scenarios in MOOCs",2017,"Faucon__Louis"
"Full Engagement Educational Framework: A Practical Experience for a MicroMaster",2017,"Rizzardini__Rocael_Hern\'{a}ndez"
"CODECAST: An Innovative Technology to Facilitate Teaching and Learning Computer Programming in a C Language Online Course",2017,"Sharrock__R\'{e}mi"
"Taking Informed Action on Student Activity in MOOCs",2017,"Teusner__Ralf"
"In-Video Reuse of Discussion Threads in MOOCs",2017,"Zhao__Qian"
"A Crowdsourcing Approach to Collecting Tutorial Videos -- Toward Personalized Learning-at-Scale",2017,"Whitehill__Jacob"
"MOOC Dropout Prediction: How to Measure Accuracy?",2017,"Whitehill__Jacob"
"Collaboration and Teamwork on a MOOC Platform: A Toolset",2017,"Staubitz__Thomas"
"Incorporating Rich Features into Deep Knowledge Tracing",2017,"Zhang__Liang"
"Formal Forum Triage: Towards the Strategic Selection of Responses to Student Discussion Forums",2017,"Falkner__Nickolas"
"A Novel Self-Paced Model for Teaching Programming",2017,"Offutt__Jeff"
"Google BigQuery for Education: Framework for Parsing and Analyzing EdX MOOC Data",2017,"Lopez__Glenn"
"Characterizing ELL Students' Behavior During MOOC Videos Using Content Type",2017,"Uchidiuno__Judith"
"A Memory-Augmented Neural Model for Automated Grading",2017,"Zhao__Siyuan"
"One Decision Tree is Enough to Make Customization",2017,"Wan__Hao"
"Factor Analysis Reveals Student Thinking Using the Mechanics Reasoning Inventory",2017,"Lee__Sunbok"
"Deep Knowledge Tracing On Programming Exercises",2017,"Wang__Lisa"
"Modeling MOOC Student Behavior With Two-Layer Hidden Markov Models",2017,"Geigle__Chase"
"Getting to Know English Language Learners in MOOCs: Their Motivations, Behaviors, and Outcomes",2017,"T\""{u}rkay__Selen"
"Generating Language Activities in Real-Time for English Learners Using Language Muse",2017,"Burstein__Jill"
"Humans and Machines Together: Improving Characterization of Large Scale Online Discussions through Dynamic Interrelated Post and Thread Categorization (DIPTiC)",2017,"Cui__Yi"
"CROWDLEARNING: Towards Collaborative Problem-Posing at Scale",2017,"Farasat__Alireza"
"What Are the Expectations of Disabled Learners When Participating in a MOOC?",2017,"Iniesto__Francisco"
"Applying and Exploring Bayesian Hypothesis Testing for Large Scale Experimentation in Online Tutoring Systems",2017,"Dommeti__Vijaya"
"Designing Adaptive Assessments in MOOCs",2017,"Rosen__Yigal"
"Authentic Science Inquiry Learning at Scale Enabled by an Interactive Biology Cloud Experimentation Lab",2017,"Hossain__Zahid"
"Intelligent Math Tutor: Problem-Based Approach to Create Cognizance",2017,"Gupta__Monika"
"Data-Mining Textual Responses to Uncover Misconception Patterns",2017,"Michalenko__Joshua_J."
"Teamscope: Scalable Team Evaluation via Automated Metric Mining for Communication, Organization, Execution, and Evolution",2017,"Ju__An"
"ProjectLens: Supporting Project-Based Collaborative Learning on MOOCs",2017,"Cheng__Hao_Fei"
"Data-Driven Feedback Generator for Online Programing Courses",2017,"Wang__Ke"
"Orchestration Graphs: Enabling Rich Social Pedagogical Scenarios in MOOCs",2017,"H\r{a}klev__Stian"
"Enhancing the Experience Application Program Interface (XAPI) to Improve Domain Competency Modeling for Adaptive Instruction",2017,"Sottilare__Robert_A."
"A Statistical Framework for Predictive Model Evaluation in MOOCs",2017,"Gardner__Josh"
"Suggesting a Log-Based Creativity Measurement for Online Programming Learning Environment",2017,"Gal__Lilach"
"Long-Term Peer Reviewing Effort is Anti-Reciprocal",2017,"Kotturi__Yasmine"
"The Changing Patterns of MOOC Discourse",2017,"Dowell__Nia_M.M."
"MOOClets: A Framework for Dynamic Experimentation and Personalization",2017,"Williams__Joseph_Jay"
"Criteria for Video Engagement in a Biology MOOC",2017,"Thornton__Sera"
"Pass the Idea Please: The Relationship between Network Position, Direct Engagement, and Course Performance in MOOCs",2017,"Houston__Stacey_L."
"Observing Personalizations in Learning: Identifying Heterogeneous Treatment Effects Using Causal Trees",2017,"Yin__Biao"
"A Probabilistic Approach for Discovering Difficult Course Topics Using Clickstream Data",2017,"Boughoula__Assma"
"Congruency, Adaptivity, Modularity, and Personalization: Four Experiments in Teaching Introduction to Computing",2017,"Joyner__David_A."
"Mobilizing the Crowd to Create an Open Repository of Research Talks",2017,"Vaish__Rajan"
"Improving Assessment on MOOCs Through Peer Identification and Aligned Incentives",2017,"Gamage__Dilrukshi"
"Using Student Annotated Hashtags and Emojis to Collect Nuanced Affective States",2017,"Zhang__Amy_X."
"A Heuristic Method for Large-Scale Cognitive-Diagnostic Computerized Adaptive Testing",2017,"Vie__Jill-J\^{e}nn"
"Comment Ranking Diversification in Forum Discussions",2017,"Northcutt__Curtis_G."
"Access to Massive Open Online Labs through a MOOC",2017,"Halimi__Wissam"
"Experimenting Choices of Video and Text Feedback in Authentic Foreign Language Assignments at Scale",2017,"Lu__Xiwen"
"The Civic Mission of MOOCs: Measuring Engagement across Political Differences in Forums",2016,"Reich__Justin"
"Mobile Devices for Early Literacy Intervention and Research with Global Reach",2016,"Breazeal__Cynthia"
"Online Urbanism: Interest-Based Subcultures as Drivers of Informal Learning in an Online Community",2016,"Gelman__Ben_U."
"Effects of In-Video Quizzes on MOOC Lecture Viewing",2016,"Kovacs__Geza"
"Brain Points: A Deeper Look at a Growth Mindset Incentive Structure for an Educational Game",2016,"O'Rourke__Eleanor"
"Explaining Student Behavior at Scale: The Influence of Video Complexity on Student Dwelling Time",2016,"Van_der_Sluis__Frans"
"The Future of Learning",2016,"Mitra__Sugata"
"Using Multiple Accounts for Harvesting Solutions in MOOCs",2016,"Ruiperez-Valiente__Jose_A."
"How Mastery Learning Works at Scale",2016,"Ritter__Steve"
"$1 Conversational Turn Detector: Measuring How Video Conversations Affect Student Learning in Online Classes",2016,"Stankiewicz__Adam"
"Course Builder Skill Maps",2016,"Roussev__Boris"
"Learning Student and Content Embeddings for Personalized Lesson Sequence Recommendation",2016,"Reddy__Siddharth"
"Supporting Scalable Data Sharing in Online Education",2016,"Cummins__Stephen"
"Recommending Self-Regulated Learning Strategies Does Not Improve Performance in a MOOC",2016,"Kizilcec__Ren\'{e}_F."
"Investigating the Use of Hints in Online Problem Solving",2016,"Cummins__Stephen"
"A Scalable Learning Analytics Platform for Automated Writing Feedback",2016,"Lewkow__Nicholas"
"The Opportunity Count Model: A Flexible Approach to Modeling Student Performance",2016,"Wang__Yan"
"The Unexpected Pedagogical Benefits of Making Higher Education Accessible",2016,"Joyner__David_A."
"Expert Evaluation of 300 Projects per Day",2016,"Joyner__David_A."
"Metaphors for Learning and MOOC Pedagogies",2016,"Swan__Karen"
"Observing URL Sharing Behaviour in Massive Online Open Courses",2016,"Gallagher__Silvia"
"Illusion of Progress is Moar Addictive than Cat Pictures",2016,"Lepp\""{a}nen__Leo"
"Enabling Schema Agnostic Learning Analytics in a Service-Oriented MOOC Platform",2016,"Renz__Jan"
"Designing Videos with Pedagogical Strategies: Online Students' Perceptions of Their Effectiveness",2016,"Ou__Chaohua"
"Optimizing the Amount of Practice in an On-Line Platform",2016,"Kelly__Kim_M."
"Optimally Discriminative Choice Sets in Discrete Choice Models: Application to Data-Driven Test Design",2016,"Labutov__Igor"
"Identifying Student Misunderstandings Using Constructed Responses",2016,"Stephens-Martinez__Kristin"
"The Distributed Esteemed Endorser Review: A Novel Approach to Participant Assessment in MOOCs",2016,"Kay__Jennifer_S."
"Evaluating the 'Student' Experience in MOOCs",2016,"Vigentini__Lorenzo"
"Personalized Adaptive Learning Using Neural Networks",2016,"Chaplot__Devendra_Singh"
"Understanding ESL Students' Motivations to Increase MOOC Accessibility",2016,"Uchidiuno__Judith"
"LINK-REPORT: Outcome Analysis of Informal Learning at Scale",2016,"Fu__Xiang"
"Beetle-Grow: An Effective Intelligent Tutoring System for Data Collection",2016,"Farrow__Elaine"
"ASSISTments Dataset from Multiple Randomized Controlled Experiments",2016,"Selent__Douglas"
"Predicting Student Learning Using Log Data from Interactive Simulations on Climate Change",2016,"McBride__Elizabeth"
"A Constructionist Toolkit for Learning Elementary Web Development at Scale",2016,"Kim__Meen_Chul"
"Using Android Wear for Avoiding Procrastination Behaviours in MOOCs",2016,"Romero__Crist\'{o}bal"
"Beyond Traditional Metrics: Using Automated Log Coding to Understand 21st Century Learning Online",2016,"Nacu__Denise"
"A Framework for Topic Generation and Labeling from MOOC Discussions",2016,"Atapattu__Thushari"
"A Preliminary Look at MOOC-Associated Facebook Groups: Prevalence, Geographic Representation, and Homophily",2016,"Kasunic__Anna"
"Structured Knowledge Tracing Models for Student Assessment on Coursera",2016,"Wang__Zhuo"
"Predicting Students' Standardized Test Scores Using Online Homework",2016,"Feng__Mingyu"
"Predicting Students' Performance: Incremental Interaction Classifiers",2016,"Sanchez-Santillan__Miguel"
"Learning at Scale: Using an Evidence Hub To Make Sense of What We Know",2016,"Ferguson__Rebecca"
"Elice: An Online CS Education Platform to Understand How Students Learn Programming",2016,"Kim__Suin"
"Work in Progress: Student Behaviors Using Feedback in a Blended Physics Undergraduate Classroom",2016,"DeBoer__Jennifer"
"Macro Data for Micro Learning: Developing the FUN! Tool for Automated Assessment of Learning",2016,"Martin__Taylor"
"PEER Support In MOOCs: The Role Of Social Presence",2016,"Appiah-Kubi__Kwamena"
"Peer Reviewing Short Answers Using Comparative Judgement",2016,"Kolhe__Pushkar"
"Assessing Problem-Solving Process At Scale",2016,"Grover__Shuchi"
"Designing for Open Learning: Design Principles and Scalability Affordances in Practice",2016,"Firssova__Olga"
"Towards Cross-Domain MOOC Forum Post Classification",2016,"Bakharia__Aneesha"
"Scaling up Online Question Answering via Similar Question Retrieval",2016,"Geigle__Chase"
"Challenge and Potential of Fine Grain, Cross-Institutional Learning Data",2016,"Dix__Alan"
"Open-DLAs: An Open Dashboard for Learning Analytics",2016,"Cobos__Ruth"
"Profiling MOOC Course Returners: How Does Student Behavior Change Between Two Course Enrollments?",2016,"Kovanovi\'{c}__Vitomir"
"Making the Production of Learning at Scale More Open and Flexible",2016,"Papathoma__Tina"
"Browser Language Preferences as a Metric for Identifying ESL Speakers in MOOCs",2016,"Uchidiuno__Judith"
"An Investigation of the Effects of Online Test Strategy on Students' Learning Behaviors",2016,"Yang__Tzu_Chi"
"TAPS: A MOSS Extension for Detecting Software Plagiarism at Scale",2016,"Sheahen__Dana"
"A Queueing Network Model for Spaced Repetition",2016,"Reddy__Siddharth"
