"Article","Year","Author","Stem"
"An Intelligent Tutoring System and Teacher Dashboard to Support Mathematizing During Science Inquiry",2019,"Rachel_Dickler","intelligent tutor"
"An Intelligent Tutoring System to Teach Debugging",2013,"Elizabeth_Carter","intelligent tutor system"
"Analysis of Emotion and Engagement in a STEM Alternate Reality Game",2013,"Jihie_Kim","positive word"
"Analysis of Gamification Elements. A Case Study in a Computer Science Course",2019,"Manuel_J._Fonseca","gamif"
"Analysis of Holistic Interactions Between Lecturers and Students in Lectures",2019,"Eiji_Watanabe","lectur"
"Analysis of Task Difficulty Sequences in a Simulation-Based POE Environment",2020,"Gregor_Kennedy","task difficulti"
"Analyzer of Sentence Card Set for Learning by Problem-Posing",2013,"Megumi_Kurayama","learning by problem-pos"
"Analyzing Engagement in an On-Line Session",2019,"Vandana_Naik","engag"
"Analyzing Students’ Design Solutions in an NGSS-Aligned Earth Sciences Curriculum",2019,"Gautam_Biswas","technology-enhanced learn"
"Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns",2019,"Mehrdad_Mirzaei","student sequence analysi"
"Assessing and Improving Learning Outcomes for Power Management Experiments Using Cognitive Graph",2019,"Bin_Duan","learning outcom"
"Assessing Free Student Answers in Tutorial Dialogues Using LSTM Models",2018,"Dipesh_Gautam","intelligent tutoring system"
"Assessing Question Quality Using NLP",2017,"Amy_M._Johnson","intelligent tutoring system"
"Assessing Student Answers to Balanced Tree Problems",2017,"Chun_W._Liew","computer sci"
"Assessing the Collaboration Quality in the Pair Program Tracing and Debugging Eye-Tracking Experiment",2017,"Japheth_Duane_Samaco","eye-track"
"Assessment and Learning of Qualitative Physics in Newton’s Playground",2013,"Matthew_Ventura","stealth assess"
"Assistance in Building Student Models Using Knowledge Representation and Machine Learning",2013,"Nathalie_Guin","knowledge diagnost"
"AttentiveLearner: Improving Mobile MOOC Learning via Implicit Heart Rate Tracking",2015,"Jingtao_Wang","heart rat"
"AttentiveLearner2: A Multimodal Approach for Improving MOOC Learning on Mobile Devices",2017,"Jingtao_Wang","mobile learn"
"AUI Story Maker: Animation Generation from Natural Language",2018,"Nacir_Bouali","natural language process"
"Authoring Expert Knowledge Bases for Intelligent Tutors through Crowdsourcing",2013,"Beverly_Woolf","expert knowledge bas"
"Auto-scoring Discovery and Confirmation Bias in Interpreting Data during Science Inquiry in a Microworld",2013,"Janice_Gobert","science inquiri"
"Auto-Sending Messages in an Intelligent Orchestration System: A Pilot Study",2019,"Jon_Wetzel","classroom orchestration system"
"Autoencoders for Educational Assessment",2019,"Geoffrey_Converse","neural network"
"Automated Analysis of Middle School Students’ Written Reflections During Game-Based Learning",2020,"Dan_Carpenter","reflect"
"Automated Feedback on the Structure of Hypothesis Tests",2019,"Bastiaan_Heeren","domain reason"
"Automated Generation of Self-Explanation Questions in Worked Examples in a Model-Based Tutor",2015,"Amruth_N._Kumar","self-explan"
"Automated Personalized Feedback Improves Learning Gains in An Intelligent Tutoring System",2020,"Dung_D._Vu","intelligent tutoring system"
"Automated Pitch Convergence Improves Learning in a Social, Teachable Robot for Middle School Mathematics",2018,"Amy_Ogan","entrain"
"Automated Prediction of Novice Programmer Performance Using Programming Trajectories",2020,"Miguel_A._Rubio","machine learn"
"Automated Short-Answer Grading Using Deep Neural Networks and Item Response Theory",2020,"Masaki_Uto","deep neural network"
"Automated Summarization Evaluation (ASE) Using Natural Language Processing Tools",2019,"Danielle_McNamara","natural language process"
"Automatic Chinese Short Answer Grading with Deep Autoencoder",2018,"Fuzhen_Zhuang","automatic grad"
"Automatic Classification for Cognitive Engagement in Online Discussion Forums: Text Mining and Machine Learning Approach",2020,"Hind_Hayati","text min"
"Automatic Classification of Error Types in Solutions to Programming Assignments at Online Learning Platform",2019,"Alexey_Shpilman","mooc"
"Automatic Construction of a Phonics Curriculum for Reading Education Using the Transformer Neural Network",2019,"Cassandra_Potier_Watkins","phonics instruct"
"Automatic Dialogic Instruction Detection for K-12 Online One-on-One Classes",2020,"Shiting_Xu","dialogic instruct"
"Automatic Extraction of AST Patterns for Debugging Student Programs",2017,"Ivan_Bratko","programming tutor"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"Armando_Díaz_Tolentino","it"
"Automatic Grading System Using Sentence-BERT Network",2020,"Ben_K._Daniel","neural network"
"Automatic Item Generation Unleashed: An Evaluation of a Large-Scale Deployment of Item Models",2018,"Yigal_Attali","automatic item gener"
"Automatically Generating Discussion Questions",2013,"Ashudeep_Singh","question gener"
"Automating the Categorization of Learning Activities, to Help Improve Learning Design",2019,"Juliette_Culver","learning design"
"AutoMentor: Artificial Intelligent Mentor in Educational Game",2013,"Arthur_Graesser","automentor"
"Autonomous Agent that Provides Automated Feedback Improves Negotiation Skills",2018,"Emmanuel_Johnson","negoti"
"Autonomy and Types of Informational Text Presentations in Game-Based Learning Environments",2019,"Daryn_A._Dever","autonomi"
"AutoTutor 2013: Conversation-Based Online Intelligent Tutoring System with Rich Media (Interactive Event)",2013,"Arthur_Graesser","autotutor"
"Balancing Human Efforts and Performance of Student Response Analyzer in Dialog-Based Tutors",2018,"Bikram_Sengupta","student response analysi"
"Balancing Learning and Engagement in Game-Based Learning Environments with Multi-objective Reinforcement Learning",2017,"James_Lester","tutorial plan"
"Bayesian Diagnosis Tracing: Application of Procedural Misconceptions in Knowledge Tracing",2019,"Bo_Zhang","procedural misconcept"
"Behavioral Engagement Detection of Students in the Wild",2017,"Asli_Arslan_Esme","behavioral engagement detect"
"Behavioral Explanation versus Structural Explanation in Learning by Model-Building",2018,"Takahito_Tomoto","learning by model"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"Andrew_Caines","homework select"
"BERT and Prerequisite Based Ontology for Predicting Learner’s Confusion in MOOCs Discussion Forums",2020,"Abdessamad_Chanaa","massive open online courses (moocs)"
"Better Late Than Never but Never Late Is Better: Towards Reducing the Answer Response Time to Questions in an Online Learning Community",2018,"Gordon_McCalla","online learn"
"Blocking Vs. Interleaving: Examining Single-Session Effects Within Middle School Math Homework",2015,"Cristina_Heffernan","interleav"
"Boosting Engagement with Educational Software Using Near Wins",2018,"Brent_Milne","near-win"
"Bridging Over from Learning Videos to Learning Resources Through Automatic Keyword Extraction",2020,"Angela_Langner_Thiele","video analysi"
"Bring It on! Challenges Encountered While Building a Comprehensive Tutoring System Using ReaderBench",2018,"Amy_M._Johnson","natural language process"
"Building Compiler-Student Friendship",2015,"Tiffany_Barnes","middle school stud"
"Can a Teachable Agent Influence How Students Respond to Competition in an Educational Game?",2017,"Annika_Silvervarg","educational gam"
"Can Online Peer-Review Systems Support Group Mentorship?",2013,"Julita_Vassileva","group mentorship"
"Can Ontologies Support the Gamification of Scripted Collaborative Learning Sessions?",2020,"Geiser_Chalco_Challco","gamif"
"Can Preschoolers Profit from a Teachable Agent Based Play-and-Learn Game in Mathematics?",2013,"Anton_Axelsson","teachable ag"
"Can Short Answers to Open Response Questions Be Auto-Graded Without a Grading Rubric?",2017,"Lishan_Zhang","auto-grad"
"Challenges of Using Observational Data to Determine the Importance of Example Usage",2015,"José_P._González_Brenes","student model"
"Characterizing Students Based on Their Participation in the Class",2018,"Lesley_Gardner","students’ particip"
"Characterizing Students’ Learning Behaviors Using Unsupervised Learning Methods",2017,"Gautam_Biswas","open-ended learning environ"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"Aaron_D._Likens","automated writing evalu"
"Class Distinctions: Leveraging Class-Level Features to Predict Student Retention Performance",2013,"Joseph_Beck","educational data min"
"Class vs. Student in a Bayesian Network Student Model",2013,"Joseph_Beck","bayesian network"
"Classifying Educational Questions Based on the Expected Characteristics of Answers",2018,"Andreea_Godea","question classif"
"Clique Algorithm to Minimize Item Exposure for Uniform Test Forms Assembly",2015,"Maomi_Ueno","uniform tests assembli"
"Cluster-Based Prediction of Mathematical Learning Patterns",2013,"Alberto_Giovanni_Busetto","feature process"
"Cognitive Tutor Use in Chile: Understanding Classroom and Lab Culture",2015,"Amy_Ogan","classroom observ"
"Coherence Over Time: Understanding Day-to-Day Changes in Students’ Open-Ended Problem Solving Behaviors",2015,"Gautam_Biswas","open-ended learning environ"
"Collaboration Detection that Preserves Privacy of Students’ Speech",2019,"Kurt_VanLehn","collaborative learn"
"Collaboration Improves Student Interest in Online Tutoring",2017,"Beverly_Woolf","affective st"
"College Course Name Classification at Scale",2018,"Irina_Borisova","college course classif"
"Combining Semantic Interpretation and Statistical Classification for Improved Explanation Processing in a Tutorial Dialogue System",2013,"Elaine_Farrow","tutorial dialogu"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"Amy_Ogan","teachable ag"
"Communication at Scale in a MOOC Using Predictive Engagement Analytics",2018,"Christopher_V._Le","representation learn"
"Communication Strategies and Affective Backchannels for Conversational Agents to Enhance Learners’ Willingness to Communicate in a Second Language",2017,"Emmanuel_Ayedoun","willingness to communicate in l2"
"Comparing Representations for Learner Models in Interactive Simulations",2015,"Cristina_Conati","educational data min"
"Comparing Student Models in Different Formalisms by Predicting Their Impact on Help Success",2013,"Jack_Mostow","student model"
"Comparison of Expert Tutors Through Syntactic Analysis of Transcripts",2015,"Douglas_Krieghbaum","transcript analysi"
"Complementary Effects of Sense-Making and Fluency-Building Support for Connection Making: A Matter of Sequence?",2013,"Martina_Rau","multiple graphical represent"
"Comprehensive Views of Math Learners: A Case for Modeling and Supporting Non-math Factors in Adaptive Math Software",2020,"J._Elizabeth_Richey","math educ"
"Computational Thinking Through Game Creation in STEM Classrooms",2018,"Avery_Harrison","computational think"
"Conceptual Framework for Collaborative Educational Resources Adaptation in Virtual Learning Environments",2017,"Crediné_Menezes","collaborative learn"
"Conceptual Issues in Mastery Criteria: Differentiating Uncertainty and Degrees of Knowledge",2018,"Radek_Pelánek","learner model"
"Conceptual Scaffolding to Check One’s Procedures",2013,"Eliane_Stampfer","graphical represent"
"Confrustion and Gaming While Learning with Erroneous Examples in a Decimals Game",2020,"Bruce_M._McLaren","digital learning gam"
"Confrustion in Learning from Erroneous Examples: Does Type of Prompted Self-explanation Make a Difference?",2019,"Bruce_M._McLaren","erroneous exampl"
"Connecting the Dots Towards Collaborative AIED: Linking Group Makeup to Process to Learning",2018,"Angela_Stewart","collaborative problem solv"
"Conscientiousness, Honesty-Humility, and Analogical/Creative Reasoning: Implications for Instructional Designs in Intelligent Tutoring Systems",2019,"Anne_M._Sinatra","intellig"
"Constraint-Based Modelling as a Tutoring Framework for Japanese Honorifics",2017,"Ma._Mercedes_Rodrigo","constraint-based model"
"Constructing Automated Revision Graphs: A Novel Visualization Technique to Study Student Writing",2020,"Antonette_Shibani","natural language process"
"Contextual Recommendation of Educational Contents",2015,"Hiranmay_Ghosh","bayesian network"
"Contingent Scaffolding for System Safety Analysis",2020,"Anthony_G._Cohn","contingent scaffold"
"Control of Variables Strategy Across Phases of Inquiry in Virtual Labs",2018,"Deborah_Butler","inquiry learn"
"Conversational Support for Education",2018,"Alessandro_Faraotti","chatbot"
"Correctness- and Confidence-Based Adaptive Feedback of Kit-Build Concept Map with Confidence Tagging",2018,"Jaruwat_Pailai","adaptive feedback"
"Data-Driven Generation of Rubric Parameters from an Educational Programming Environment",2017,"John_Stamper","program"
"Data-Driven Job Capability Profiling",2018,"Aditya_Vempaty","capability requir"
"Data-Driven Worked Examples Improve Retention and Completion in a Logic Tutor",2015,"Behrooz_Mostafavi","worked exampl"
"Deep-Cross-Attention Recommendation Model for Knowledge Sharing Micro Learning Service",2020,"David_Pritchard","recommender system"
"Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System",2019,"Eric_Cosyn","forgetting curv"
"Deep Knowledge Tracing for Free-Form Student Code Progression",2018,"Allen_Guo","knowledge trac"
"Deep Knowledge Tracing with Transformers",2020,"Lu_Ou","bayesian knowledge trac"
"DeepStealth: Leveraging Deep Learning Models for Stealth Assessment in Game-Based Learning Environments",2015,"Bradford_Mott","game-based learning environ"
"Defining the Behavior of an Affective Learning Companion in the Affective Meta-tutor Project",2013,"Javier_Gonzalez_Sanchez","affective comput"
"Degree Curriculum Contraction: A Vector Space Approach",2019,"Mohamed_Alkaoud","higher educ"
"Deliberate System-Side Errors as a Potential Pedagogic Strategy for Exploratory Virtual Learning Environments",2013,"Alyssa_Alcorn","virtual environ"
"Design Prompts for Virtual Reality in Education",2019,"David_Vince","virtual r"
"Designing a Tangible Learning Environment with a Teachable Agent",2013,"Cecil_Lozano","tangible learning environ"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms",2019,"Bruce_M._McLaren","design"
"DETECT: A Hierarchical Clustering Algorithm for Behavioural Trends in Temporal Educational Data",2020,"Irena_Koprinska","hierarchical clust"
"Detecting Off-Task Behavior from Student Dialogue in Game-Based Collaborative Learning",2020,"Andrew_Emerson","off-task behavior"
"Detection of Collaboration: Relationship Between Log and Speech-Based Classification",2019,"Kurt_Vanlehn","collaborative learn"
"Developing a Deep Learning-Based Affect Recognition System for Young Children",2019,"Amir_Hossein_Farzaneh","emotion recognit"
"Developing Game-Based Models of Cooperation, Persistence and Problem Solving from Collaborative Gameplay",2019,"Maria_San_Pedro","cooper"
"Developing Self-regulated Learners Through an Intelligent Tutoring System",2015,"Kim_Kelly","intelligent tutor system"
"Development of an Affect-Sensitive Agent for Aplusix",2013,"Ma._Mercedes_Rodrigo","affect"
"Diagnosing Errors from Off-Path Steps in Model-Tracing Tutors",2013,"André_Mayers","model-trac"
"Didactic Galactic: Types of Knowledge Learned in a Serious Game",2013,"Arthur_Graesser","intelligent tutoring system"
"Differential Impact of Learning Activities Designed to Support Robust Learning in the Genetics Cognitive Tutor",2013,"Aaron_Mitchell","problem solv"
"Discovering Behavior Patterns of Self-Regulated Learners in an Inquiry-Based Learning Environment",2013,"Bradford_Mott","self-regul"
"Discovering Individual and Collaborative Problem-Solving Modes with Hidden Markov Models",2015,"Fernando_J._Rodríguez","collabor"
"Discovery of Study Patterns that Impacts Students’ Discussion Performance in Forum Assignments",2019,"Bruno_Elias_Penteado","study strategi"
"Discrepancy-Detection in Virtual Learning Environments for Young Children with ASC",2013,"Alyssa_Alcorn","virtual environ"
"Disentangling Conceptual and Embodied Mechanisms for Learning with Virtual and Physical Representations",2019,"Martina_Rau","physical/virtual mod"
"Distinguishing Anxiety Subtypes of English Language Learners Towards Augmented Emotional Clarity",2020,"Andrea_Kleinsmith","eda featur"
"Distractor Quality Evaluation in Multiple Choice Questions",2015,"Anne_Laure_Ligozat","multiple choice quest"
"Do Preschoolers ‘Game the System’? A Case Study of Children’s Intelligent (Mis)Use of a Teachable Agent Based Play-&-Learn Game in Mathematics",2018,"Agneta_Gulz","preschool"
"Does Adaptive Provision of Learning Activities Improve Learning in SQL-Tutor?",2017,"Antonija_Mitrovic","intelligent tutoring system"
"Does Choosing the Concept on Which to Solve Each Practice Problem in an Adaptive Tutor Affect Learning?",2019,"Amruth_N._Kumar","choice of practice problem"
"Domain Model for Adaptive Blended Courses on Basic Programming",2015,"Ainhoa_Álvarez","programming tutor"
"Domain Module Building From Textbooks: Integrating Automatic Exercise Generation",2015,"Ana_Arruarte","domain modul"
"Drill Evaluation for Training Procedural Skills",2013,"Christian_Jones","procedural skil"
"Dusting Off the Messy Middle: Assessing Students’ Inquiry Skills Through Doing and Writing",2017,"Haiying_Li","inquiry skil"
"Dynamics of Affective States During MOOC Learning",2017,"Jingtao_Wang","massive open online cours"
"Early Detection of Wheel-Spinning in ASSISTments",2020,"Ryan_Shaun_Baker","wheel-spin"
"Early Dropout Prediction for Programming Courses Supported by Online Judges",2019,"Ahmed_Alamri","learning analyt"
"Early Identification of At-Risk Students Using Iterative Logistic Regression",2018,"Huzefa_Rangwala","iterative logistic regress"
"Early Prediction of Success in MOOC from Video Interaction Features",2020,"Boniface_Mbouzao","mooc"
"EdNet: A Large-Scale Hierarchical Dataset in Education",2020,"Byungsoo_Kim","dataset"
"Educational Potentials in Visually Androgynous Pedagogical Agents",2013,"Agneta_Gulz","pedagogical ag"
"Educational Question Answering Motivated by Question-Specific Concept Maps",2015,"Katrina_Falkner","concept map"
"Educational Technologies to Support Linguistically Diverse Students, and the Challenges of Classroom Integration",2015,"Samantha_Finkelstein","dialect"
"Effect of Discrete and Continuous Parameter Variation on Difficulty in Automatic Item Generation",2019,"Binglin_Chen","automatic item gener"
"Effect of Immediate Feedback on Math Achievement at the High School Level",2020,"Korinn_Ostrow","computer-based learn"
"Effect of Non-mandatory Use of an Intelligent Tutoring System on Students’ Learning",2020,"Antonija_Mitrović","intelligent tutoring system"
"Effects of a Dashboard for an Intelligent Tutoring System on Teacher Knowledge, Lesson Plans and Class Sessions",2017,"Bruce_M._McLaren","intelligent tutoring system"
"Effects of Error-Based Simulation as a Counterexample for Correcting MIF Misconception",2017,"Atsushi_Yamada","mechan"
"Efficient Navigation in Learning Materials: An Empirical Study on the Linking Process",2018,"Luisa_Coheur","learning materi"
"Ella Me Ayudó (She Helped Me): Supporting Hispanic and English Language Learners in a Math ITS",2018,"Beverly_Woolf","intelligent tutoring system (its)"
"Embodied Affect in Tutorial Dialogue: Student Gesture and Posture",2013,"Eric_Wiebe","affect"
"EMBRACE: Applying Cognitive Tutor Principles to Reading Comprehension",2017,"Arthur_M._Glenberg","embodied cognit"
"Emotional, Epistemic, and Neutral Feedback in AutoTutor Trialogues to Improve Reading Comprehension",2015,"Arthur_Graesser","feedback"
"Emotions Detection from Math Exercises by Combining Several Data Sources",2013,"Jesus_G._Boticario","emot"
"Empirically Evaluating the Effectiveness of POMDP vs. MDP Towards the Pedagogical Strategies Induction",2018,"Behrooz_Mostafavi","reinforcement learn"
"Enhancing an Intelligent Tutoring System to Support Student Collaboration: Effects on Learning and Behavior",2017,"Barbara_Di_Eugenio","collaborative intelligent tutoring system"
"Enhancing In-Museum Informal Learning by Augmenting Artworks with Gesture Interactions and AIED Paradigms",2013,"Alin_Nicolae_Zanciu","museum exhibit"
"Erroneous Examples as Desirable Difficulty",2013,"Bruce_M._McLaren","erroneous exampl"
"Estimating the Effect of Web-Based Homework",2013,"Cristina_Heffernan","intelligent tutoring system"
"Evaluating Crowdsourcing and Topic Modeling in Generating Knowledge Components from Explanations",2020,"Huy_Nguyen","knowledge compon"
"Evaluating Human and Automated Generation of Distractors for Diagnostic Multiple-Choice Cloze Questions to Assess Children’s Reading Comprehension",2015,"Jack_Mostow","question gener"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"Cherie_Lucas","reflective writ"
"Evaluating Student Learning in a Synchronous, Collaborative Programming Environment Through Log-Based Analysis of Projects",2020,"Bernard_Yett","collaborative learn"
"Evaluating the Effect of Uncertainty Visualisation in Open Learner Models on Students’ Metacognitive Skills",2017,"Carrie_Demmans_Epp","open learner model"
"Evaluating the Effectiveness of Integrating Natural Language Tutoring into an Existing Adaptive Learning System",2015,"Alistair_Windsor","intelligent tutoring system"
"Evaluating the Transfer of Scaffolded Inquiry: What Sticks and Does It Last?",2019,"Haiying_Li","science inquiri"
"Evaluation of a Meta-tutor for Constructing Models of Dynamic Systems",2013,"Javier_Gonzalez_Sanchez","meta-tutor"
"Evidence-Based Recommendation for Content Improvement Using Reinforcement Learning",2019,"Machi_Shimmei","learning-engin"
"Examining Gaze Behaviors and Metacognitive Judgments of Informational Text Within Game-Based Learning Environments",2019,"Daryn_A._Dever","metacognitive judg"
"Examining Students’ Intrinsic Cognitive Load During Program Comprehension – An Eye Tracking Approach",2020,"Agnieszka_Skawińska","cognitive load"
"Examining the Predictive Relationship Between Personality and Emotion Traits and Learners’ Agent-Direct Emotions",2015,"Cassia_C._Carter","emot"
"Examining the Relationship Between Performance Feedback and Emotions in Diagnostic Reasoning: Toward a Predictive Framework for Emotional Support",2015,"Amanda_Jarrell","emot"
