"Article","Year","Author"
"Detecting learning in noisy data: The case of oral reading fluency",2020,"Klebanov__B.B."
"Analytics of learning strategies: The association with the personality traits",2020,"Matcha__W."
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020,"Kitto__K."
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020,"Faucon__L."
"Exploring exam strategies of successful first year engineering students",2020,"Kuzilek__J."
"Learning with background music: A field experiment",2020,"Li__F."
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020,"Asano__Y."
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020,"Michos__K."
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020,"Fadljevic__L."
"Evaluating teachers' perceptions of students' questions organization",2020,"Harrak__F."
"Towards automatic content analysis of social presence in transcripts of online discussions",2020,"Ferreira__M."
"Predicting student success in a blended learning environment",2020,"Van_Goidsenhoven__S."
"Exploration of the robustness and generalizability of the additive factors model",2020,"Effenberger__T."
"Complementing educational recommender systems with open learner models",2020,"Abdi__S."
"Smart dictionary for E-book reading analytics",2020,"Lecailliez__L."
"Analytics of time management and learning strategies for effective online learning in blended environments",2020,"Uzir__N.A.A."
"Trace data from student solutions to genetics problems reveals variance in the processes related to different course outcomes",2020,"Peffer__M."
"Supporting actionable intelligence: Reframing the analysis of observed study strategies",2020,"Jovanovic__J."
"Analyzing the consistency in within-activity learning patterns in blended learning",2020,"Sher__V."
"Design of a curriculum analytics tool to support continuous improvement processes in higher education",2020,"Hilliger__I."
"Testing the reliability of inter-rater reliability",2020,"Eagan__B."
"What college students say, and what they do: Aligning self-regulated learning theory with behavioral logs",2020,"Quick__J."
"Combining analytic methods to unlock sequential and temporal patterns of self-regulated learning",2020,"Saint__J."
"How patterns of students dashboard use are related to their achievement and self-regulatory engagement",2020,"Kia__F.S."
"Focused or stuck together: Multimodal patterns reveal triads' performance in collaborative problem solving",2020,"Vrzakova__H."
"Is faster better? a study of video playback speed",2020,"Lang__D."
"Dialogue attributes that inform depth and quality of participation in course discussion forums",2020,"Farrow__E."
"Predicting student performance in interactive online question pools using mouse interaction features",2020,"Wei__H."
"Decoding the performance in an out-of-context problem during blocked practice",2020,"Agrawal__S."
"Designing for serendipity in a university course recommendation system",2020,"Pardos__Z.A."
"The automated grading of student open responses in mathematics",2020,"Erickson__J.A."
"How and how well do students reflect?: Multi-dimensional automated reflection assessment in health professions education",2020,"Jung__Y."
"The privacy paradox and its implications for learning analytics",2020,"Tsai__Y.-S."
"Exploring the usage of thermal imaging for understanding video lecture designs and students' experiences",2020,"Srivastava__N."
"Prediction of students' assessment readiness in online learning environments: The sequence matters",2020,"Malekian__D."
"Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning",2020,"Ou__L."
"Assessment that matters: Balancing reliability and learner-centered pedagogy in MOOC assessment",2020,"Alexandron__G."
"Constructing and predicting school advice for academic achievement: A comparison of item response theory and machine learning techniques",2020,"Niemeijer__K."
"Technologies for automated analysis of co-located, real-life, physical learning spaces: Where are we now?",2019,"Chua__Y.H.V."
"Different types of response-based feedback in mathematics: The case of textual and symbolic messages",2019,"Gal__T."
"On multi-device use: Using technological modality profiles to explain differences in students' learning",2019,"Sher__V."
"Semi-automatic generation of intelligent curricula to facilitate learning analytics",2019,"Fiallos__A."
"DEBE feedback for large lecture classroom analytics",2019,"Mitra__R."
"The timeliness deviation: A novel approach to evaluate educational recommender systems for closed-courses",2019,"Krauss__C."
"Differences in student trajectories via filtered time series analysis in an immersive virtual world",2019,"Reilly__J.M."
"Cross-platform analytics: A step towards personalization and adaptation in education",2019,"Mangaroska__K."
"Topic development to support revision feedback",2019,"Vytasek__J.M."
"Validating the use of LMS-derived rubric structural features to facilitate automated measurement of rubric quality",2019,"Arcuria__P."
"Predicting student success in communication skills learning scenarios with virtual humans",2019,"Carnell__S."
"Modeling gender dynamics in intra and interpersonal interactions during online collaborative learning",2019,"Lin__Y."
"Contextualizable learning analytics design: A generic model and writing analytics evaluations",2019,"Shibani__A."
"Deep knowledge tracing and engagement with MOOCs",2019,"Mongkhonvanit__K."
"Read between the lines: An annotation tool for multimodal data for learning",2019,"Mitri__D.D."
"Towards hybrid human-system regulation: Understanding children' SRL support needs in blended classrooms",2019,"Molenaar__I."
"Fairer but not fair enough on the equitability of knowledge tracing",2019,"Doroudi__S."
"Descriptive and predictive modeling of student achievement, satisfaction, and mental health for data-driven smart connected campus life service",2019,"Heo__J."
"Goal-based course recommendation",2019,"Jiang__W."
"Affect sequences and learning in Betty's brain",2019,"Andres__J.M.A.L."
"The impact of student opt-out on educational predictive models",2019,"Li__W."
"“I spent more time with that team”: Making spatial pedagogy visible using positioning sensors",2019,"Martinez-Maldonado__R."
"Introducing meaning to clicks: Towards traced-measures of self-efficacy and cognitive load",2019,"Jovanović__J."
"Integrated closed-loop learning analytics scheme in a first year experience course",2019,"Syed__M."
"Would you? Could you? On a tablet? Analytics of children's ebook reading",2019,"Klebanov__B.B."
"Measuring knowledge gaps in student responses by mining networked representations of texts",2019,"Qiao__C."
"Effective feature learning with unsupervised learning for improving the predictive models in massive open online courses",2019,"Ding__M."
"Top concept networks of professional education reflections",2019,"Wise__A.F."
"Motivated information seeking and graph comprehension among college students",2019,"Aguilar__S.J."
"Language as thought: Using natural language processing to model noncognitive traits that predict college success",2019,"Stone__C."
"Beyond A/B testing: Sequential randomization for developing interventions in scaled digital learning environments",2019,"NeCamp__T."
"Utilizing learning analytics to map students' self-reported study strategies to click behaviors in STEM courses",2019,"Rodriguez__F."
"The validity and utility of activity logs as a measure of student engagement",2019,"Motz__B."
"Social comparison in MOOCs: Perceived SES, opinion, and message formality",2019,"Choi__H."
"Lak 2019 program chairs' welcome",2019,"Ferguson__R."
"Analytics of learning strategies: Associations with academic performance and feedback",2019,"Matcha__W."
"Are you talking to me? Multi-dimensional language analysis of explanations during reading",2019,"Allen__L.K."
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"Babik__D."
"Using detailed access trajectories for learning behavior analysis",2019,"Wang__Y."
"Transfer learning using representation learning in massive open online courses",2019,"Ding__M."
"Counting clicks is not enough: Validating a theorized model of engagement in learning analytics",2019,"Fincham__E."
"Student centred design of a learning analytics system",2019,"De_Quincey__E."
"DiAD: Domain adaptation for learning at scale",2019,"Zeng__Z."
"Exploring the subtleties of agency and indirect control in digital learning games",2019,"Harpstead__E."
"Challenges on implementing learning analytics over countrywide K-12 data",2019,"Macarini__L.A."
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Morsy__S."
"Multichannel data for understanding cognitive affordances during complex problem solving",2019,"Larmuseau__C."
"Analysing discussion forum data: A replication study avoiding data contamination",2019,"Farrow__E."
"Can background music facilitate learning? Preliminary results on reading comprehension",2019,"Hu__X."
"Exploring learner engagement patterns in teach-outs",2019,"Yan__W."
"Predicting the well-functioning of learning groups under privacy restrictions",2019,"Hecking__T."
"Investigating the usage patterns of algebra nation tutoring platform",2019,"Niaki__S.A."
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"Azcona__D."
"Evaluating the fairness of predictive student models through slicing analysis",2019,"Gardner__J."
"Where you are, not what you see: The impact of learning environment on mind wandering and material retention",2019,"Varao-Sousa__T.L."
"Square it up! How to model step duration when predicting student performance",2019,"Chounta__I.-A."
"Exploring programming semantic analytics with deep learning models",2019,"Lu__Y."
"Refusing to try: Characterizing early stopout on student assignments",2019,"Botelho__A.F."
"Learning analytics at the intersections of student trust, disclosure and benefit",2019,"Slade__S."
"The impact of an online tutoring program for algebra readiness on mathematics achievements; results of a randomized experiment",2019,"Niaki__S.A."
"Clustering analysis reveals authentic science inquiry trajectories among undergraduates",2019,"Peffer__M."
"Towards value-sensitive learning analytics design",2019,"Chen__B."
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"Fiacco__J."
"Increasing the impact of learning analytics",2019,"Dawson__S."
"An analysis of student representation, representative features and classification algorithms to predict degree dropout",2019,"Manrique__R."
"Reliable deep grade prediction with uncertainty estimation",2019,"Hu__Q."
"Exploring students' sensemaking of learning analytics dashboards: Does frame of reference make a difference?",2019,"Lim__L."
"UPM: Discovering course enrollment sequences associated with success",2019,"Elbadrawy__A."
"Comprehension factor analysis: Modeling student's reading behaviour",2019,"Thaker__K."
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"Lee__J."
"Player pairs valuation in ice hockey",2019,"Ljung__D."
"Predicting pass receiver in football using distance based features",2019,"Dauxais__Y."
"Real-time power performance prediction in tour de france",2019,"Kataoka__Y."
"Football pass prediction using player locations",2019,"Fournier-Viger__P."
"Evaluating NFL plays: Expected points adjusted for schedule",2019,"Pelechrinis__K."
"Ranking the teams in european football leagues with agony",2019,"Neumann__S."
"Predicting the receivers of football passes",2019,"Li__H."
"Measuring football players’ on-the-ball contributions from passes during games",2019,"Bransen__L."
"Distinguishing between roles of football players in play-by-play match event data",2019,"Aalbers__B."
"Model trees for identifying exceptional players in the NHL and NBA drafts",2019,"Liu__Y."
"Automatic classification of strike techniques using limb trajectory data",2019,"Soekarjo__K.M.W."
"Player valuation in European football",2019,"Nsolo__E."
"Forecasting the fifa world cup – combining result- and goal-based team ability parameters",2019,"Robberechts__P."
"Deep learning from spatial relations for soccer pass prediction",2019,"Hubáček__O."
"Interpreting deep sports analytics: Valuing actions and players in the NHL",2019,"Liu__G."
"A progressive resampling algorithm for finding very sparse investment portfolios",2019,"Hassinen__M."
"A web crawling environment to support financial strategies and trend correlation: – extended abstract –",2019,"Ponti__G."
"Calibrating the mean-reversion parameter in the hull-white model using neural networks",2019,"Moysiadis__G."
"Testing for self-excitation in financial events: A bayesian approach",2019,"Türkmen__A.C."
"Deep factor model: Explaining deep learning decisions for forecasting stock returns with layer-wise relevance propagation",2019,"Nakagawa__K."
"Exploring students eating habits through individual profiling and clustering analysis",2019,"Natilli__M."
"A comparison of neural network methods for accurate sentiment analysis of stock market tweets",2019,"Tabari__N."
"Privacy risk for individual basket patterns",2019,"Pellungrini__R."
"Privacy preserving client/vertical-servers classification",2019,"Boer__D."
"ICIE 1.0: A novel tool for interactive contextual interaction explanations",2019,"van_der_Zon__S.B."
"A multivariate and multi-step ahead machine learning approach to traditional and cryptocurrencies volatility forecasting",2019,"De_Stefani__J."
"A differential privacy workflow for inference of parameters in the rasch model",2019,"Steiner__T.A."
"LAK 2018 program chairs’ welcome",2018,"Shum__S.B."
"Data-driven generation of rubric criteria from an educational programming environment",2018,"Diana__N."
"Methodological foundations for the measurement of learning in learning analytics",2018,"Milligan__S.K."
"“I’ll do it!”: Examining the relationship between locus of control and math game retention for preschoolers",2018,"Kim__B."
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"Lebis__A."
"Driving data storytelling from learning design",2018,"Echeverria__V."
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"Boroujeni__M.S."
"Classroom size, activity and attendance: Scaling up drivers of learning space occupation",2018,"Brennan__A."
"PHS profiling students from their questions in a blended learning environment",2018,"Harrak__F."
"Conceptualizing Co-enrollment: Accounting for student experiences across the curriculum",2018,"Brown__M.G."
"Towards a data archiving solution for learning analytics",2018,"Taylor__S."
"An application of participatory action research in advising-Focused learning analytics",2018,"Fiorini__S."
"The pragmatic maxim as learning analytics research method",2018,"Gibson__A."
"Gaze insights into debugging behavior using learner-Centred analysis",2018,"Mangaroska__K."
"Graph-Based visual topic dependency models supporting assessment design and delivery at scale",2018,"Cooper__K."
"Embracing imperfection in learning analytics",2018,"Kitto__K."
"The half-Life of MOOC knowledge a randomized trial evaluating knowledge retention and retrieval practice in MOOCs",2018,"Davis__D."
"Prospectively predicting 4-Year college graduation from student applications",2018,"Hutt__S."
"Connecting decentralized learning records: A blockchain based learning analytics platform",2018,"Ocheja__P."
"A multi-Dimensional analysis of writing flexibility in an automated writing evaluation system",2018,"Allen__L.K."
"A generalized classifier to identify online learning tool disengagement at scale",2018,"Feild__J."
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"Alhadad__S.S.J."
"Towards a writing analytics framework for adult english language learners",2018,"Liaqat__A."
"A framework for developing metrics of youth engagement in informal learning environments",2018,"Nacu__D."
"Epistemic network analysis of students’ longer written assignments as formative/Summative evaluation",2018,"Fougt__S.S."
"Multi-Institutional positioning test feedback dashboard for aspiring students lessons learnt from a case study in flanders",2018,"Broos__T."
"The complexities of developing a personal code of ethics for learning analytics practitioners implications for institutions and the field",2018,"Lang__C."
"Correlating affect and behavior in reasoning mind with state test achievement",2018,"Kostyuk__V."
"Are MOOC forums changing?",2018,"Poquet__O."
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"Jivet__I."
"Co-Creation strategies for learning analytics",2018,"Dollinger__M."
"Explaining learning performance using response-Time, self-Regulation and satisfaction from content: An fsQCA approach",2018,"Papamitsiou__Z."
"A qualitative evaluation of a learning dashboard to support advisor-Student dialogues",2018,"Millecamp__M."
"A diagnostic tool for competency-Based program engineering",2018,"Durand__G."
"The influence of students’ cognitive and motivational characteristics on students’ use of a 4C/ID-based online learning environment and their learning gain",2018,"Larmuseau__C."
"Reciprocal peer recommendation for learning purposes",2018,"Potts__B.A."
"Rethinking learning analytics adoption through complexity leadership theory",2018,"Dawson__S."
"(Dis)Engagement matters: Identifying efficacious learning practices with multimodal learning analytics",2018,"Worsley__M."
"The RAP system: Automatic feedback of oral presentation skills using multimodal analysis and low-Cost sensors",2018,"Ochoa__X."
"The teacher in the loop: Customizing multimodal learning analytics for blended learning",2018,"Rodríguez-Triana__M.J."
"Supporting teachers’ intervention in students’ virtual collaboration using a network based model",2018,"Herder__T."
"Investigating learning strategies in a dispositional learning analytics context: The case of worked examples",2018,"Tempelaar__D."
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"Holstein__K."
"SHEILA policy framework: Informing institutional strategies and policy processes of learning analytics",2018,"Tsai__Y.-S."
"Evaluating retrieval practice in a MOOC how writing and reading summaries of videos affects student learning",2018,"Van_Der_Zee__T."
"Recurrence quantification analysis as a method for studying text comprehension dynamics",2018,"Likens__A.D."
"Linking students’ timing of engagement to learning design and academic performance",2018,"Nguyen__Q."
"Using embedded formative assessment to predict state summative test scores",2018,"Fancsali__S.E."
"Physical learning analytics: A multimodal perspective",2018,"Martinez-Maldonado__R."
"Analysis of interactions between lecturers and students",2018,"Watanabe__E."
"Understand students’ self-Reflections through learning analytics",2018,"Kovanović__V."
"Coenrollment networks and their relationship to grades in undergraduate education",2018,"Gardner__J."
"Studying MOOC completion at scale using the MOOC replication framework",2018,"Andres__J.M.L."
"Can’t get more satisfaction? Game-Theoretic group-Recommendation of educational resources",2018,"Papamitsiou__Z."
"Online change detection for monitoring individual student behavior via clickstream data on E-book system",2018,"Shimada__A."
"Video and learning: A systematic review (2007-2017)",2018,"Poquet__O."
"Finding traces of self-Regulated learning in activity streams",2018,"Cicchinelli__A."
"Running out of STEM: A comparative study across STEM majors of college students At-Risk of dropping out early",2018,"Chen__Y."
"Open learner models and learning analytics dashboards: A systematic review",2018,"Bodily__R."
"What exactly do students learn when they practice equation solving? Refining knowledge components with the additive factors model",2018,"Long__Y."
"Unpacking the relationship between discussion forum participation and learning in MOOCs: Content is key",2018,"Wise__A.F."
"LAK 2017 program chairs' welcome",2017,"Molenaar__I."
"Learning Analytics and Policy (LAP) - International aspirations, achievements and constraints",2017,"Bowe__M."
"Beyond failure: The 2nd LAK Failathon",2017,"Clow__D."
"Building a transcript of the future",2017,"Koester__B.P."
"Workshop on integrated learning analytics of MOOC post-course development",2017,"Wang__Y."
"Planning prompts increase and forecast course completion in massive open online courses",2017,"Yeomans__M."
"Widget, widget as you lead, I am performing well indeed! using results from an exploratory offline study to inform an empirical online study about a learning analytics widget in a collaborative learning environment",2017,"Scheffel__M."
"ATCE - An analytics tool to trace the creation and evaluation of inclusive and accessible open educational resources",2017,"Avila__C."
"Trends and issues in student-facing learning analytics reporting systems research",2017,"Bodily__R."
"Impact of student choice of content adoption delay on course outcomes",2017,"Agnihotri__L."
"Automated analysis of aspects of written argumentation",2017,"Elouazizi__N."
"A neural network approach for students' performance prediction",2017,"Okubo__F."
"Studying engagement and performance with learning technology in an African classroom",2017,"Mutahi__J."
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"Kopeinik__S."
"Using item response theory to generate an item pool for an e-learning-system",2017,"Schweighart__M."
"Business intelligence (BI) for personalized student dashboards",2017,"Sluijter__J."
"Using learning analytics to explore help-seeking learner profiles in MOOCs",2017,"Corrin__L."
"An elephant in the learning analytics room - The obligation to act",2017,"Prinsloo__P."
"Honing in on social learning networks in MOOC forums: Examining critical network definition decisions",2017,"Wise__A.F."
"Real-time learning analytics for C programming language courses",2017,"Fu__X."
"An automatic approach for discovering skill relationship from learning data",2017,"Wong__T.-L."
"Dear learner: Participatory visualisation of learning data for sensemaking",2017,"Knight__S."
"What'd you say again? Recurrence quantification analysis as a method for analyzing the dynamics of discourse in a reading strategy tutor",2017,"Allen__L.K."
"Using predictive analytics in a self-regulated learning university course to promote student success",2017,"Edwards__R.L."
"A framework for hypothesis-driven approaches to support data-driven learning analytics in measuring computational thinking in block-based programming",2017,"Grover__S."
"An information policy perspective on learning analytics",2017,"Haythornthwaite__C."
"Follow the successful crowd: Raising MOOC completion rates through social comparison at scale?",2017,"Davis__D."
"Where is the evidence? A call to action for learning analytics",2017,"Ferguson__R."
"[LISA] learning analytics for sensor-based adaptive learning",2017,"Fortenbacher__A."
"Dynamics of MOOC discussion forums",2017,"Boroujeni__M.S."
"Best intentions: Learner feedback on learning analytics visualization design",2017,"Alabi__H."
"Workshop on methodology in learning analytics (MLA)",2017,"Bergner__Y."
"2nd cross-LAK: Learning analytics across physical and digital spaces",2017,"Martinez-Maldonado__R."
"Intelligent tutors as teachers' aides: Exploring teacher needs for real-time analytics in blended classrooms",2017,"Holstein__K."
"Mining Knowledge Components from many untagged questions",2017,"Zimmerman__N.L."
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"Xu__Z."
"Tracing physical movement during practice-based learning through Multimodal Learning Analytics",2017,"Healion__D."
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"Hoel__T."
"Implementing predictive learning analytics on a large scale: The teacher's perspective",2017,"Herodotou__C."
"Discourse analysis to improve the effective engagement of MOOC videos",2017,"Atapattu__T."
"Strategies for data and learning analytics informed national education policies: The case of Uruguay",2017,"Aguerrebere__C."
"Supporting learning analytics in computing education",2017,"Olivares__D.M."
"From prediction to impact: Evaluation of a learning analytics retention program",2017,"Dawson__S."
"Forecasting student outcomes at university-wide scale using machine learning",2017,"Wham__D."
"Current and future multimodal learning analytics data challenges",2017,"Spikol__D."
"Learning from learning curves: Discovering interpretable learning trajectories",2017,"Chen__L."
"A systematic review of studies on predicting student learning outcomes using learning analytics",2017,"Hu__X."
"Modeling exploration strategies to predict student performance within a learning environment and beyond",2017,"Käser__T."
"Temporal analytics with discourse analysis: Tracing ideas and impact on communal discourse",2017,"Lee__A.V.Y."
"Learning pulse: A machine Learning approach for predicting performance in self-regulated learning using multimodal data",2017,"Di_Mitri__D."
"Using data visualizations to foster emotion regulation during self-regulated learning with advanced learning technologies: A conceptual framework",2017,"Azevedo__R."
"When learning is high stake",2017,"Johanne__C."
"The effects of a learning analytics empowered technology on students' arithmetic skill development",2017,"Molenaar__I."
"Improving learning through achievement priming in crowdsourced information finding microtasks",2017,"Gadiraju__U."
"Assessment of language in authentic Science inquiry reveals putative differences in epistemology",2017,"Peffer__M.E."
"Student perceptions of their privacy in leaning analytics applications",2017,"Arnold__K.E."
"Challenges and opportunities facing educational discourse researchers",2017,"Brooks__C."
"Data-assisted instructional video revision via course-level exploratory video retention analysis",2017,"Lei__C.-U."
"How to assign students into sections to raise learning",2017,"Chiu__M.M."
"EMODA: A tutor oriented multimodal and contextual emotional dashboard",2017,"Ez-Zaouia__M."
"Don't call it a comeback: Academic recovery and the timing of educational technology adoption",2017,"Brown__M.G."
"Community based educational data repositories and analysis tools",2017,"Koedinger__K."
"Measures for recommendations based on past students' activity",2017,"Huptych__M."
"Using correlational topic modeling for automated topic identification in intelligent tutoring systems",2017,"Slater__S."
"Topic models to support instructors in MOOC forums",2017,"Vytasek__J.M."
"La policy: Developing an institutional policy for learning analytics using the RAPID outcome mapping approach",2017,"Tsai__Y.-S."
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"Arnold__K.E."
"An outcome-based dashboard for Moodle and Open edX",2017,"Hu__X."
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"Knight__S."
"Video annotation tool for learning job interview",2017,"Yaginuma__Y."
"What are visitors up to? Helping museum facilitators know what visitors are doing",2017,"Kumar__V."
"Classifying help seeking behaviour in online communities",2017,"Cross__S."
"Opportunities for personalization in modeling students as Bayesian learners",2017,"Lang__C."
"Predicting math performance using natural language processing tools",2017,"Crossley__S."
"Scientific modeling: Using learning analytics to examine student practices and classroom variation",2017,"Quigley__D."
"Reflective writing analytics for actionable feedback",2017,"Gibson__A."
"Reproducibility of findings from educational big data: A preliminary study",2017,"Oi__M."
"Using learning analytics in iterative design of a digital modeling tool",2017,"Quigley__D."
"Learning analytics in a seamless learning environment",2017,"Mouri__K."
"An instructor dashboard for real-time analytics in interactive programming assignments",2017,"Diana__N."
"Reflective writing analytics - Empirically determined keywords of written reflection",2017,"Ullmann__T.D."
"Integrating syllabus data into student success models",2017,"Gardner__J."
"Analytics meet patient manikins: Challenges in an authentic small-group healthcare simulation classroom",2017,"Martinez-Maldonado__R."
"Predicting the decrease of engagement indicators in a MOOC",2017,"Bote-Lorenzo__M.L."
"DesignLAK17: Quality metrics and indicators for analytics of assessment design at scale",2017,"Ringtved__U."
"Uncovering reviewing and reflecting behaviors from paper-based formal assessment",2017,"Hsiao__I.-H."
"How can we accelerate dissemination of knowledge and learning?: Developing an online knowledge management platform for Networked Improvement Communities",2017,"Manai__O."
"Buying time: Enabling learners to become earners with a real-world paid task recommender system",2017,"Chen__G."
"Automating student survey reports in online education for faculty and instructional designers",2017,"Burns__S."
"Exploring the measurement of collaborative problem solving using a human-agent educational game",2017,"Stoeffler__K."
"What do students want? Towards an instrument for students' evaluation of quality of learning analytics services",2017,"Whitelock-Wainwright__A."
"Expanding the scope of learning analytics data: Preliminary findings on attention and self-regulation using wearable technology",2017,"Spann__C.A."
"Unravelling the dynamics of instructional practice: A longitudinal study on learning design and vle activities",2017,"Nguyen__Q."
"Cooking with learning analytics recipes",2017,"Jaakonmäki__R."
"Developing a MOOC experimentation platform: Insights from a user study",2017,"Kovanović__V."
"Examining motivations and self-regulated learning strategies of returning MOOCs learners",2017,"Chen__B."
"Quasi-experimental design for causal inference using Python and Apache Spark: A hands-on tutorial",2017,"Mojarad__S."
"Connecting data with student support actions in a course: A hands-on tutorial",2017,"Pardo__A."
"New features in wikiglass, a learning analytic tool for visualizing collaborative work on wikis",2017,"Hu__X."
"Understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment",2017,"Andrade__A."
"Relevance of Learning analytics to measure and support students' learning in adaptive educational technologies",2017,"Bannert__M."
"What does student writing tell us about their thinking on social justice?",2017,"Choi__H."
"Large scale predictive process mining and analytics of university degree course data",2017,"Schulte__J."
"Spacle: Investigating learning across virtual and physical spaces using spatial replays",2017,"Holstein__K."
"FutureLearn data: What we currently have, what we are Learning and how it is demonstrating learning in MOOCs",2017,"Vigentini__L."
"Sequencing content in an adaptive testing system: The role of choice",2017,"Adjei__S.A."
"Detecting changes in student behavior from clickstream data",2017,"Park__J."
"Exploring the asymmetry of metacognition",2017,"Aghababyan__A."
"Learning analytics in higher education - Challenges and policies: A review of eight learning analytics policies",2017,"Tsai__Y.-S."
"Ouroboros: Early identification of at-risk students without models based on legacy data",2017,"Hlosta__M."
"Developing institutional learning analytics 'communities of transformation' to support student success",2017,"Macfadyen__L.P."
"Understanding the relationship between technology use and cognitive presence in MOOCs",2017,"Kovanović__V."
"Utilizing visualization and feature selection methods to identify important learning objectives in a course",2017,"Marbouti__F."
