"Article","Year","Stem"
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020,"curriculum integrated math gam"
"Detecting learning in noisy data: The case of oral reading fluency",2020,"book read"
"Analytics of learning strategies: The association with the personality traits",2020,"approaches to learn"
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020,"curriculum analyt"
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020,"adaptive learning environ"
"Exploring exam strategies of successful first year engineering students",2020,"exam strategi"
"Learning with background music: A field experiment",2020,"background mus"
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020,"engag"
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020,"case studi"
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020,"adaptive e-learning system"
"Evaluating teachers' perceptions of students' questions organization",2020,"pedagogical interest"
"Towards automatic content analysis of social presence in transcripts of online discussions",2020,"community of inquiry model"
"Predicting student success in a blended learning environment",2020,"blended learn"
"Exploration of the robustness and generalizability of the additive factors model",2020,"introductory program"
"Complementing educational recommender systems with open learner models",2020,"educational recommender system"
"Smart dictionary for E-book reading analytics",2020,"dictionari"
"Analytics of time management and learning strategies for effective online learning in blended environments",2020,"blended learn"
"Trace data from student solutions to genetics problems reveals variance in the processes related to different course outcomes",2020,"cluster"
"Supporting actionable intelligence: Reframing the analysis of observed study strategies",2020,"explanatory model"
"Analyzing the consistency in within-activity learning patterns in blended learning",2020,"learner performance and consist"
"Design of a curriculum analytics tool to support continuous improvement processes in higher education",2020,"curriculum analyt"
"Testing the reliability of inter-rater reliability",2020,"code"
"What college students say, and what they do: Aligning self-regulated learning theory with behavioral logs",2020,"lms"
"Combining analytic methods to unlock sequential and temporal patterns of self-regulated learning",2020,"epistemic network analysi"
"How patterns of students dashboard use are related to their achievement and self-regulatory engagement",2020,"academic achiev"
"Focused or stuck together: Multimodal patterns reveal triads' performance in collaborative problem solving",2020,"cscl"
"Is faster better? a study of video playback speed",2020,"clickstream"
"Dialogue attributes that inform depth and quality of participation in course discussion forums",2020,"cognitive pres"
"Predicting student performance in interactive online question pools using mouse interaction features",2020,"heterogeneous information network"
"Decoding the performance in an out-of-context problem during blocked practice",2020,"block"
"Designing for serendipity in a university course recommendation system",2020,"course guid"
"The automated grading of student open responses in mathematics",2020,"automatic grad"
"How and how well do students reflect?: Multi-dimensional automated reflection assessment in health professions education",2020,"classif"
"The privacy paradox and its implications for learning analytics",2020,"expect"
"Exploring the usage of thermal imaging for understanding video lecture designs and students' experiences",2020,"cognitive load"
"Prediction of students' assessment readiness in online learning environments: The sequence matters",2020,"assessment readiness predict"
"Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning",2020,"dynamic model"
"Assessment that matters: Balancing reliability and learner-centered pedagogy in MOOC assessment",2020,"assess"
"Constructing and predicting school advice for academic achievement: A comparison of item response theory and machine learning techniques",2020,"e-learn"
"Technologies for automated analysis of co-located, real-life, physical learning spaces: Where are we now?",2019,"co-located learn"
"Different types of response-based feedback in mathematics: The case of textual and symbolic messages",2019,"computer-based learn"
"On multi-device use: Using technological modality profiles to explain differences in students' learning",2019,"blended learn"
"Semi-automatic generation of intelligent curricula to facilitate learning analytics",2019,"intelligent curriculum"
"DEBE feedback for large lecture classroom analytics",2019,"large lectur"
"The timeliness deviation: A novel approach to evaluate educational recommender systems for closed-courses",2019,"educational recommender system"
"Differences in student trajectories via filtered time series analysis in an immersive virtual world",2019,"immersive virtual world"
"Cross-platform analytics: A step towards personalization and adaptation in education",2019,"architectur"
"Topic development to support revision feedback",2019,"student support"
"Validating the use of LMS-derived rubric structural features to facilitate automated measurement of rubric quality",2019,"rubric"
"Predicting student success in communication skills learning scenarios with virtual humans",2019,"communications skills learn"
"Modeling gender dynamics in intra and interpersonal interactions during online collaborative learning",2019,"collaborative learn"
"Contextualizable learning analytics design: A generic model and writing analytics evaluations",2019,"clad"
"Deep knowledge tracing and engagement with MOOCs",2019,"item respons"
"Read between the lines: An annotation tool for multimodal data for learning",2019,"internet of th"
"Towards hybrid human-system regulation: Understanding children' SRL support needs in blended classrooms",2019,"adaptive learning technolog"
"Fairer but not fair enough on the equitability of knowledge tracing",2019,"equiti"
"Descriptive and predictive modeling of student achievement, satisfaction, and mental health for data-driven smart connected campus life service",2019,"academic achiev"
"Affect sequences and learning in Betty's brain",2019,"affect"
"The impact of student opt-out on educational predictive models",2019,"data privaci"
"“I spent more time with that team”: Making spatial pedagogy visible using positioning sensors",2019,"classroom"
"Introducing meaning to clicks: Towards traced-measures of self-efficacy and cognitive load",2019,"cognitive load"
"Integrated closed-loop learning analytics scheme in a first year experience course",2019,"advis"
"Would you? Could you? On a tablet? Analytics of children's ebook reading",2019,"book read"
"Measuring knowledge gaps in student responses by mining networked representations of texts",2019,"educational data min"
"Effective feature learning with unsupervised learning for improving the predictive models in massive open online courses",2019,"autoencod"
"Top concept networks of professional education reflections",2019,"concept network"
"Motivated information seeking and graph comprehension among college students",2019,"higher educ"
"Language as thought: Using natural language processing to model noncognitive traits that predict college success",2019,"college success"
"Beyond A/B testing: Sequential randomization for developing interventions in scaled digital learning environments",2019,"experimental design"
"Utilizing learning analytics to map students' self-reported study strategies to click behaviors in STEM courses",2019,"higher educ"
"The validity and utility of activity logs as a measure of student engagement",2019,"lms"
"Social comparison in MOOCs: Perceived SES, opinion, and message formality",2019,"mooc"
"Analytics of learning strategies: Associations with academic performance and feedback",2019,"data min"
"Are you talking to me? Multi-dimensional language analysis of explanations during reading",2019,"comprehens"
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"peer assess"
"Using detailed access trajectories for learning behavior analysis",2019,"detailed access trajectori"
"Transfer learning using representation learning in massive open online courses",2019,"autoencod"
"Counting clicks is not enough: Validating a theorized model of engagement in learning analytics",2019,"engag"
"Student centred design of a learning analytics system",2019,"ladder"
"DiAD: Domain adaptation for learning at scale",2019,"confusion detect"
"Exploring the subtleties of agency and indirect control in digital learning games",2019,"agenc"
"Challenges on implementing learning analytics over countrywide K-12 data",2019,"academic trajectori"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"academic perform"
"Multichannel data for understanding cognitive affordances during complex problem solving",2019,"cognitive load"
"Analysing discussion forum data: A replication study avoiding data contamination",2019,"cognitive pres"
"Can background music facilitate learning? Preliminary results on reading comprehension",2019,"affect"
"Exploring learner engagement patterns in teach-outs",2019,"learning experi"
"Predicting the well-functioning of learning groups under privacy restrictions",2019,"group support"
"Investigating the usage patterns of algebra nation tutoring platform",2019,"hierarchical linear model"
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"code embed"
"Evaluating the fairness of predictive student models through slicing analysis",2019,"fair"
"Where you are, not what you see: The impact of learning environment on mind wandering and material retention",2019,"learning set"
"Square it up! How to model step duration when predicting student performance",2019,"intelligent tutoring system"
"Exploring programming semantic analytics with deep learning models",2019,"coding concept detect"
"Refusing to try: Characterizing early stopout on student assignments",2019,"dropout"
"Learning analytics at the intersections of student trust, disclosure and benefit",2019,"boundary manag"
"The impact of an online tutoring program for algebra readiness on mathematics achievements; results of a randomized experiment",2019,"hierarchical linear model"
"Clustering analysis reveals authentic science inquiry trajectories among undergraduates",2019,"authentic science inquiri"
"Towards value-sensitive learning analytics design",2019,"data eth"
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"automatic essay evalu"
"Increasing the impact of learning analytics",2019,"adopt"
"An analysis of student representation, representative features and classification algorithms to predict degree dropout",2019,"degree dropout analysi"
"Reliable deep grade prediction with uncertainty estimation",2019,"bayesian deep learn"
"Exploring students' sensemaking of learning analytics dashboards: Does frame of reference make a difference?",2019,"epistemic network analysi"
"UPM: Discovering course enrollment sequences associated with success",2019,"discriminative sequence analysi"
"Comprehension factor analysis: Modeling student's reading behaviour",2019,"education data min"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"deep learn"
"Player pairs valuation in ice hockey",2019,"data min"
"Predicting pass receiver in football using distance based features",2019,"distance based featur"
"Real-time power performance prediction in tour de france",2019,"autoencod"
"Football pass prediction using player locations",2019,"footbal"
"Ranking the teams in european football leagues with agony",2019,"agoni"
"Predicting the receivers of football passes",2019,"football pass predict"
"Measuring football players’ on-the-ball contributions from passes during games",2019,"football analyt"
"Distinguishing between roles of football players in play-by-play match event data",2019,"football analyt"
"Model trees for identifying exceptional players in the NHL and NBA drafts",2019,"logistic model tre"
"Automatic classification of strike techniques using limb trajectory data",2019,"combat sport"
"Player valuation in European football",2019,"data min"
"Forecasting the fifa world cup – combining result- and goal-based team ability parameters",2019,"football match outcome predict"
"A progressive resampling algorithm for finding very sparse investment portfolios",2019,"portfolio select"
"A web crawling environment to support financial strategies and trend correlation: – extended abstract –",2019,"big data"
"Calibrating the mean-reversion parameter in the hull-white model using neural networks",2019,"calibr"
"Deep factor model: Explaining deep learning decisions for forecasting stock returns with layer-wise relevance propagation",2019,"deep factor model"
"Exploring students eating habits through individual profiling and clustering analysis",2019,"clustering analysi"
"A comparison of neural network methods for accurate sentiment analysis of stock market tweets",2019,"neural network"
"Privacy preserving client/vertical-servers classification",2019,"privacy preserving data min"
"ICIE 1.0: A novel tool for interactive contextual interaction explanations",2019,"awar"
"A multivariate and multi-step ahead machine learning approach to traditional and cryptocurrencies volatility forecasting",2019,"dynamic factor model"
"A differential privacy workflow for inference of parameters in the rasch model",2019,"differential privaci"
"Data-driven generation of rubric criteria from an educational programming environment",2018,"assess"
"Methodological foundations for the measurement of learning in learning analytics",2018,"irt"
"“I’ll do it!”: Examining the relationship between locus of control and math game retention for preschoolers",2018,"locus of control"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"adapt"
"Driving data storytelling from learning design",2018,"dashboard"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"cluster"
"Classroom size, activity and attendance: Scaling up drivers of learning space occupation",2018,"class attend"
"PHS profiling students from their questions in a blended learning environment",2018,"blended learn"
"Conceptualizing Co-enrollment: Accounting for student experiences across the curriculum",2018,"curriculum analyt"
"Towards a data archiving solution for learning analytics",2018,"barriers to adopt"
"An application of participatory action research in advising-Focused learning analytics",2018,"advis"
"The pragmatic maxim as learning analytics research method",2018,"inquiri"
"Gaze insights into debugging behavior using learner-Centred analysis",2018,"behaviour regul"
"Graph-Based visual topic dependency models supporting assessment design and delivery at scale",2018,"graph algorithm"
"Embracing imperfection in learning analytics",2018,"accuraci"
"The half-Life of MOOC knowledge a randomized trial evaluating knowledge retention and retrieval practice in MOOCs",2018,"experi"
"Prospectively predicting 4-Year college graduation from student applications",2018,"college appl"
"Connecting decentralized learning records: A blockchain based learning analytics platform",2018,"blockchain"
"A multi-Dimensional analysis of writing flexibility in an automated writing evaluation system",2018,"feedback"
"A generalized classifier to identify online learning tool disengagement at scale",2018,"apache spark"
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"analyt"
"Towards a writing analytics framework for adult english language learners",2018,"adult learn"
"A framework for developing metrics of youth engagement in informal learning environments",2018,"engag"
"Epistemic network analysis of students’ longer written assignments as formative/Summative evaluation",2018,"epistemic network analysi"
"Multi-Institutional positioning test feedback dashboard for aspiring students lessons learnt from a case study in flanders",2018,"case studi"
"The complexities of developing a personal code of ethics for learning analytics practitioners implications for institutions and the field",2018,"code of eth"
"Correlating affect and behavior in reasoning mind with state test achievement",2018,"affection detect"
"Are MOOC forums changing?",2018,"forum us"
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"competit"
"Co-Creation strategies for learning analytics",2018,"co-creat"
"Explaining learning performance using response-Time, self-Regulation and satisfaction from content: An fsQCA approach",2018,"configur"
"A qualitative evaluation of a learning dashboard to support advisor-Student dialogues",2018,"information visu"
"A diagnostic tool for competency-Based program engineering",2018,"cognitive diagnostic model"
"The influence of students’ cognitive and motivational characteristics on students’ use of a 4C/ID-based online learning environment and their learning gain",2018,"adaptive learn"
"Reciprocal peer recommendation for learning purposes",2018,"peer learn"
"Rethinking learning analytics adoption through complexity leadership theory",2018,"complex"
"(Dis)Engagement matters: Identifying efficacious learning practices with multimodal learning analytics",2018,"collabor"
"The RAP system: Automatic feedback of oral presentation skills using multimodal analysis and low-Cost sensors",2018,"filled-paus"
"The teacher in the loop: Customizing multimodal learning analytics for blended learning",2018,"blended learn"
"Supporting teachers’ intervention in students’ virtual collaboration using a network based model",2018,"acm proceed"
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"awar"
"SHEILA policy framework: Informing institutional strategies and policy processes of learning analytics",2018,"higher educ"
"Recurrence quantification analysis as a method for studying text comprehension dynamics",2018,"dynamical systems theori"
"Linking students’ timing of engagement to learning design and academic performance",2018,"engag"
"Using embedded formative assessment to predict state summative test scores",2018,"account"
"Physical learning analytics: A multimodal perspective",2018,"classroom"
"Analysis of interactions between lecturers and students",2018,"behavior"
"Understand students’ self-Reflections through learning analytics",2018,"learning analyt"
"Coenrollment networks and their relationship to grades in undergraduate education",2018,"grade predict"
"Studying MOOC completion at scale using the MOOC replication framework",2018,"complet"
"Can’t get more satisfaction? Game-Theoretic group-Recommendation of educational resources",2018,"collaborative learn"
"Online change detection for monitoring individual student behavior via clickstream data on E-book system",2018,"change detect"
"Video and learning: A systematic review (2007-2017)",2018,"systematic review"
"Finding traces of self-Regulated learning in activity streams",2018,"blended-learn"
"Running out of STEM: A comparative study across STEM majors of college students At-Risk of dropping out early",2018,"classif"
"Open learner models and learning analytics dashboards: A systematic review",2018,"learning analytics dashboard"
"What exactly do students learn when they practice equation solving? Refining knowledge components with the additive factors model",2018,"educational data min"
"Unpacking the relationship between discussion forum participation and learning in MOOCs: Content is key",2018,"discussion forum"
"Learning Analytics and Policy (LAP) - International aspirations, achievements and constraints",2017,"data protect"
"Beyond failure: The 2nd LAK Failathon",2017,"analyt"
"Workshop on integrated learning analytics of MOOC post-course development",2017,"career develop"
"Planning prompts increase and forecast course completion in massive open online courses",2017,"learning analyt"
"Widget, widget as you lead, I am performing well indeed! using results from an exploratory offline study to inform an empirical online study about a learning analytics widget in a collaborative learning environment",2017,"learning analyt"
"ATCE - An analytics tool to trace the creation and evaluation of inclusive and accessible open educational resources",2017,"compet"
"Trends and issues in student-facing learning analytics reporting systems research",2017,"educational recommender system"
"Impact of student choice of content adoption delay on course outcomes",2017,"content adoption delay"
"Automated analysis of aspects of written argumentation",2017,"automated assess"
"A neural network approach for students' performance prediction",2017,"learning log"
"Studying engagement and performance with learning technology in an African classroom",2017,"developing countri"
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"base-level learning equ"
"Using item response theory to generate an item pool for an e-learning-system",2017,"adaptive learn"
"Business intelligence (BI) for personalized student dashboards",2017,"business intellig"
"Using learning analytics to explore help-seeking learner profiles in MOOCs",2017,"help-seek"
"An elephant in the learning analytics room - The obligation to act",2017,"learning analyt"
"Honing in on social learning networks in MOOC forums: Examining critical network definition decisions",2017,"discussion forum"
"Real-time learning analytics for C programming language courses",2017,"c program"
"An automatic approach for discovering skill relationship from learning data",2017,"data analyt"
"Dear learner: Participatory visualisation of learning data for sensemaking",2017,"learning analyt"
"What'd you say again? Recurrence quantification analysis as a method for analyzing the dynamics of discourse in a reading strategy tutor",2017,"corpus linguist"
"Using predictive analytics in a self-regulated learning university course to promote student success",2017,"higher educ"
"An information policy perspective on learning analytics",2017,"educational polici"
"Follow the successful crowd: Raising MOOC completion rates through social comparison at scale?",2017,"cultural differ"
"Where is the evidence? A call to action for learning analytics",2017,"access"
"[LISA] learning analytics for sensor-based adaptive learning",2017,"adaptive learn"
"Dynamics of MOOC discussion forums",2017,"content analysi"
"Best intentions: Learner feedback on learning analytics visualization design",2017,"evalu"
"Workshop on methodology in learning analytics (MLA)",2017,"evalu"
"2nd cross-LAK: Learning analytics across physical and digital spaces",2017,"integr"
"Intelligent tutors as teachers' aides: Exploring teacher needs for real-time analytics in blended classrooms",2017,"adopt"
"Mining Knowledge Components from many untagged questions",2017,"data min"
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"affect"
"Tracing physical movement during practice-based learning through Multimodal Learning Analytics",2017,"collaborative learning environ"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"data protect"
"Implementing predictive learning analytics on a large scale: The teacher's perspective",2017,"higher educ"
"Discourse analysis to improve the effective engagement of MOOC videos",2017,"coh-metrix"
"Strategies for data and learning analytics informed national education policies: The case of Uruguay",2017,"big data"
"Supporting learning analytics in computing education",2017,"computing education research"
"From prediction to impact: Evaluation of a learning analytics retention program",2017,"early alert system"
"Forecasting student outcomes at university-wide scale using machine learning",2017,"feature find"
"Current and future multimodal learning analytics data challenges",2017,"challeng"
"Learning from learning curves: Discovering interpretable learning trajectories",2017,"cluster"
"A systematic review of studies on predicting student learning outcomes using learning analytics",2017,"learning context"
"Modeling exploration strategies to predict student performance within a learning environment and beyond",2017,"learn"
"Temporal analytics with discourse analysis: Tracing ideas and impact on communal discourse",2017,"discourse analysi"
"Learning pulse: A machine Learning approach for predicting performance in self-regulated learning using multimodal data",2017,"biosensor"
"Using data visualizations to foster emotion regulation during self-regulated learning with advanced learning technologies: A conceptual framework",2017,"advanced learning technolog"
"When learning is high stake",2017,"competence develop"
"The effects of a learning analytics empowered technology on students' arithmetic skill development",2017,"ability level"
"Improving learning through achievement priming in crowdsourced information finding microtasks",2017,"achievement prim"
"Assessment of language in authentic Science inquiry reveals putative differences in epistemology",2017,"assess"
"Student perceptions of their privacy in leaning analytics applications",2017,"ethic"
"Data-assisted instructional video revision via course-level exploratory video retention analysis",2017,"data-informed revis"
"How to assign students into sections to raise learning",2017,"ability group"
"EMODA: A tutor oriented multimodal and contextual emotional dashboard",2017,"emot"
"Don't call it a comeback: Academic recovery and the timing of educational technology adoption",2017,"early warning system"
"Community based educational data repositories and analysis tools",2017,"data storage and shar"
"Measures for recommendations based on past students' activity",2017,"effort"
"Using correlational topic modeling for automated topic identification in intelligent tutoring systems",2017,"correlational topic model"
"Topic models to support instructors in MOOC forums",2017,"discussion forum"
"La policy: Developing an institutional policy for learning analytics using the RAPID outcome mapping approach",2017,"higher educ"
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"higher educ"
"An outcome-based dashboard for Moodle and Open edX",2017,"dashboard"
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"academic writ"
"Video annotation tool for learning job interview",2017,"job interview"
"What are visitors up to? Helping museum facilitators know what visitors are doing",2017,"engin"
"Classifying help seeking behaviour in online communities",2017,"content analysi"
"Opportunities for personalization in modeling students as Bayesian learners",2017,"bay"
"Predicting math performance using natural language processing tools",2017,"educational data min"
"Scientific modeling: Using learning analytics to examine student practices and classroom variation",2017,"classif"
"Reflective writing analytics for actionable feedback",2017,"formative feedback"
"Reproducibility of findings from educational big data: A preliminary study",2017,"e-book"
"Using learning analytics in iterative design of a digital modeling tool",2017,"collaborative model"
"Learning analytics in a seamless learning environment",2017,"learning analyt"
"An instructor dashboard for real-time analytics in interactive programming assignments",2017,"dashboard"
"Reflective writing analytics - Empirically determined keywords of written reflection",2017,"automated detection of reflect"
"Analytics meet patient manikins: Challenges in an authentic small-group healthcare simulation classroom",2017,"awar"
"Predicting the decrease of engagement indicators in a MOOC",2017,"engag"
"DesignLAK17: Quality metrics and indicators for analytics of assessment design at scale",2017,"assess"
"Uncovering reviewing and reflecting behaviors from paper-based formal assessment",2017,"blended instruction class"
"How can we accelerate dissemination of knowledge and learning?: Developing an online knowledge management platform for Networked Improvement Communities",2017,"behavior model"
"Buying time: Enabling learners to become earners with a real-world paid task recommender system",2017,"learning analyt"
"Automating student survey reports in online education for faculty and instructional designers",2017,"automated report"
"Exploring the measurement of collaborative problem solving using a human-agent educational game",2017,"collaborative problem solv"
"What do students want? Towards an instrument for students' evaluation of quality of learning analytics services",2017,"action research"
"Expanding the scope of learning analytics data: Preliminary findings on attention and self-regulation using wearable technology",2017,"attent"
"Unravelling the dynamics of instructional practice: A longitudinal study on learning design and vle activities",2017,"learning analyt"
"Cooking with learning analytics recipes",2017,"applic"
"Developing a MOOC experimentation platform: Insights from a user study",2017,"a/b test"
"Examining motivations and self-regulated learning strategies of returning MOOCs learners",2017,"cluster"
"Quasi-experimental design for causal inference using Python and Apache Spark: A hands-on tutorial",2017,"apache spark"
"Connecting data with student support actions in a course: A hands-on tutorial",2017,"feedback"
"New features in wikiglass, a learning analytic tool for visualizing collaborative work on wikis",2017,"revision network"
"Understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment",2017,"embodied cognit"
"Relevance of Learning analytics to measure and support students' learning in adaptive educational technologies",2017,"adaptive educational technolog"
"What does student writing tell us about their thinking on social justice?",2017,"natural language process"
"Large scale predictive process mining and analytics of university degree course data",2017,"educational data mining, educational process visu"
"Spacle: Investigating learning across virtual and physical spaces using spatial replays",2017,"blended learn"
"FutureLearn data: What we currently have, what we are Learning and how it is demonstrating learning in MOOCs",2017,"learning analyt"
"Sequencing content in an adaptive testing system: The role of choice",2017,"assist"
"Detecting changes in student behavior from clickstream data",2017,"change detect"
"Exploring the asymmetry of metacognition",2017,"achiev"
"Learning analytics in higher education - Challenges and policies: A review of eight learning analytics policies",2017,"challeng"
"Ouroboros: Early identification of at-risk students without models based on legacy data",2017,"imbalanced data"
"Developing institutional learning analytics 'communities of transformation' to support student success",2017,"change manag"
"Understanding the relationship between technology use and cognitive presence in MOOCs",2017,"community of inquiry model"
"Utilizing visualization and feature selection methods to identify important learning objectives in a course",2017,"engineering educ"
"Guidance counselor reports of the ASSISTments college Prediction model (acpm)",2017,"college attend"
"Writing analytics literacy - Bridging from research to practice",2017,"analytics for act"
"Write-and-learn: Promoting meaningful learning through concept map-based formative feedback on writing assignments",2017,"automated formative feedback"
"Enhancing learning through virtual reality and neurofeedback: A first step",2017,"eeg"
"LAK17 Hackathon - Getting the right information to the right people so they can take the right action",2017,"actionable insight"
"Transitioning self-regulated learning profiles in hypermedia-learning environments",2017,"information-processing theori"
"Words matter: Automatic detection of teacher questions in live classroom discourse using linguistics, acoustics, and context",2017,"automatic speech recognit"
"MORPH: Supporting the integration of learning analytics at institutional level",2017,"batch process"
"Students' emotional self-labels for personalized models",2017,"affective comput"
"Predicting e-textbook adoption based on event segmentation of teachers' usage",2017,"event segment"
"Beyond failure: The 2nd LAK Failathon poster",2017,"analyt"
"How effective is your facilitation? Group-level analytics of MOOC forums",2017,"ergm"
"Workshop: Building the learning analytics curriculum",2017,"curriculum develop"
"Put your thinking cap on: Detecting cognitive load using EEG during learning",2017,"cognitive load"
"Churn prediction using dynamic RFM-augmented Node2vec",2017,"churn prediction in telco"
"Multi-scale community detection in temporal networks using spectral graph wavelets",2017,"multi-scale commun"
"Influence maximization-based event organization on social networks",2017,"event organ"
"Co-clustering for differentially private synthetic data generation",2017,"co-clust"
"From self-data to self-preferences: Towards preference elicitation in personal information management systems",2017,"personal information management system"
"Evaluating the impact of friends in predicting user’s availability in online social networks",2017,"availability predict"
"Guess the movie - Linking facebook pages to IMDb movies",2017,"data min"
"Your privacy, my privacy? On leakage risk assessment in online social networks",2017,"information spread"
"Learning design and feedback processes at scale: Stocktaking emergent theory and practice",2016,"crowd-sourced learn"
"An analysis framework for collaborative problem solving in practice-based learning activities: A mixed-method approach",2016,"analysis framework"
"Exploring the interplay between human and machine annotated multimodal learning analytics in hands-on STEM Activities",2016,"cscl"
"Teaching analytics: Towards automatic extraction of orchestration graphs using wearable sensors",2016,"activity detect"
"A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program",2016,"assess"
"Data2U: Scalable real time student feedback in active learning environments",2016,"dashboard"
"Reflecting on reflective writing analytics: Assessment challenges and iterative evaluation of a prototype tool",2016,"educ"
"Applying classification techniques on temporal trace data for shaping student behavior models",2016,"assessment analyt"
"Improving efficacy attribution in a self-directed learning environment using prior knowledge individualization",2016,"bayesian knowledge trac"
"Pipeline for expediting learning analytics and student support from data in social learning",2016,"learning analyt"
"LAK failathon",2016,"failur"
"Recipe for Success - Lessons learnt from using xAPI within the connected learning analytics toolkit",2016,"architectur"
"A study on eye fixation patterns of students in higher education using an online learning system",2016,"cognitive act"
"Student perspectives on data provision and use: Starting to unpack disciplinary differences",2016,"disciplinary differ"
"The role of achievement goal orientations when studying effect of learning analytics visualizations",2016,"achievement goal orient"
"Smart environments and analytics on video-based learning",2016,"interaction design"
