"Article","Year","Stem"
"Discovering skill prerequisite structure through Bayesian estimation and nested model comparison",2017,"bayesian network"
"Learning to represent student knowledge on programming exercises using deep learning",2017,"educational data min"
"Modeling classifiers for virtual internships without participant data",2017,"automated assess"
"Emerging patterns in student’s learning attributes through text mining",2017,"clustering algorithm"
"Predicting short- and long-term vocabulary learning via semantic features of partial word knowledge",2017,"intelligent tutoring system"
"Mycos intelligent teaching assistant",2017,"open learning platform"
"A neural network approach to estimate student skill mastery in cognitive diagnostic assessments",2017,"cognitive diagnosis model"
"Student learning strategies and behaviors to predict success in an online adaptive mathematics tutoring system",2017,"adaptive tutoring system"
"Metacognitive prompt overdose: Positive and negative effects of prompts in iSTART",2017,"educational gam"
"Few hundred parameters outperform few hundred thousand?",2017,"adaptive learn"
"Using an additive factor model and performance factor analysis to assess learning gains in a tutoring system to help adults with reading difficulties",2017,"additive factor model"
"An effective framework for automatically generating and ranking topics in MOOC videos",2017,"guidance for stud"
"Estimating individual treatment effect from educational studies with residual counterfactual networks",2017,"counterfactual infer"
"Learner affect through the looking glass: Characterization and detection of confusion in online courses",2017,"confusion character"
"Assessing computer literacy of adults with low literacy skills",2017,"adult literaci"
"Combining machine learning and natural language processing to assess literary text comprehension",2017,"classif"
"Adaptive Sequential Recommendation for Discussion Forums on MOOCs using Context Trees",2017,"context tre"
"Can typical behaviors identified in MOOCs be discovered in other courses?",2017,"mooc"
"Addressing student behavior and affect with empathy and growth mindset",2017,"confid"
"Automated assessment for scientific explanations in on-line science inquiry",2017,"automated assess"
"Predicting student retention from behavior in an online orientation course",2017,"online orientation cours"
"Using temporal association rule mining to predict dyadic rapport in peer tutoring",2017,"association rule min"
"Assessing the dialogic properties of classroom discourse: Proportion models for imbalanced classes",2017,"authent"
"Inferring frequently asked questions from student question answering forums",2017,"agglomerative clust"
"Toward the automatic labeling of course questions for ensuring their alignment with learning outcomes",2017,"extreme learning machin"
"Exploring the relationship between student pre-knowledge and engagement in MOOCs using polytomous IRT",2017,"engag"
"Characterizing collaboration in the pair program tracing and debugging eye-tracking experiment: A preliminary analysis",2017,"collabor"
"The misidentified identifiability problem of Bayesian knowledge tracing",2017,"bayesian knowledge trac"
"Towards reliable and valid measurement of individualized student parameters",2017,"3"
"Task and timing: Separating procedural and tactical knowledge in student models",2017,"bkt"
"Gaze-based detection of mind wandering during lecture viewing",2017,"attention-aware learn"
"Convolutional neural network for automatic detection of sociomoral reasoning level",2017,"convolutional neural network"
"When and who at risk? Call back at these critical points",2017,"dropout"
"Linking language to math success in an on-line course",2017,"math"
"Adaptive assessment experiment in a harvardx MOOC",2017,"adaptive assess"
"Analysis of problem-solving behavior in open-ended scientific-discovery game challenges",2017,"problem solv"
"Studying MOOC completion at scale using the MOOC replication framework",2017,"meta-analysi"
"Efficient feature embeddings for student classification with variational auto-encoders",2017,"deep neural network"
"Predicting prospective peer helpers to provide just-in-time help to users in question and answer forums",2017,"lifelong learn"
"Clustering student sequential trajectories using dynamic time warping",2017,"cluster"
"Automatic peer tutor matching: Data-driven methods to enable new opportunities for help",2017,"educational data min"
"Epistemic network analysis and topic modeling for chat data from collaborative learning environment",2017,"chat"
"Dropout Prediction in MOOCs using Learners’ Study Habits Features",2017,"dropout predict"
"Clustering students in assistments: Exploring system- and school-level traits to advance personalization",2017,"ensembled prediction model"
"The antecedents of and associations with elective replay in an educational game: Is replay worth it?",2017,"educational gam"
"Modeling the zone of proximal development with a computational approach",2017,"intelligent tutoring system"
"Identifying relevant user behavior, predicting learning, and persistence in an ITS-based afterschool program",2016,"afterschool program"
"Investigating gender differences on homework in middle school mathematics",2016,"gender gap"
"Modeling interactions across skills: A method to construct and compare models predicting the existence of skill relationships",2016,"feature select"
"A platform for integrating and analyzing data to evaluate the impacts of educational technologies",2016,"data"
"Designing interactive and personalized concept mapping learning environments",2016,"adaptive scaffold"
"An automated test of motor skills for job selection and feedback",2016,"assess"
"Studying assignment size and student performance using propensity score matching",2016,"assignment s"
"Automated feedback on group processes: An experience report",2016,"automated process assess"
"Estimation of prerequisite skills model from large scale assessment data using semantic data mining",2016,"data min"
"Meta-learning for predicting the best vote aggregation method: Case study in collaborative searching of LOs",2016,"classif"
"Predicting performance on MOOC assessments using multi-regression models",2016,"mooc"
"Exploring the impact of data-driven tutoring methods on students’ demonstrative knowledge in logic problem solving",2016,"data-driven method"
"Validating game-based measures of implicit science learning",2016,"game-based learn"
"Time series analysis of VLE activity data",2016,"data min"
"Mining sequences of gameplay for embedded assessment in collaborative learning",2016,"collabor"
"Discovering ‘tough love’ interventions despite dropout",2016,"attrit"
"Predicting off-task behaviors in an adaptive vocabulary learning system",2016,"adaptive system"
"Automatic gaze-based detection of mind wandering during narrative film comprehension",2016,"eye gaz"
"Guiding students towards frequent high-utility paths in an ill-defined domain",2016,"computer-based learning environ"
"Perfect scores indicate good students !? The case of one hundred percenters in a math learning system",2016,"educational data min"
"A comparative analysis of techniques for predicting student performance",2016,"classif"
"Validating automated triggers and notifications @ scale in blackboard learn",2016,"higher educ"
"Predicting dialogue acts for intelligent virtual agents with multimodal student interaction data",2016,"deep learn"
"Pattern mining uncovers social prompts of conceptual learning with physical and virtual representations",2016,"collabor"
"Towards modeling chunks in a knowledge tracing framework for students’ deep learning",2016,"bayesian network"
"Examining the necessity of problem diagrams using MOOC AB experiments",2016,"ab experi"
"Semantic features of math problems: Relationships to student learning and engagement",2016,"correlation min"
"A scalable learning analytics platform for automated writing feedback",2016,"analytic tools for learn"
"Toward automated support for teacher-facilitated formative feedback on student writing",2016,"automated writing assess"
"Quantifying how students use an online learning system: A focus on transitions and performance",2016,"blended learn"
"Learning curves for problems with multiple knowledge components",2016,"knowledge compon"
"Time Series Cross Section method for monitoring students’ page views of course materials and improving classroom teaching",2016,"cross sect"
"Analysing and refining pilot training",2016,"additive factor model"
"Document segmentation for labeling with academic learning objectives",2016,"academic learning object"
"Learning curves versus problem difficulty: An analysis of the knowledge component picture for a given context",2016,"knowledge compon"
"Applicability of educational data mining in Afghanistan: Opportunities and challenges",2016,"afghanistan education system"
"Patterns of usage from educational technology products across America",2016,"educ"
"A nonlinear state space model for identifying at-risk students in open online courses",2016,"at-risk stud"
"Enabling people to harness and control EDM for lifelong, life-wide learning",2016,"business analyt"
"An ensemble method to predict student performance in an online math learning environment",2016,"educational data min"
"Assessing student-generated design justifications in engineering virtual internships",2016,"auto-assess"
"How to model implicit knowledge? Similarity learning methods to assess perceptions of visual representations",2016,"chemistri"
"Preliminary results on dialogue act classification in chat-based online tutorial dialogues",2016,"dialogue act"
"Effect of student ability and question difficulty on duration",2016,"1pl"
"Individualizing Bayesian knowledge tracing. Are skill parameters more important than student parameters?",2016,"bayesian knowledge trac"
"Towards integrating human and automated tutoring systems",2016,"blended approach"
"How quickly can wheel spinning be detected?",2016,"detector"
"Browsing-pattern mining from e-book logs with non-negative matrix factorization",2016,"e-book log"
"Seeking programming-related information from large scaled discussion forums, help or harm?",2016,"discussion forum"
"Extracting measures of active learning and student self-regulated learning strategies from MOOC data",2016,"active learn"
"Modeling visitor behavior in a game-based engineering museum exhibit with hidden Markov models",2016,"interactive tabletops model"
"MATHia X: The next generation cognitive tutor",2016,"cognitive tutor"
"Study on automatic scoring of descriptive type tests using text similarity calculations",2016,"auto-scor"
"Execution traces as a powerful data representation for intelligent tutoring systems for programming",2016,"computer science teach"
"Classifying behavior to elucidate elegant problem solving in an educational game",2016,"classifi"
"LIVELINET: A multimodal deep recurrent neural network to predict liveliness in educational videos",2016,"deep learn"
"Measuring gameplay affordances of user-generated content in an educational game",2016,"educational data min"
"A data-driven framework of modeling skill combinations for deeper knowledge tracing",2016,"bayesian network"
"Semi-automatic detection of teacher questions from human-transcripts of audio in live classrooms",2016,"automatic speech recognit"
"Exploring learning management system interaction data: Combining Data-driven and Theory-driven Approaches",2016,"cluster"
"Redefining “what” in analyses of who does what in MOOCs",2016,"factor analysi"
"A coupled user clustering algorithm for web-based learning systems",2016,"coupled interact"
"Understanding engagement in MOOCs",2016,"behavioral engag"
"Can word probabilities from LDA be simply added up to represent documents?",2016,"cluster similar"
"Toward revision-sensitive feedback in automated writing evaluation",2016,"automated writing evalu"
"Predicting STEM achievement with learning management system data: Prediction modeling and a test of an early warning system",2016,"early warning system"
"Back to the basics: Bayesian extensions of IRT outperform neural networks for proficiency estimation",2016,"bayesian models of student perform"
"Adding eye-tracking AOI data to models of representation skills does not improve prediction accuracy",2016,"bayesian knowledge trac"
"Investigating swarm intelligence for performance prediction∗",2016,"education system model"
"Student Emotion, Co-occurrence, and Dropout in a MOOC Context",2016,"affective comput"
"Riding an emotional roller-coaster: A multimodal study of young child’s math problem solving activities ∗",2016,"affect"
"Exploring and following students' strategies when completing their weekly tasks",2016,"mining student behaviour and strategies, autograding system"
"Mining behaviours of students in autograding submission system logs",2016,"assess"
"Acting the same differently: A cross-course comparison of user behavior in MOOCs",2016,"comparative analysi"
"Modeling the influence of format and depth during effortful retrieval practice",2016,"applic"
"Tensor factorization for student modeling and performance prediction in unstructured domain",2016,"learning analyt"
"Predicting student progress from peer-assessment data",2016,"learning analyt"
"Student usage predicts treatment effect heterogeneity in the cognitive tutor algebra I program",2016,"bayesian hierarchical model"
"How to judge learning on online learning minimum learning judgment system",2016,"data collect"
"Semi-Markov model for simulating MOOC students",2016,"bayesian statist"
"Does a peer recommender foster students’ engagement in MOOCs?",2016,"mooc"
"On generalizability of MOOC models",2016,"bias-variance tradeoff"
"Going deeper with deep knowledge tracing",2016,"data qu"
"Calibrated self-assessment",2016,"assess"
"Closing the loop with quantitative cognitive task analysis",2016,"close-the-loop experi"
"Unnatural feature engineering: Evolving augmented graph grammars for argument diagrams",2016,"argument diagram"
"Course enrollment recommender system",2016,"course enrollment recommender system"
"The affective impact of tutor questions: Predicting frustration and engagement",2016,"affect"
"Robust predictive models on MOOCs: Transferring knowledge across courses",2016,"dropout predict"
"Joint discovery of skill prerequisite graphs and student models",2016,"bayesian network"
"Collaborative Problem Solving Skills versus Collaboration Outcomes: Findings from statistical analysis and data mining",2016,"collaborative problem solv"
"Web as a textbook: Curating targeted learning paths through the heterogeneous learning resources on the web",2016,"web resources; optimizing learn"
"{ENTER}ing the time series {SPACE}: Uncovering the writing process through keystroke analyses",2016,"feedback"
"Hierarchical cluster analysis heatmaps and pattern analysis: An approach for visualizing learning management system interaction data",2016,"heatmap"
"Stimulating collaborative activity in online social learning environments with Markov decision processes",2016,"education system model"
"Automatic assessment of constructed response data in a chemistry tutor",2016,"constructed response scor"
"How good is popularity? Summary grading in crowdsourcing",2016,"coh-metrix"
"Beyond log files: Using multi-modal data streams towards data-driven KC model improvement",2016,"kc model improv"
"Investigating difficult topics in a data structures course using item response theory and logged data analysis",2016,"algorithm analysi"
"The eyes have it: Gaze-based Detection of Mind Wandering during Learning with an Intelligent Tutoring System",2016,"attention-aware learn"
"Gauging MOOC learners’ adherence to the designed learning path",2016,"learning path analysi"
"Hint availability slows completion times in summer work",2016,"assist"
"Topic-wise classification of MOOC discussions: A visual analytics approach",2016,"discussion forum"
"Modelling the way: Using action sequence archetypes to differentiate learning pathways from learning outcomes",2016,"affinity propag"
"Choosing versus Receiving Feedback: The impact of feedback valence on learning in an assessment game",2016,"assess"
"Temporally coherent clustering of student data",2016,"distance metr"
"Predicting post-test performance from online student behavior: A high school MOOC case study",2016,"high school mooc"
"Analysing engineering expertise of high school students using eye tracking and multimodal learning analytics",2013,"construction"
"Unsupervised classification of student dialogue acts with query-likelihood clustering",2013,"dialogue act model"
"Using students’ programming behavior to predict success in an introductory mathematics course",2013,"code snapshot"
"Investigating the effects of off-task personalization on in-system performance and attitudes within a game-based environment",2013,"attitud"
"A tool for speech act classification using interactive machine learning",2013,"interactive machine learn"
"Affective state detection in educational systems through mining multimodal data sources",2013,"adaptive system"
"Are you committed? Investigating interactions among reading commitment, natural language input, and students' learning outcomes",2013,"intelligent tutoring system"
"Investigating the efficacy of algorithmic student modelling in predicting students at risk of failing in tertiary education.",2013,"academic perform"
"Semilar: A semantic similarity toolkit for assessing students’ natural language inputs",2013,"assess"
"Using multi-level models to assess data from an intelligent tutoring system",2013,"intelligent tutoring system"
"Tag-aware ordinal sparse factor analysis for learning and content analytics",2013,"block coordinate desc"
"Discovering student models with a clustering algorithm using problem content",2013,"learner model"
"A comparison of model selection metrics in datashop",2013,"aic"
"Degeneracy in student modeling with dynamic Bayesian networks in intelligent edu-games",2013,"dynamic bayesian network"
"Project CASSI: A social-graph based tool for classroom behavior analysis and optimization",2013,"behavior model"
"A Moodle block for selecting, visualizing and mining students' usage data",2013,"data min"
"Using item response theory to refine knowledge tracing",2013,"higher order model"
"Investigating the solution space of an open-ended educational game using conceptual feature extraction",2013,"cluster"
"Component model in discourse analysis",2013,"coh-metrix"
"A prediction model uses the sequence of attempts and hints to better predict knowledge: Better to attempt the problem first, rather than ask for a hint",2013,"educational data min"
"Gathering emotional data from multiple sources",2013,"affective comput"
"Meta-reasoning algorithm for improving analysis of student interactions with learning objects using supervised learning",2013,"cluster"
"Detecting player goals from game log files",2013,"detector"
"Analyzing the Mental Health of Engineering Students using Classification and Regression",2013,"linear regress"
"Measuring the moment of learning with an information-theoretic approach",2013,"data min"
