"Article","Year","Author","Stem"
"Exploring the subtleties of agency and indirect control in digital learning games",2019,"Harpstead, E.","agenc"
"Challenges on implementing learning analytics over countrywide K-12 data",2019,"Macarini, L.A.","academic trajectori"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Morsy, S.","academic perform"
"Multichannel data for understanding cognitive affordances during complex problem solving",2019,"Larmuseau, C.","cognitive load"
"Analysing discussion forum data: A replication study avoiding data contamination",2019,"Farrow, E.","cognitive pres"
"Can background music facilitate learning? Preliminary results on reading comprehension",2019,"Hu, X.","affect"
"Exploring learner engagement patterns in teach-outs",2019,"Yan, W.","learning experi"
"Predicting the well-functioning of learning groups under privacy restrictions",2019,"Hecking, T.","group support"
"Investigating the usage patterns of algebra nation tutoring platform",2019,"Niaki, S.A.","hierarchical linear model"
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"Azcona, D.","code embed"
"Evaluating the fairness of predictive student models through slicing analysis",2019,"Gardner, J.","fair"
"Where you are, not what you see: The impact of learning environment on mind wandering and material retention",2019,"Varao-Sousa, T.L.","learning set"
"Square it up! How to model step duration when predicting student performance",2019,"Chounta, I.-A.","intelligent tutoring system"
"Exploring programming semantic analytics with deep learning models",2019,"Lu, Y.","coding concept detect"
"Refusing to try: Characterizing early stopout on student assignments",2019,"Botelho, A.F.","dropout"
"Learning analytics at the intersections of student trust, disclosure and benefit",2019,"Slade, S.","boundary manag"
"The impact of an online tutoring program for algebra readiness on mathematics achievements; results of a randomized experiment",2019,"Niaki, S.A.","hierarchical linear model"
"Clustering analysis reveals authentic science inquiry trajectories among undergraduates",2019,"Peffer, M.","authentic science inquiri"
"Towards value-sensitive learning analytics design",2019,"Chen, B.","data eth"
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"Fiacco, J.","automatic essay evalu"
"Increasing the impact of learning analytics",2019,"Dawson, S.","adopt"
"An analysis of student representation, representative features and classification algorithms to predict degree dropout",2019,"Manrique, R.","degree dropout analysi"
"Reliable deep grade prediction with uncertainty estimation",2019,"Hu, Q.","bayesian deep learn"
"Exploring students' sensemaking of learning analytics dashboards: Does frame of reference make a difference?",2019,"Lim, L.","epistemic network analysi"
"UPM: Discovering course enrollment sequences associated with success",2019,"Elbadrawy, A.","discriminative sequence analysi"
"Comprehension factor analysis: Modeling student's reading behaviour",2019,"Thaker, K.","education data min"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"Lee, J.","deep learn"
"Player pairs valuation in ice hockey",2019,"Ljung, D.","data min"
"Predicting pass receiver in football using distance based features",2019,"Dauxais, Y.","distance based featur"
"Real-time power performance prediction in tour de france",2019,"Kataoka, Y.","autoencod"
"Football pass prediction using player locations",2019,"Fournier-Viger, P.","footbal"
"Ranking the teams in european football leagues with agony",2019,"Neumann, S.","agoni"
"Predicting the receivers of football passes",2019,"Li, H.","football pass predict"
"Measuring football players’ on-the-ball contributions from passes during games",2019,"Bransen, L.","football analyt"
"Distinguishing between roles of football players in play-by-play match event data",2019,"Aalbers, B.","football analyt"
"Model trees for identifying exceptional players in the NHL and NBA drafts",2019,"Liu, Y.","logistic model tre"
"Automatic classification of strike techniques using limb trajectory data",2019,"Soekarjo, K.M.W.","combat sport"
"Player valuation in European football",2019,"Nsolo, E.","data min"
"Forecasting the fifa world cup – combining result- and goal-based team ability parameters",2019,"Robberechts, P.","football match outcome predict"
"A progressive resampling algorithm for finding very sparse investment portfolios",2019,"Hassinen, M.","portfolio select"
"A web crawling environment to support financial strategies and trend correlation: – extended abstract –",2019,"Ponti, G.","big data"
"Calibrating the mean-reversion parameter in the hull-white model using neural networks",2019,"Moysiadis, G.","calibr"
"Deep factor model: Explaining deep learning decisions for forecasting stock returns with layer-wise relevance propagation",2019,"Nakagawa, K.","deep factor model"
"Exploring students eating habits through individual profiling and clustering analysis",2019,"Natilli, M.","clustering analysi"
"A comparison of neural network methods for accurate sentiment analysis of stock market tweets",2019,"Tabari, N.","neural network"
"Privacy preserving client/vertical-servers classification",2019,"Boer, D.","privacy preserving data min"
"ICIE 1.0: A novel tool for interactive contextual interaction explanations",2019,"van der Zon, S.B.","awar"
"A multivariate and multi-step ahead machine learning approach to traditional and cryptocurrencies volatility forecasting",2019,"De Stefani, J.","dynamic factor model"
"A differential privacy workflow for inference of parameters in the rasch model",2019,"Steiner, T.A.","differential privaci"
"Data-driven generation of rubric criteria from an educational programming environment",2018,"Diana, N.","assess"
"Methodological foundations for the measurement of learning in learning analytics",2018,"Milligan, S.K.","irt"
"“I’ll do it!”: Examining the relationship between locus of control and math game retention for preschoolers",2018,"Kim, B.","locus of control"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"Lebis, A.","adapt"
"Driving data storytelling from learning design",2018,"Echeverria, V.","dashboard"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"Boroujeni, M.S.","cluster"
"Classroom size, activity and attendance: Scaling up drivers of learning space occupation",2018,"Brennan, A.","class attend"
"PHS profiling students from their questions in a blended learning environment",2018,"Harrak, F.","blended learn"
"Conceptualizing Co-enrollment: Accounting for student experiences across the curriculum",2018,"Brown, M.G.","curriculum analyt"
"Towards a data archiving solution for learning analytics",2018,"Taylor, S.","barriers to adopt"
"An application of participatory action research in advising-Focused learning analytics",2018,"Fiorini, S.","advis"
"The pragmatic maxim as learning analytics research method",2018,"Gibson, A.","inquiri"
"Gaze insights into debugging behavior using learner-Centred analysis",2018,"Mangaroska, K.","behaviour regul"
"Graph-Based visual topic dependency models supporting assessment design and delivery at scale",2018,"Cooper, K.","graph algorithm"
"Embracing imperfection in learning analytics",2018,"Kitto, K.","accuraci"
"The half-Life of MOOC knowledge a randomized trial evaluating knowledge retention and retrieval practice in MOOCs",2018,"Davis, D.","experi"
"Prospectively predicting 4-Year college graduation from student applications",2018,"Hutt, S.","college appl"
"Connecting decentralized learning records: A blockchain based learning analytics platform",2018,"Ocheja, P.","blockchain"
"A multi-Dimensional analysis of writing flexibility in an automated writing evaluation system",2018,"Allen, L.K.","feedback"
"A generalized classifier to identify online learning tool disengagement at scale",2018,"Feild, J.","apache spark"
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"Alhadad, S.S.J.","analyt"
"Towards a writing analytics framework for adult english language learners",2018,"Liaqat, A.","adult learn"
"A framework for developing metrics of youth engagement in informal learning environments",2018,"Nacu, D.","engag"
"Epistemic network analysis of students’ longer written assignments as formative/Summative evaluation",2018,"Fougt, S.S.","epistemic network analysi"
"Multi-Institutional positioning test feedback dashboard for aspiring students lessons learnt from a case study in flanders",2018,"Broos, T.","case studi"
"The complexities of developing a personal code of ethics for learning analytics practitioners implications for institutions and the field",2018,"Lang, C.","code of eth"
"Correlating affect and behavior in reasoning mind with state test achievement",2018,"Kostyuk, V.","affection detect"
"Are MOOC forums changing?",2018,"Poquet, O.","forum us"
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"Jivet, I.","competit"
"Co-Creation strategies for learning analytics",2018,"Dollinger, M.","co-creat"
"Explaining learning performance using response-Time, self-Regulation and satisfaction from content: An fsQCA approach",2018,"Papamitsiou, Z.","configur"
"A qualitative evaluation of a learning dashboard to support advisor-Student dialogues",2018,"Millecamp, M.","information visu"
"A diagnostic tool for competency-Based program engineering",2018,"Durand, G.","cognitive diagnostic model"
"The influence of students’ cognitive and motivational characteristics on students’ use of a 4C/ID-based online learning environment and their learning gain",2018,"Larmuseau, C.","adaptive learn"
"Reciprocal peer recommendation for learning purposes",2018,"Potts, B.A.","peer learn"
"Rethinking learning analytics adoption through complexity leadership theory",2018,"Dawson, S.","complex"
"(Dis)Engagement matters: Identifying efficacious learning practices with multimodal learning analytics",2018,"Worsley, M.","collabor"
"The RAP system: Automatic feedback of oral presentation skills using multimodal analysis and low-Cost sensors",2018,"Ochoa, X.","filled-paus"
"The teacher in the loop: Customizing multimodal learning analytics for blended learning",2018,"Rodríguez-Triana, M.J.","blended learn"
"Supporting teachers’ intervention in students’ virtual collaboration using a network based model",2018,"Herder, T.","acm proceed"
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"Holstein, K.","awar"
"SHEILA policy framework: Informing institutional strategies and policy processes of learning analytics",2018,"Tsai, Y.-S.","higher educ"
"Recurrence quantification analysis as a method for studying text comprehension dynamics",2018,"Likens, A.D.","dynamical systems theori"
"Linking students’ timing of engagement to learning design and academic performance",2018,"Nguyen, Q.","engag"
"Using embedded formative assessment to predict state summative test scores",2018,"Fancsali, S.E.","account"
"Physical learning analytics: A multimodal perspective",2018,"Martinez-Maldonado, R.","classroom"
"Analysis of interactions between lecturers and students",2018,"Watanabe, E.","behavior"
"Understand students’ self-Reflections through learning analytics",2018,"Kovanović, V.","learning analyt"
"Coenrollment networks and their relationship to grades in undergraduate education",2018,"Gardner, J.","grade predict"
"Studying MOOC completion at scale using the MOOC replication framework",2018,"Andres, J.M.L.","complet"
"Can’t get more satisfaction? Game-Theoretic group-Recommendation of educational resources",2018,"Papamitsiou, Z.","collaborative learn"
"Online change detection for monitoring individual student behavior via clickstream data on E-book system",2018,"Shimada, A.","change detect"
"Video and learning: A systematic review (2007-2017)",2018,"Poquet, O.","systematic review"
"Finding traces of self-Regulated learning in activity streams",2018,"Cicchinelli, A.","blended-learn"
"Running out of STEM: A comparative study across STEM majors of college students At-Risk of dropping out early",2018,"Chen, Y.","classif"
"Open learner models and learning analytics dashboards: A systematic review",2018,"Bodily, R.","learning analytics dashboard"
"What exactly do students learn when they practice equation solving? Refining knowledge components with the additive factors model",2018,"Long, Y.","educational data min"
"Unpacking the relationship between discussion forum participation and learning in MOOCs: Content is key",2018,"Wise, A.F.","discussion forum"
"Learning Analytics and Policy (LAP) - International aspirations, achievements and constraints",2017,"Bowe, M.","data protect"
"Beyond failure: The 2nd LAK Failathon",2017,"Clow, D.","analyt"
"Workshop on integrated learning analytics of MOOC post-course development",2017,"Wang, Y.","career develop"
"Planning prompts increase and forecast course completion in massive open online courses",2017,"Yeomans, M.","learning analyt"
"Widget, widget as you lead, I am performing well indeed! using results from an exploratory offline study to inform an empirical online study about a learning analytics widget in a collaborative learning environment",2017,"Scheffel, M.","learning analyt"
"ATCE - An analytics tool to trace the creation and evaluation of inclusive and accessible open educational resources",2017,"Avila, C.","compet"
"Trends and issues in student-facing learning analytics reporting systems research",2017,"Bodily, R.","educational recommender system"
"Impact of student choice of content adoption delay on course outcomes",2017,"Agnihotri, L.","content adoption delay"
"Automated analysis of aspects of written argumentation",2017,"Elouazizi, N.","automated assess"
"A neural network approach for students' performance prediction",2017,"Okubo, F.","learning log"
"Studying engagement and performance with learning technology in an African classroom",2017,"Mutahi, J.","developing countri"
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"Kopeinik, S.","base-level learning equ"
"Using item response theory to generate an item pool for an e-learning-system",2017,"Schweighart, M.","adaptive learn"
"Business intelligence (BI) for personalized student dashboards",2017,"Sluijter, J.","business intellig"
"Using learning analytics to explore help-seeking learner profiles in MOOCs",2017,"Corrin, L.","help-seek"
"An elephant in the learning analytics room - The obligation to act",2017,"Prinsloo, P.","learning analyt"
"Honing in on social learning networks in MOOC forums: Examining critical network definition decisions",2017,"Wise, A.F.","discussion forum"
"Real-time learning analytics for C programming language courses",2017,"Fu, X.","c program"
"An automatic approach for discovering skill relationship from learning data",2017,"Wong, T.-L.","data analyt"
"Dear learner: Participatory visualisation of learning data for sensemaking",2017,"Knight, S.","learning analyt"
"What'd you say again? Recurrence quantification analysis as a method for analyzing the dynamics of discourse in a reading strategy tutor",2017,"Allen, L.K.","corpus linguist"
"Using predictive analytics in a self-regulated learning university course to promote student success",2017,"Edwards, R.L.","higher educ"
"An information policy perspective on learning analytics",2017,"Haythornthwaite, C.","educational polici"
"Follow the successful crowd: Raising MOOC completion rates through social comparison at scale?",2017,"Davis, D.","cultural differ"
"Where is the evidence? A call to action for learning analytics",2017,"Ferguson, R.","access"
"[LISA] learning analytics for sensor-based adaptive learning",2017,"Fortenbacher, A.","adaptive learn"
"Dynamics of MOOC discussion forums",2017,"Boroujeni, M.S.","content analysi"
"Best intentions: Learner feedback on learning analytics visualization design",2017,"Alabi, H.","evalu"
"Workshop on methodology in learning analytics (MLA)",2017,"Bergner, Y.","evalu"
"2nd cross-LAK: Learning analytics across physical and digital spaces",2017,"Martinez-Maldonado, R.","integr"
"Intelligent tutors as teachers' aides: Exploring teacher needs for real-time analytics in blended classrooms",2017,"Holstein, K.","adopt"
"Mining Knowledge Components from many untagged questions",2017,"Zimmerman, N.L.","data min"
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"Xu, Z.","affect"
"Tracing physical movement during practice-based learning through Multimodal Learning Analytics",2017,"Healion, D.","collaborative learning environ"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"Hoel, T.","data protect"
"Implementing predictive learning analytics on a large scale: The teacher's perspective",2017,"Herodotou, C.","higher educ"
"Discourse analysis to improve the effective engagement of MOOC videos",2017,"Atapattu, T.","coh-metrix"
"Strategies for data and learning analytics informed national education policies: The case of Uruguay",2017,"Aguerrebere, C.","big data"
"Supporting learning analytics in computing education",2017,"Olivares, D.M.","computing education research"
"From prediction to impact: Evaluation of a learning analytics retention program",2017,"Dawson, S.","early alert system"
"Forecasting student outcomes at university-wide scale using machine learning",2017,"Wham, D.","feature find"
"Current and future multimodal learning analytics data challenges",2017,"Spikol, D.","challeng"
"Learning from learning curves: Discovering interpretable learning trajectories",2017,"Chen, L.","cluster"
"A systematic review of studies on predicting student learning outcomes using learning analytics",2017,"Hu, X.","learning context"
"Modeling exploration strategies to predict student performance within a learning environment and beyond",2017,"Käser, T.","learn"
"Temporal analytics with discourse analysis: Tracing ideas and impact on communal discourse",2017,"Lee, A.V.Y.","discourse analysi"
"Learning pulse: A machine Learning approach for predicting performance in self-regulated learning using multimodal data",2017,"Di Mitri, D.","biosensor"
"Using data visualizations to foster emotion regulation during self-regulated learning with advanced learning technologies: A conceptual framework",2017,"Azevedo, R.","advanced learning technolog"
"When learning is high stake",2017,"Johanne, C.","competence develop"
"The effects of a learning analytics empowered technology on students' arithmetic skill development",2017,"Molenaar, I.","ability level"
"Improving learning through achievement priming in crowdsourced information finding microtasks",2017,"Gadiraju, U.","achievement prim"
"Assessment of language in authentic Science inquiry reveals putative differences in epistemology",2017,"Peffer, M.E.","assess"
"Student perceptions of their privacy in leaning analytics applications",2017,"Arnold, K.E.","ethic"
"Data-assisted instructional video revision via course-level exploratory video retention analysis",2017,"Lei, C.-U.","data-informed revis"
"How to assign students into sections to raise learning",2017,"Chiu, M.M.","ability group"
"EMODA: A tutor oriented multimodal and contextual emotional dashboard",2017,"Ez-Zaouia, M.","emot"
"Don't call it a comeback: Academic recovery and the timing of educational technology adoption",2017,"Brown, M.G.","early warning system"
"Community based educational data repositories and analysis tools",2017,"Koedinger, K.","data storage and shar"
"Measures for recommendations based on past students' activity",2017,"Huptych, M.","effort"
"Using correlational topic modeling for automated topic identification in intelligent tutoring systems",2017,"Slater, S.","correlational topic model"
"Topic models to support instructors in MOOC forums",2017,"Vytasek, J.M.","discussion forum"
"La policy: Developing an institutional policy for learning analytics using the RAPID outcome mapping approach",2017,"Tsai, Y.-S.","higher educ"
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"Arnold, K.E.","higher educ"
"An outcome-based dashboard for Moodle and Open edX",2017,"Hu, X.","dashboard"
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"Knight, S.","academic writ"
"Video annotation tool for learning job interview",2017,"Yaginuma, Y.","job interview"
"What are visitors up to? Helping museum facilitators know what visitors are doing",2017,"Kumar, V.","engin"
"Classifying help seeking behaviour in online communities",2017,"Cross, S.","content analysi"
"Opportunities for personalization in modeling students as Bayesian learners",2017,"Lang, C.","bay"
"Predicting math performance using natural language processing tools",2017,"Crossley, S.","educational data min"
"Scientific modeling: Using learning analytics to examine student practices and classroom variation",2017,"Quigley, D.","classif"
"Reflective writing analytics for actionable feedback",2017,"Gibson, A.","formative feedback"
"Reproducibility of findings from educational big data: A preliminary study",2017,"Oi, M.","e-book"
"Using learning analytics in iterative design of a digital modeling tool",2017,"Quigley, D.","collaborative model"
"Learning analytics in a seamless learning environment",2017,"Mouri, K.","learning analyt"
