ENTRYTYPE,ID,abstract,affiliation,author,author_keywords,document_type,doi,journal,note,page_count,pages,source,title,url,year
conference,Raborn2019402,"Short forms of psychometric scales have been commonly used in educational and psychological research to reduce the burden of test administration. However, it is challenging to select items for a short form that preserve the validity and reliability of the scores of the original scale. This paper presents and evaluates multiple automated methods for scale short form creation based on metaheuristic optimization algorithms that incorporate validity criteria based on internal structure and relationships with other variables. The ant colony optimization (ACO) algorithm, tabu search (TS), simulated annealing (SA) and genetic algorithm (GA) are examined using confirmatory factor analysis (CFA) of scales with one factor, three factor, and bi-factor factorial structure. The results indicate that SA created short forms with best model fit for scales with one and three factor structures, but ACO was able to obtain highest reliability. For scales with bi-factor structure, SA provide short forms with best model fit, but TS obtained highest reliability. Overall, the SA algorithm is recommended because it produced consistently best model fit and reliability that was only slightly lower than the ACO or TS algorithms. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Pasco County Schools, 7227 Land O' Lakes Blvd., Land O'Lakes, FL  34638, United States; University of Florida, 1215 Norman Hall, Gainesville, FL  32611, United States","Raborn, A.W. and Leite, W.L. and Marcoulides, K.M.",Ant colony optimization;  Confirmatory factor analysis;  Genetic algorithm;  Metaheuristic algorithms;  Short form development;  Simulated annealing;  Tabu search;  Validity,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,402-407,Scopus,A comparison of automated scale short form selection strategies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086003460&partnerID=40&md5=9877b45d3840283586d03151895fe7ac,2019
conference,Christie2019726,"Schools across the United States suffer from low on-time graduation rates. Targeted interventions help at-risk students meet graduation requirements in a timely manner, but identifying these students takes time and practice, as warning signs are often context-specific and reflected in a combination of attendance, social, and academic signals scattered across data sources. Extremely high caseloads for counselors compound the problem. At Infinite Campus, a large student information system provider, we modeled statistical relationships between student educational records and enrollment outcomes, using de-identified records and in-system analysis to guarantee student data privacy. The resulting risk scores are highly predictive, context-sensitive, nationally available, integrated into the existing student information system, and updated daily. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Infinite Campus, Blaine, MN, United States","Christie, S.T. and Jarratt, D.C. and Olson, L.A. and Taijala, T.T.",,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,726-731,Scopus,Machine-learned school dropout early warning at Scale,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086003270&partnerID=40&md5=de8ab3c568eae773b7b43624435bae3c,2019
conference,Béland2019768,"This workshop is the second edition of LABBEC 2018 [2]. It aims to foster the exchange of ideas between the field of education measurements and education practitioners, and the EDM community. Research contributions were invited on topics related to the mutual influence between EDM and the education community. Demos of real world applications issued from EDM were presented and a discussion in the form of a round-table closed the worskhop. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Université de Montréal, Canada; Polytechnique Montréal, Canada","Béland, S. and Bouthillier, I.B. and Desmarais, M.C. and Loignon, G. and Loye, N.",Education settings;  Educational measurements;  Psychometrics,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,768-769,Scopus,"Second LABBEC workshop: Learning analytics, building bridges between the education and the computing communities",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086003180&partnerID=40&md5=42f8b96e69f348775a2ffa51c8795104,2019
conference,Kolb2019342,"Misconceptions have been an important area of study in STEM education towards improving our understanding of learners' construction of knowledge. The advent of large-scale tutoring systems has given rise to an abundance of data in the form of learner question-answer logs in which signatures of misconceptions can be mined. In this work, we explore the extent to which collected expert misconception diagnoses can be generalized to held-out questions to add misconception semantics. We attempt this generalization by way of a question-answer neural embedding trained on chronological sequences of learner answers. As part of our study, we collect natural language misconception diagnoses from math educators for a sampling of student answers to questions within four topics on Khan Academy. Drawing inspiration from machine translation, we use a multinomial logistic regression model to explore how well the expert misconception semantics, in the form of bag-of-words vectors, can be mapped onto the learned embedding space and interpolated. We evaluate the ability of the space to generalize expert diagnoses using three levels of cross-fold validation in which we measure the recall of predicted natural language diagnoses across rater, topics, and questions. We find that the embedding provides generalization performance substantially beyond baseline approaches. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","UC Berkeley, United States; Khan Academy","Kolb, J. and Farrar, S. and Pardos, Z.A.",,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,342-347,Scopus,Generalizing expert misconception diagnoses through common wrong answer embedding,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086003099&partnerID=40&md5=5b2baac35405e72ead53603d4af20328,2019
conference,Mandalapu2019607,"The increasing capabilities of intelligent tutoring systems (ITS) that collect student interaction data while learning mathematics at the middle school level have enabled researchers in educational data mining (EDM) to develop models that predict student career choice. Current research focuses on feature selection techniques that provide essential features in predicting the target variable. However, the factors that affect the prediction performance of an algorithm at a sample level could be studied in depth as they influence the overall performance of an algorithm. In this study, we analyze the influence of various attributes collected by the ASSISTments online learning platform on the performance of machine learning algorithms in predicting student career fields. Initially, we adopt a feature selection technique based on correlation, ID-ness, stability, and Missing values to determine useful attributes and then apply machine learning algorithms to classify student field. The trained models will be used to extract the supporting and contradicting attributes that influence the prediction performance of an algorithm. The results showed that the affect state confused played a significant role in supporting Non-STEM prediction, and boredom played a substantial role in contradicting STEM predictions while gaming the system influences both STEM and Non-STEM predictions. This proposed study facilitates researches in the field of EDM with factors that influence the development of efficient models in predicting STEM and Non-STEM careers. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD  21250, United States","Mandalapu, V. and Gong, J.",Affect state;  Educational data mining;  Factor analysis;  Feature selection;  STEM career,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,607-610,Scopus,Studying factors influencing the prediction of student STEM and non-STEM career choice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086003025&partnerID=40&md5=5c92d512d91a40a3ff08c7ba2566468b,2019
conference,Shillo2019408,"Creativity is a dynamic process which generates ideas that are both novel and of value. However there is little understanding in what drives creativity in students and how to help teachers or education experts to detect creative thinking. This paper begins to address this gap by providing a platform and experiments for studying how creative outcomes can ensue over time. The platform is an open ended environment for creating geometrical shapes that supports exploration and trial and error. We show that participants exhibit diversity in their usage patterns in the system, and in particular, some exhibiting 'creative leaps' in which they move from creating a sequence of shapes in one category to another, new category. We designed a visualization tool that aids understanding in detecting these aspects in students' work. We provide a basic computational model that is able to predict whether a student will create a new shape at a given point in time. The impact of this work is in beginning to provide tools for promoting creativity in students and directing their interactions in a way that facilitates the creative process. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Ben-Gurion University, Israel; University of Edinburgh, United Kingdom","Shillo, R. and Hoernle, N. and Gal, K.",Creativity;  Divergent thinking;  Geogebra;  Geometry,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 2,,408-413,Scopus,Detecting creativity in an open ended geometry environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002868&partnerID=40&md5=4421ff9381cb409452b60d5bc8f07c80,2019
conference,Jacobsen2019580,"Finding the perfect job that takes into account someone's skills and ambitions is an overwhelming challenge for many freshly graduated students. At the same time, companies struggle to hire employees fulfilling their requirements. Ideally, a successful match of students and jobs includes the preferences of both sides. This paper proposes a reciprocal recommender system matching graduating students and job offers. To construct a common representation space for the items of the recommendation, the course descriptions from the curriculum are used as a linking factor. Further, Latent Dirichlet Allocation (LDA) is used to extract topics from the course and job descriptions, forming the latent representation space. Next to providing job recommendations, curricula gaps can be discovered and thus the students can be better prepared for a future career. The algorithm is tested on data from a Data Science bachelor programme. Results show that a reciprocal matching of graduating students and jobs generates recommendations with precision and recall up to 0.7. The approach yields promising results for such system to be implemented as a job recommender system on university level or as a stand-alone system for graduating students. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Maastricht University, Maastricht, 6200MD, Netherlands","Jacobsen, A. and Spanakis, G.",Discovering curricular gaps;  Job matching;  Latent Dirichlet Allocation;  Reciprocal recommender systems,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,580-583,Scopus,It's a match! Reciprocal recommender system for graduating students and jobs,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002659&partnerID=40&md5=3a839cc8fb167a460eeade951393dd7c,2019
conference,Shimada2019178,"In this paper, we focus on optimizing the assignment of students to courses. The target courses are conducted by different teachers using the same syllabus, course design, and lecture materials. More than 1,300 students are mechanically assigned to one of ten courses taught by different teachers. Therefore, mismatches often occur between students' learning behavior patterns and teachers' approach to teaching. As a result, students may be less satisfied, have a lower level of understanding of the material, and achieve less. To solve these problems, we propose a strategy to optimize the assignment of students to courses based on learning activity analytics. The contributions of this study are 1) clarifying the relationship between learning behavior pattern and teaching based on learning activity analytics using large-scale educational data, 2) optimizing the assignment of students to courses based on learning behavior pattern analytics, and 3) demonstrating the effectiveness of assignment optimization via simulation experiments. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Department of Advanced Information Technology, Kyushu University, Japan; Institute of Engineering, Tokyo University of Agriculture and Technology, Japan; Academic Center for Computing and Media Studies, Kyoto University, Japan; Faculty of Arts and Science, Kyushu University, Japan","Shimada, A. and Mouri, K. and Taniguchi, Y. and Ogata, H. and Taniguchi, R.-I. and Konomi, S.",Learning activity analytics;  Optimization;  Student assignment to courses,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,178-187,Scopus,Optimizing assignment of students to courses based on learning activity analytics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002542&partnerID=40&md5=52d6ecb4d1bab2a8e709100e66ced33b,2019
conference,Sunahase2019426,"Peer assessment is a promising solution for scaling up the grading of a large number of submissions. The reliability of evaluations is one of the critical issues in peer assessment; several probabilistic models have been proposed for obtaining reliable grades from peers. Peer correction is a similar framework, in which students are instructed to correct the errors in submissions from other students. Peer correction is typically performed simultaneously with peer assessment; a reviewer is instructed to correct the errors in a submission and to provide a grade to it. We observe the occasional inconsistency between a grade and the correction; for example, a reviewer provides a high grade for a submission but she corrects many errors in it. Such inconsistencies can point to unreliable reviewers. In this paper, we propose probabilistic models for peer correction, and the combination of the peer correction models and the existing peer assessment models for capturing the inconsistency to accurately estimate the reviewer reliability and the student ability. We conduct experiments using the dataset of an actual peer correction platform for language translation, and the results demonstrate that the combination of peer correction models and peer assessment models improves the accuracy of the student ability estimation. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Kyoto University, Japan; University of Tsukuba, Japan; RIKEN Center for AIP, Japan","Sunahase, T. and Baba, Y. and Kashima, H.",Peer assessment;  Peer correction;  Statistical models,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,426-431,Scopus,Probabilistic modeling of peer correction and peer assessment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002486&partnerID=40&md5=f6c27bfa26c7a760c70406039bb1b4c7,2019
conference,Huang2019318,"With the advent of new data collection techniques, there has been a growing interest in studying co-located groups of students using Multimodal Learning Analytics [3] to automatically identify collaborative learning states. In this paper, we analyze a multimodal dataset (N=84) made of eye-tracking, physiological and motion sensing data. We leverage unsupervised machine learning algorithms to find (un)productive collaborative states. We found a three-states solution where different states (and transitions between them) were significantly correlated with task performance, collaboration quality and learning gains. We interpret these findings in light of collaborative learning theories and discuss their implications for studying groups of students using MMLA. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Harvard University, United States","Huang, K. and Bryant, T. and Schneider, B.",Eye-tracking;  Motion sensing;  Multimodal learning analytics;  Physiological sensing;  Unsupervised machine learning,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 2,,318-323,Scopus,"Identifying collaborative learning states using unsupervised machine learning on eye-tracking, physiological and motion sensor data",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002316&partnerID=40&md5=d0b948cf82eb49891510a9efe11ef98d,2019
conference,Davis2019528,"There are various types of learning aids available to students while solving a problem in an online learning platform, Mastering Chemistry. Among the learning aids, we investigated two that had high usage: Hints and Provided Solutions. The main research question was how student learning aid usage differed between higher and lower performing students. To answer this question, we explored clustering students by performance metrics into higher and lower performers, and then looking at each group's process as they solved a problem. This method can be used to explore individual differences at a broad level as to how students go about solving problems. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Pearson, 50 California St., San Francisco, CA  94111, United States; Pearson, 501 Boylston St., Boston, MA  02116, United States","Davis, A.K. and Rho, Y.J. and Furr, D.",Individual differences;  Learning aids,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,528-531,Scopus,Individual differences in student learning aid usage,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002275&partnerID=40&md5=f186d1a9154e8c639b62cbd0c86a83ee,2019
conference,Botelho2019508,"There is a long history of research on the development of models to detect and study student behavior and affect. Developing computer-based models has allowed the study of learning constructs at fine levels of granularity and over long periods of time. For many years, these models were developed using features based on previous educational research from the raw log data. More recently, however, the application of deep learning models has often skipped this feature-engineering step by allowing the algorithm to learn features from the fine-grained raw log data. As many of these deep learning models have led to promising results, researchers have asked which situations may lead to machine-learned features performing better than expert-generated features. This work addresses this question by comparing the use of machine-learned and expert-engineered features for three previously-developed models of student affect, off-task behavior, and gaming the system. In addition, we propose a third feature-engineering method that combines expert features with machine learning to explore the strengths and weaknesses of these approaches to build detectors of student affect and unproductive behaviors. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Worcester Polytechnic Institute, Worcester, MA  01605, United States; University of Pennsylvania, Philadelphia, PA  19104, United States","Botelho, A.F. and Baker, R.S. and Heffernan, N.T.",Deep learning;  Disengaged behavior;  Feature engineering;  Student affect,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,508-511,Scopus,Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002152&partnerID=40&md5=e59d59a97b3bca78fbc5a1b8f43ed8ee,2019
conference,Nanda2019619,"In this paper, we propose and evaluate a decision support system (DSS) to predict the topic of discussion forum posts among categories: Social, Concept, Assignment, and Others, in Massive Open Online Courses (MOOCs). The DSS uses two supervised machine learning (ML) models-Logistic Regression and Multinomial Naïve Bayes to output: two most-likely categories with associated prediction probabilities, and a surety indicator (High, Medium, or Low) of prediction. We evaluated the DSS on manually-labelled discussion posts from two programming related MOOCs offered on different platforms and the ML models being trained on the same and different course. Our results indicate that: a) the prediction performance of DSS is better when trained on labelled data from the same course, b) when trained on data from another course, the DSS performs better if training data is sampled to reduce the bias in distribution of categories, and c) providing the two most-likely categories is helpful for indicating the smaller categories that are usually difficult to predict by ML models. This DSS can help instructional teams to better manage the MOOC discussion forum and learners to easily navigate and find relevant posts. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","School of Engineering Education, Purdue University, West Lafayette, United States","Nanda, G. and Douglas, K.A.",Decision support system;  Logistic Regression;  Machine learning;  MOOC discussion forum;  Naïve Bayes;  Text classification,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,619-622,Scopus,Machine learning based decision support system for categorizing MOOC discussion forum posts,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002079&partnerID=40&md5=776a3e9d3bc779595da0cce7090ab46f,2019
conference,Khayi2019246,"In this paper, we applied a number of clustering algorithms on pretest data collected from 264 high-school students. Students took the pre-test at the beginning of a 5-week experiment in which they interacted with an intelligent tutoring system. The primary goal of this work is to identify clusters of students exhibiting similar knowledge patterns. In particular, we show that the DP-means clustering algorithm yields very good results using binary response data. Other clustering algorithms such as k-modes have demonstrated better results when using categorical response data. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Institute for Intelligent Systems, University of Memphis, Memphis, TN  38152, United States","Khayi, N.A. and Rus, V.",Clustering;  Intelligent tutoring systems;  Students modelling,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,246-251,Scopus,Clustering students based on their prior knowledge,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086001868&partnerID=40&md5=c079021d11b60744ac807850588eefbe,2019
