"Stem","Freq_13_20","Freq_13_14","Freq_15_16","Freq_17_18","Freq_19_20"
"algebra",2,1,0,1,0
"alic",1,0,0,1,0
"align",2,0,0,1,1
"alternating least squares matrix factor",1,1,0,0,0
"analogical reason",1,0,0,0,1
"analysi",1,0,0,1,0
"analyt",1,0,0,1,0
"androgyni",1,1,0,0,0
"android",1,0,0,1,0
"anim",1,0,0,1,0
"animated pedagogical ag",1,0,0,1,0
"animated pedagogical agent (apa)",1,0,0,1,0
"annotation softwar",1,0,0,1,0
"annotation studi",1,0,0,0,1
"answer assess",1,0,0,0,1
"answer match",1,0,0,0,1
"answer set program",2,0,0,0,2
"anticip",1,0,0,1,0
"aplusix",1,1,0,0,0
"applied behavior analysi",1,1,0,0,0
"apprentice learn",1,0,0,0,1
"aptitude-treatment interact",1,1,0,0,0
"architectur",1,0,0,1,0
"area under curv",1,0,1,0,0
"argument",3,0,2,1,0
"argument diagram",1,1,0,0,0
"argumentative writ",1,0,0,0,1
"arithmetic addit",1,0,0,0,1
"arithmetical word problem",1,1,0,0,0
"arous",1,0,0,1,0
"artificial intellig",12,2,3,3,4
"artificial neural network",1,0,1,0,0
"asl",1,0,0,0,1
"asr engine evalu",1,0,1,0,0
"assembly skil",1,1,0,0,0
"assess",8,1,3,3,1
"assist",2,0,0,1,1
"assistance dilemma",1,0,1,0,0
"assistive and augmentative communication (aac)",1,1,0,0,0
"association rule min",1,0,0,1,0
"at-risk stud",1,0,0,0,1
"attendance r",1,0,0,0,1
"attent",5,0,1,1,3
"attention-aware interfac",1,0,1,0,0
"attention aware interfac",1,0,0,1,0
"attrition bia",1,0,0,1,0
"audience participation tool",1,0,0,1,0
"audio process",1,0,0,0,1
"augmented artwork",1,1,0,0,0
"augmented eth",1,0,0,0,1
"augmented intellig",1,0,0,0,1
"augmented r",4,2,0,1,1
"author identif",1,0,1,0,0
"authoring tool",8,2,2,2,2
"autism",3,3,0,0,0
"auto-grad",1,0,0,1,0
"automate assess",1,0,1,0,0
"automated assess",2,1,0,0,1
"automated deduct",1,0,1,0,0
"automated essay scor",3,0,0,1,2
"automated evalu",1,0,0,1,0
"automated feedback",3,1,0,0,2
"automated mark",1,1,0,0,0
"automated metr",1,0,0,1,0
"automated performance assess",1,0,0,1,0
"automated performance feedback",2,0,0,0,2
"automated program analysi",1,0,0,1,0
"automated real-time feedback",1,0,0,1,0
"automated revision graph",1,0,0,0,1
"automated short answer grad",2,0,0,0,2
"automated speech analysi",1,0,0,0,1
"automated team form",1,0,0,1,0
"automated test",1,0,0,1,0
"automated tutoring system",1,0,0,1,0
"automated writing evalu",3,0,2,0,1
"automatic assess",4,0,0,3,1
"automatic diagnost",1,1,0,0,0
"automatic evalu",1,0,0,0,1
"automatic exercise gener",1,0,1,0,0
"automatic feedback",1,0,1,0,0
"automatic grad",1,0,0,1,0
"automatic item gener",3,0,0,1,2
"automatic quality evalu",1,0,1,0,0
"automatic question gener",1,0,0,0,1
"automatic short answer grad",2,0,0,0,2
"automentor",1,1,0,0,0
"autonomi",1,0,0,0,1
"autotutor",1,1,0,0,0
"avatar",1,0,0,1,0
"average error r",1,0,1,0,0
"axiomatic approach",1,0,1,0,0
"barriers to adopt",1,1,0,0,0
"basic emot",1,0,0,0,1
"bay",1,0,0,0,1
"bayesian diagnosis trac",1,0,0,0,1
"bayesian knowledge trac",4,1,0,0,3
"bayesian network",8,3,2,1,2
"bayesian statist",1,1,0,0,0
"behavior",2,0,0,1,1
"behavior pattern",1,0,0,1,0
"behavioral engagement detect",1,0,0,1,0
"behavioral explanation and structural explan",1,0,0,1,0
"behavioral log",1,0,0,0,1
"behavioural clon",1,0,0,0,1
"behavioural trend",1,0,0,0,1
"belief bia",1,0,0,0,1
"bert",2,0,0,0,2
"bert classification algorithm",1,0,0,0,1
"best practice model",1,0,0,1,0
"betty’s brain",1,0,0,1,0
"big clam",1,0,0,1,0
"big five factor",1,0,0,1,0
"bing speech",1,0,1,0,0
"biosensor",1,0,0,1,0
"bkt",2,0,0,2,0
"blended learn",2,0,2,0,0
"blended learning environ",1,0,0,1,0
"blind search algorithm",1,1,0,0,0
"block",1,0,1,0,0
"block-based program",1,0,0,0,1
"bootstrap",1,0,0,0,1
"boredom",4,3,0,1,0
"brainstorm",1,1,0,0,0
"buggy messag",1,0,1,0,0
"call",1,0,0,1,0
"camm process",1,0,0,0,1
"capability profil",1,0,0,1,0
"capability requir",1,0,0,1,0
"case studi",2,0,1,0,1
"categor",1,0,0,1,0
"causal cod",1,0,0,1,0
"causal reason",1,1,0,0,0
"causal rel",1,0,1,0,0
"cauti",1,0,0,0,1
"challeng",1,0,0,1,0
"change-point detect",1,0,0,0,1
"chatbot",2,0,0,1,1
"chem tutor",1,0,1,0,0
"chemistri",1,0,1,0,0
"child-robot interact",1,0,0,0,1
"children",3,2,0,0,1
"choic",2,0,2,0,0
"choice of practice problem",1,0,0,0,1
"citizen sci",1,0,0,1,0
"clabsi",1,0,0,0,1
"class-skill model",1,1,0,0,0
"class activity detect",1,0,0,0,1
"classif",2,1,0,0,1
"classroom",1,0,1,0,0
"classroom cours",1,0,0,0,1
"classroom evalu",4,2,0,1,1
"classroom observ",1,0,1,0,0
"classroom orchestr",3,0,0,1,2
"classroom orchestration system",1,0,0,0,1
"classroom studi",2,0,1,1,0
"clinical reason",1,0,1,0,0
"clique problem",1,0,1,0,0
"closing the loop",1,0,0,1,0
"cloze",1,0,1,0,0
"cluster",6,0,1,2,3
"cluster analysi",1,1,0,0,0
"clustering algorithm",1,1,0,0,0
"code-switch",2,0,1,1,0
"code read",1,0,0,0,1
"coding analysi",1,1,0,0,0
"cognitive apprenticeship",1,0,1,0,0
"cognitive control",1,0,0,0,1
"cognitive diagnosi",1,0,1,0,0
"cognitive disequilibrium",1,1,0,0,0
"cognitive effort",1,0,1,0,0
"cognitive engag",2,0,0,1,1
"cognitive error",1,0,1,0,0
"cognitive graph",1,0,0,0,1
"cognitive load",3,0,0,1,2
"cognitive model",4,2,1,0,1
"cognitive sci",1,0,0,0,1
"cognitive science societi",1,1,0,0,0
"cognitive skil",2,0,0,2,0
"cognitive task analysi",2,0,0,2,0
"cognitive tutor",6,1,0,4,1
"cognitive tutor authoring tool",1,0,0,1,0
"coherence analysi",2,0,1,1,0
"cohes",2,1,1,0,0
"cohesion network analysi",5,0,0,2,3
"cold start",2,0,0,1,1
"collabor",12,2,3,5,2
"collaborative discours",1,0,0,0,1
"collaborative filt",2,1,1,0,0
"collaborative filtering method",1,0,1,0,0
"collaborative game-based learn",1,0,0,0,1
"collaborative intelligent tutoring system",1,0,0,1,0
"collaborative learn",20,1,4,7,8
"collaborative problem solv",2,0,0,1,1
"collaborative problem solving (cps)",1,0,0,1,0
"collaborative program",1,0,0,0,1
"collaborative reflect",1,0,1,0,0
"college-level educ",1,0,0,0,1
"college course classif",1,0,0,1,0
"comments data min",1,0,1,0,0
"communication strategi",2,0,0,1,1
"community of inquiri",1,0,0,0,1
"community of inquiry model",1,0,0,1,0
"comparative learn",1,0,1,0,0
"compet",1,0,0,1,0
"competence develop",1,0,0,1,0
"competit",1,0,0,1,0
"compilation error",1,0,0,0,1
"compiler design",1,0,1,0,0
"compound schem",1,0,0,1,0
"comprehension model",1,0,0,0,1
"comprehension predict",1,0,1,0,0
"computational linguist",3,1,1,0,1
"computational model",2,0,0,0,2
"computational model-build",1,0,0,0,1
"computational think",9,2,1,5,1
"compute pearson correl",1,0,1,0,0
"computer-based exam",1,0,0,0,1
"computer-based learn",1,0,0,0,1
"computer-based learning environ",1,0,1,0,0
"computer-supported collaborative learn",3,1,0,0,2
"computer adaptive test",1,0,0,1,0
"computer assisted language learn",1,0,0,0,1
"computer graph",1,0,0,1,0
"computer program",2,1,0,0,1
"computer sci",3,1,1,1,0
"computer science educ",6,2,1,1,2
"computer support cooperative work",1,0,1,0,0
"computer supported collaborative learn",2,0,0,1,1
"computer vis",2,0,0,1,1
"computerize adaptive test",1,0,1,0,0
"computerized adaptive test",2,1,0,0,1
"computing educ",2,0,0,1,1
"concept-based student model",1,1,0,0,0
"concept map",7,1,2,1,3
"concept map assessment method",1,0,0,1,0
"conceptual and perceptual process",1,0,1,0,0
"conceptual cod",1,0,0,1,0
"conceptual database design",1,0,0,0,1
"conceptual knowledg",1,1,0,0,0
"conceptual learn",1,0,0,1,0
"conceptual model",1,0,0,1,0
"conceptual phys",1,1,0,0,0
"conceptual sali",1,0,0,0,1
"conceptual think",1,0,0,1,0
"confid",1,0,0,0,1
"confidence tag",1,0,0,1,0
"confirmation bia",1,1,0,0,0
"confus",4,1,0,0,3
"confusion resolut",1,0,1,0,0
"connection mak",2,1,1,0,0
"conscienti",1,0,0,0,1
"constraint-based model",1,0,0,1,0
"constraint based model",1,0,0,1,0
"constraint handling rules (chr)",1,0,1,0,0
"constructed respons",1,0,0,1,0
"construction",1,0,0,1,0
"constructiv",2,0,1,0,1
"constructive feedback",1,0,0,0,1
"contemporary educational psycholog",1,0,1,0,0
"content analysi",2,0,0,1,1
"content evalu",1,0,0,0,1
"content recommend",1,0,1,0,0
"context model",1,0,0,0,1
"contextual effect",1,1,0,0,0
"contingent scaffold",2,0,0,0,2
"control variable strategi",1,0,0,1,0
"controlled studi",1,0,0,0,1
"converg",1,0,0,1,0
"convers",1,1,0,0,0
"conversation-based assess",1,0,0,1,0
"conversational ag",4,0,0,1,3
"conversational dialog system",1,0,0,1,0
"conversational pedagogical ag",1,0,0,0,1
"cooper",1,0,0,0,1
"core expertis",1,0,0,1,0
"coreference link",1,0,0,0,1
"corpus linguist",2,1,1,0,0
"corrected condit",1,0,1,0,0
"counter-argu",1,0,0,0,1
"counterexampl",1,0,0,1,0
"counterintuitive reason",1,0,0,0,1
"course author",1,0,0,1,0
"course evalu",1,0,0,1,0
"crf",1,1,0,0,0
"critical constructive feedback",1,0,0,0,1
"critical situ",1,0,0,1,0
"critical think",2,0,0,0,2
"cross-cultur",1,0,0,1,0
"cross-recurrence quantif",1,0,0,1,0
"cross-reference pattern",1,0,0,0,1
"crowd-sourcing authoring tool",1,1,0,0,0
"crowdsourc",3,0,0,0,3
"cs1",4,0,0,3,1
"cs2",1,0,0,1,0
"cscl",1,1,0,0,0
"cultur",4,1,1,2,0
"cultural clust",1,0,0,1,0
"cultural differ",1,0,0,1,0
"curios",1,0,0,0,1
"curriculum",1,0,0,0,1
"cusum",1,0,0,0,1
"cybersecur",1,0,0,0,1
"dashboard",4,0,0,3,1
"data-driven",2,0,1,1,0
"data-driven analysi",1,0,0,1,0
"data-driven approach",1,0,0,1,0
"data-driven hint",2,0,0,1,1
"data-driven instruct",1,0,0,1,0
"data-driven teacher support",1,0,0,1,0
"data-informed decis",1,0,0,0,1
"data annotation and collection cost",1,0,0,1,0
"data drift",1,0,0,0,1
"data drive approach",1,1,0,0,0
"data fus",1,0,0,0,1
"data min",7,2,3,0,2
"data mining and machine learn",1,1,0,0,0
"data preprocess",1,0,0,0,1
"data sci",1,0,0,0,1
"data storytel",1,0,0,0,1
"data structur",3,0,1,2,0
"data visu",3,0,0,1,2
"dataset",1,0,0,0,1
"dbgl",1,0,0,1,0
"decim",2,1,0,0,1
"decimal numb",1,0,0,0,1
"decision support tool",1,0,0,0,1
"decision theori",1,1,0,0,0
"decision tre",1,0,0,0,1
"deductive reasoning skil",1,0,0,1,0
"deep autoencod",1,0,0,1,0
"deep knowledge trac",3,0,0,1,2
"deep learn",17,0,1,7,9
"deep learning model",1,0,0,1,0
"deep neural network",5,0,0,1,4
"deep reinforcement learn",1,0,0,0,1
"dependency pars",1,0,1,0,0
"design",4,2,1,0,1
"design and formative studies of aied system",1,1,0,0,0
"design featur",1,1,0,0,0
"design of elearning system",1,1,0,0,0
"designing scaffold",1,1,0,0,0
"development of cognit",1,0,0,1,0
"deviance information criterion",1,1,0,0,0
"diagnostic assess",1,0,0,1,0
"dialect",2,1,1,0,0
"dialog",1,0,0,0,1
"dialog based tutor",1,0,0,1,0
"dialog construct",1,0,0,1,0
"dialogic instruct",1,0,0,0,1
"dialogu",3,2,0,0,1
"dialogue-based tutoring system",4,0,0,1,3
"dialogue act classif",1,0,1,0,0
"dialogue analysi",1,0,0,0,1
"dialogue based tutoring system",1,0,0,1,0
"dialogue breakdown detect",1,0,0,0,1
"dialogue mod",1,0,1,0,0
"dialogue system",3,1,0,0,2
"dialogue transit",1,1,0,0,0
"difficulty factor",1,1,0,0,0
"difficulty factors assess",2,0,0,2,0
"digital assistive tool",1,0,0,0,1
"digital divid",1,1,0,0,0
"digital learning gam",3,0,0,0,3
"digital librari",1,1,0,0,0
"digital media",2,0,0,2,0
"digital resourc",1,0,1,0,0
"digital scratchpad",1,0,0,0,1
"digital storytel",1,1,0,0,0
"digital transform",1,0,0,0,1
"discours",3,0,1,1,1
"discourse cont",1,0,0,0,1
"discoveri",1,1,0,0,0
"discrep",2,2,0,0,0
"discussion forum",1,0,1,0,0
"disengag",1,1,0,0,0
"distractor",1,0,1,0,0
"distributed system",1,1,0,0,0
"diversity analyt",1,0,0,1,0
"doc2vec",1,0,0,0,1
"doing scienc",1,0,0,1,0
"domain-specific learning appl",1,1,0,0,0
"domain characterist",1,1,0,0,0
"domain knowledg",1,0,0,1,0
"domain model",1,0,1,0,0
"domain modul",1,0,1,0,0
"domain reason",1,0,0,0,1
"dragoon",1,0,0,1,0
"drill down analysi",1,0,0,0,1
"drop-out predict",1,0,0,1,0
"dropout",2,0,0,0,2
"dropout predict",1,0,0,1,0
"dummy sentence card",1,1,0,0,0
"dutch semantic model",1,0,0,1,0
"dynamic assess",1,0,1,0,0
"dynamic commun",1,0,1,0,0
"dynamic graph",1,0,0,0,1
"dynamic open-ended learning environ",1,0,1,0,0
"dyscalculia",1,1,0,0,0
"e-assess",2,2,0,0,0
"e-educ",1,0,0,0,1
"e-learn",5,0,1,2,2
"e-learning system",1,1,0,0,0
"e-test",2,1,0,0,1
"early detect",1,0,0,0,1
"early dropout predict",1,0,0,1,0
"early math",1,0,1,0,0
"early warning system",1,0,0,0,1
"ecgd",1,0,1,0,0
"ecolog",2,0,0,1,1
"ecological approach",2,1,1,0,0
"eda featur",1,0,0,0,1
"edit dist",1,0,0,0,1
"editor rol",1,0,0,0,1
"edm",1,0,0,0,1
"educ",6,0,0,1,5
"education technolog",1,0,0,0,1
"educational affect",1,0,0,0,1
"educational appl",1,0,0,1,0
"educational argumentation system",1,1,0,0,0
"educational assess",1,1,0,0,0
"educational cont",1,0,1,0,0
"educational data analysi",1,0,0,1,0
"educational data min",23,3,8,8,4
"educational data mining (edm)",1,0,0,1,0
"educational data sci",1,0,0,1,0
"educational dialogue analysi",1,0,0,0,1
"educational gam",11,4,2,5,0
"educational measur",1,0,0,1,0
"educational neurosci",1,0,0,0,1
"educational process mining (epm)",1,0,0,1,0
"educational quest",1,0,0,1,0
"educational question answ",1,0,1,0,0
"educational question gener",1,0,0,0,1
"educational recommend",1,0,0,0,1
"educational recommender system",1,0,0,1,0
"educational scenario",1,0,1,0,0
"educational softwar",2,0,1,1,0
"educational system",2,0,0,1,1
"educational technolog",3,3,0,0,0
"educational technology design",2,0,1,1,0
"educational virtual world",2,0,0,2,0
"edx",1,0,0,1,0
"effect s",1,1,0,0,0
"effectiveness evalu",1,1,0,0,0
"effectiveness of itss",1,1,0,0,0
"efficaci",2,0,0,2,0
"effort",1,0,0,0,1
"eip",1,0,0,0,1
"electrical engin",1,0,0,1,0
"electrodermal act",1,0,0,1,0
"elements of gamif",1,0,0,0,1
"embedded assess",1,1,0,0,0
"embedded experi",1,1,0,0,0
"embodi",1,0,0,1,0
"embodied cognit",2,0,0,1,1
"embodied conversational ag",2,1,0,0,1
"emot",10,3,5,1,1
"emotion-aware system",1,0,1,0,0
"emotion detect",1,0,1,0,0
"emotion recognit",1,0,0,0,1
"emotion recognition engin",1,0,0,1,0
"emotion regul",1,0,1,0,0
"emotion self-report",1,0,0,1,0
"emotional clar",1,0,0,0,1
"emotional self-regulation skil",1,0,0,1,0
"empirical evalu",1,1,0,0,0
"empirical studi",2,1,1,0,0
"encyclopedia of lif",1,0,0,1,0
"engag",12,3,3,3,3
"engaged concentr",3,2,1,0,0
"engagement behavior",1,1,0,0,0
"engineering design",1,0,0,0,1
"english article system",1,1,0,0,0
"english language learner (ell)",1,0,0,1,0
"enhanced discovery learn",1,1,0,0,0
"enjoy",1,0,0,0,1
"enthusiasm",1,1,0,0,0
"entity vector embed",1,0,0,0,1
"entrain",2,0,0,1,1
"epistemic network analysi",2,0,0,1,1
"erroneous exampl",5,1,1,1,2
"error-based simul",1,0,0,1,0
"error-flagging feedback",1,0,0,0,1
"error analysi",1,0,0,0,1
"error diagnosi",3,1,0,2,0
"error record",1,0,1,0,0
"errors and learn",1,0,0,1,0
"essay writ",1,0,0,0,1
"ethic",3,0,0,0,3
"ethics educ",1,1,0,0,0
"evalu",6,3,1,2,0
"evidence-centered design",1,0,0,0,1
"evsi",1,1,0,0,0
"example usag",1,0,1,0,0
"executive funct",1,0,0,0,1
"exercise system",1,1,0,0,0
"expected characteristics of answ",1,0,0,1,0
"experimental studi",2,0,0,1,1
"expert knowledge bas",2,2,0,0,0
"expert skeleton map",1,0,1,0,0
"expertis",1,0,0,0,1
"explainable ai",1,0,0,0,1
"explan",1,0,0,0,1
"explanation skil",1,0,0,1,0
"exploratory data analysi",1,0,0,0,1
"exploratory essay",1,0,0,1,0
"exploratory learn",2,0,1,1,0
"exploratory learning environ",5,0,2,2,1
"exploratory talk",1,0,0,0,1
"extensive read",1,0,0,1,0
"eye-track",5,1,0,2,2
"eye-tracking studi",1,0,0,0,1
"eye gaze data analysi",1,0,1,0,0
"eye track",5,1,2,0,2
"face-to-face collabor",1,1,0,0,0
"facial action code system",1,1,0,0,0
"facial expression recognit",1,0,1,0,0
"facilit",1,1,0,0,0
"factor analysi",1,0,0,1,0
"fallaci",1,0,0,0,1
"false feedback",1,1,0,0,0
"fate",1,0,0,0,1
"feature engin",1,0,0,1,0
"feature fus",1,0,0,1,0
"feature process",1,1,0,0,0
"feature rank",1,0,1,0,0
"feature select",2,1,0,1,0
"feedback",9,1,3,2,3
"feedback choic",1,0,1,0,0
"feedback improv",1,0,0,1,0
"feedback medium",1,0,1,0,0
"feedback neglect",1,0,0,0,1
"feedback provis",1,1,0,0,0
"feedback support",1,0,0,1,0
"feeling of difficulty (fod)",1,0,0,0,1
"felder-silverman learning style model",1,0,1,0,0
"female stud",1,1,0,0,0
"fill in the blank",1,0,1,0,0
"first order log",2,0,2,0,0
"flow",1,0,0,0,1
"foreign languag",1,0,0,1,0
"forgetting curv",3,0,0,0,3
"formal",3,0,0,2,1
"formal domain",1,0,1,0,0
"formative assess",3,1,1,0,1
"formative feedback",1,1,0,0,0
"forum post",1,1,0,0,0
"fraction addit",1,1,0,0,0
"fraction learn",1,0,0,1,0
"framework",1,0,0,0,1
"frequent pattern min",1,0,0,0,1
"frustrat",6,2,0,1,3
"funtoot",2,0,0,1,1
"fuzzy log",1,0,0,1,0
"g2p",1,0,0,0,1
"galvanic skin response wristband",1,0,0,1,0
"game",3,0,0,2,1
"game-based assess",1,0,1,0,0
"game-based featur",1,1,0,0,0
"game-based learn",20,3,5,4,8
"game-based learning environ",8,0,2,2,4
"game-based practic",1,0,0,1,0
"game mechan",1,1,0,0,0
"game perform",1,0,0,0,1
"gamif",14,0,3,3,8
"gamification analyt",2,0,0,0,2
"gamified intelligent tutoring system",1,0,0,1,0
"gaming the system",5,1,0,3,1
"gated recurrent unit (gru)",1,0,0,0,1
"gaze",1,0,0,0,1
"gaze behavior",1,0,0,0,1
"gdpr",1,0,0,0,1
"gender",4,0,1,2,1
"gender differ",1,0,0,0,1
"gender in stem",1,0,0,0,1
"general",1,0,0,1,0
"generaliz",1,0,0,0,1
"generalization support",1,0,1,0,0
"generative strategi",1,0,0,1,0
"generic user model",1,0,1,0,0
"genet",1,0,0,1,0
"genetic counsel",1,0,0,0,1
"genetic process",1,1,0,0,0
"genetic risk commun",1,0,0,0,1
"genetics educ",1,1,0,0,0
"geometri",1,1,0,0,0
"gestur",1,1,0,0,0
"gesture-based interact",1,1,0,0,0
"goal-oriented practic",1,0,0,1,0
"goal related act",1,1,0,0,0
"google speech",1,0,1,0,0
"grade predict",1,0,0,0,1
"grader agr",1,0,0,1,0
"graduate stud",1,1,0,0,0
"graph community detect",1,0,0,1,0
"graph visu",1,0,0,0,1
"graphic",1,1,0,0,0
"graphical represent",1,1,0,0,0
"grit",1,0,0,1,0
"group communication analysi",1,0,0,0,1
"group composit",1,0,0,1,0
"group conversational ag",1,0,0,0,1
"group form",2,0,0,1,1
"group interact",1,0,0,1,0
"group learn",1,0,0,1,0
"group mentorship",1,1,0,0,0
"group process",1,0,0,0,1
"growth in inquiry perform",1,0,0,0,1
"guided practic",1,1,0,0,0
"hands-on",1,0,0,1,0
"haptic",1,0,0,1,0
"hci",2,2,0,0,0
"health literaci",1,0,0,0,1
"health numeraci",1,0,0,0,1
"healthcar",1,0,0,0,1
"heart rat",1,0,1,0,0
"help-giving-behavior",1,0,0,0,1
"help-seek",4,0,1,3,0
"help polici",1,1,0,0,0
"help seek",2,1,1,0,0
"heterogeneous trac",1,0,1,0,0
"heurist",1,0,0,0,1
"heuristic search",1,1,0,0,0
"hexaco",1,0,0,0,1
"hidden markov model",2,0,1,0,1
"hierarchical bayes model",1,0,1,0,0
"hierarchical clust",2,0,0,0,2
"hierarchical reinforcement learn",1,0,0,0,1
"hierarchical taxonomi",1,0,0,1,0
"higher educ",2,0,0,0,2
"hint",2,0,1,1,0
"hint gener",1,0,0,1,0
"hint qual",1,0,0,1,0
"hint typ",1,0,0,1,0
"hinting strategi",1,0,0,1,0
"histogram of partial similar",1,0,0,1,0
"historical think",1,0,1,0,0
"history learn",1,0,1,0,0
"hmm",1,1,0,0,0
"holistic interact",1,0,0,0,1
"homework",1,1,0,0,0
"homework select",1,0,0,0,1
"honesty-humil",1,0,0,0,1
"human- computer interact",1,1,0,0,0
"human-agent interact",1,0,0,1,0
"human-ai collabor",1,0,0,0,1
"human-ai hybrid",1,0,0,1,0
"human-ai interact",1,0,0,0,1
"human-centered design",1,0,0,0,1
"human-computer interact",2,1,1,0,0
"human-robot interact",1,0,0,0,1
"human language technolog",1,1,0,0,0
"human practition",1,0,0,1,0
"human problem solv",1,1,0,0,0
"human tutor",3,2,1,0,0
"human tutorial dialogu",1,0,1,0,0
"human–ai hybrid",1,0,0,0,1
"hybrid approach",1,1,0,0,0
"hybrid tutoring system",1,0,1,0,0
"hybrid user interfac",1,0,0,1,0
"hypergraph",1,1,0,0,0
"hypothesis test",1,0,0,0,1
"id3",1,0,1,0,0
"identification of learning styl",1,0,1,0,0
"ill-defined domain",6,3,0,3,0
"ill-defined domain of eth",1,0,1,0,0
"immediaci",1,0,0,1,0
"immediate feedback",1,1,0,0,0
"implicit link",1,0,0,1,0
"import",1,0,0,0,1
"importance sampl",1,0,1,0,0
"incept",1,0,0,1,0
"inclusive pedagogi",1,0,1,0,0
"incoming profil",1,0,0,0,1
"increase student engag",1,1,0,0,0
"increased student input",1,1,0,0,0
"incubation effect",1,0,0,1,0
"indigenous languag",1,0,0,0,1
"individu",3,2,0,0,1
"individual differ",1,1,0,0,0
"individualized feedback",2,0,0,1,1
"indoor localis",1,0,0,0,1
"industry 4.0",1,0,0,1,0
"infer",1,0,1,0,0
"informal learn",2,2,0,0,0
"informal log",2,0,0,1,1
"informal logical fallaci",2,0,0,2,0
"informal reason",3,0,0,2,1
"informal science educ",1,1,0,0,0
"information retriev",2,1,0,0,1
"information system",1,1,0,0,0
"inhibit",1,0,0,0,1
"inhibitory control",1,0,0,0,1
"initi",3,2,0,0,1
"innov",1,1,0,0,0
"inquiry-based learn",1,1,0,0,0
"inquiry-based model",1,0,0,0,1
"inquiry based learn",1,0,1,0,0
"inquiry learn",5,0,1,3,1
"inquiry skil",1,0,0,1,0
"inquiry task",1,1,0,0,0
"instance selection strategi",1,0,0,1,0
"instructional decis",1,0,0,0,1
"instructional design",2,0,0,0,2
"instructional explan",1,1,0,0,0
"instructional factor",1,0,0,1,0
"instructional intervent",1,0,0,1,0
"instructional plan",1,0,1,0,0
"instructional support",1,0,0,0,1
"instructional task",1,0,1,0,0
"instructional technolog",1,1,0,0,0
"instructional video",1,0,0,0,1
"instructor-mediated design",1,1,0,0,0
"instructor commun",1,0,0,1,0
"instructor non-verbal behavior",1,0,0,1,0
"integer program",1,0,0,1,0
"intellig",1,0,0,0,1
"intelligent ag",1,1,0,0,0
"intelligent collaborative support",1,0,0,0,1
"intelligent dashboard",1,0,0,0,1
"intelligent educ",1,0,0,0,1
"intelligent learning environ",1,0,1,0,0
"intelligent support",2,0,0,1,1
"intelligent system",1,0,0,0,1
"intelligent tutor",14,4,2,4,4
"intelligent tutor system",7,2,5,0,0
"intelligent tutoring system",113,31,30,34,18
"intelligent tutoring system (its)",3,1,0,2,0
"intelligent tutoring systems (its)",2,0,0,2,0
"inter-rater agr",1,0,0,1,0
