"Stem","Freq_13_20","Freq_13_14","Freq_15_16","Freq_17_18","Freq_19_20"
"goal set",2,0,2,0,0
"goalexpect",1,1,0,0,0
"google doc",1,1,0,0,0
"gpa",1,0,0,0,1
"grade",1,1,0,0,0
"grade go",1,0,0,1,0
"grade predict",3,0,0,1,2
"gradient boosting decision tre",1,0,0,0,1
"graph",2,2,0,0,0
"graph algorithm",1,0,0,1,0
"graph featur",1,0,0,1,0
"ground",1,0,1,0,0
"group concept map",2,1,1,0,0
"group differenti",1,0,1,0,0
"group recommend",1,0,0,1,0
"group support",1,0,0,0,1
"groupwar",2,0,2,0,0
"groupwork",1,0,0,1,0
"guidance counselor",1,0,0,1,0
"hackathon",1,0,0,1,0
"hadoop",1,0,1,0,0
"handwrit",1,0,1,0,0
"hashtag",1,0,0,0,1
"hashtag analysi",1,0,1,0,0
"hci",1,0,1,0,0
"health",1,0,1,0,0
"health literaci",1,0,0,0,1
"health professions educ",1,0,0,0,1
"heart-rate vari",1,0,0,1,0
"help-seek",1,0,0,1,0
"help seek",1,0,0,1,0
"heterogeneous information network",1,0,0,0,1
"hidden assumpt",1,0,0,1,0
"hidden markov model",1,0,0,0,1
"hidden naive bay",1,0,1,0,0
"hierarch",1,0,0,0,1
"hierarchi",1,0,0,0,1
"hierarchical linear model",3,0,1,0,2
"hierarchical topic detect",1,0,0,0,1
"high-resolution social network",1,0,1,0,0
"high-stakes test",1,0,0,1,0
"high stakes test",1,1,0,0,0
"higher educ",32,9,6,10,7
"higher education institut",1,0,0,0,1
"hint",1,1,0,0,0
"hint us",1,0,1,0,0
"hull-white model",1,0,0,0,1
"human",2,2,0,0,0
"human-centred design",1,0,0,0,1
"human-computer interact",2,0,1,1,0
"human computer interact",1,0,0,0,1
"human factor",3,2,0,0,1
"human freedom",1,0,1,0,0
"humancomputer interfac",1,0,0,0,1
"hybrid human-system intellig",2,0,0,0,2
"icap",1,0,0,0,1
"idea",1,0,0,0,1
"idea flow",1,1,0,0,0
"idea measur",1,0,0,1,0
"imbalanced data",1,0,0,1,0
"immersive learning environ",1,0,0,1,0
"immersive virtual world",1,0,0,0,1
"immigr",1,0,0,1,0
"impact analysi",1,1,0,0,0
"implement",2,1,1,0,0
"improvement sci",1,0,0,1,0
"improving classroom teach",1,0,0,0,1
"ims calip",1,0,1,0,0
"indegree centr",1,1,0,0,0
"index method",1,1,0,0,0
"indic",2,1,1,0,0
"indicators of social act",1,0,0,1,0
"indirect control",1,0,0,0,1
"individu",3,0,2,1,0
"individual differ",3,0,3,0,0
"individual model",1,0,0,0,1
"indoor posit",1,0,0,1,0
"inductive reason",1,0,0,0,1
"inequ",1,0,0,1,0
"influence maxim",1,0,0,1,0
"influential team form",1,0,0,1,0
"informal cognit",1,1,0,0,0
"informal learn",2,0,1,1,0
"information-processing theori",1,0,0,1,0
"information find",1,0,0,1,0
"information model",1,0,1,0,0
"information polici",1,0,0,1,0
"information retriev",1,0,0,1,0
"information retrieving tool",1,0,1,0,0
"information spread",1,0,0,1,0
"information theori",1,0,0,0,1
"information vi- su",1,0,1,0,0
"information visu",4,0,0,4,0
"information visualis",1,1,0,0,0
"information visualisa-t",1,0,1,0,0
"informed cons",2,0,1,0,1
"inquiri",1,0,0,1,0
"inquiry-based learn",1,0,0,1,0
"inquiry-based pedagogi",1,0,1,0,0
"insight",1,0,0,1,0
"inspiration card",1,0,0,0,1
"institutional cultur",1,0,0,1,0
"institutional learning analyt",1,0,0,1,0
"institutional learning environ",1,0,0,1,0
"institutional prepared",1,0,1,0,0
"instructiona design",1,0,0,1,0
"instructional assess",1,0,1,0,0
"instructional design",3,0,1,1,1
"instructional polici",1,0,1,0,0
"instructor support",1,0,1,0,0
"instrument valid",1,0,0,0,1
"integr",4,0,2,1,1
"intelligent ag",1,1,0,0,0
"intelligent author",1,0,1,0,0
"intelligent character recognit",1,0,1,0,0
"intelligent curriculum",1,0,0,0,1
"intelligent tutoring system",18,2,4,9,3
"intelligent tutoring systems (its)",1,0,0,1,0
"interact",2,0,0,1,1
"interaction analysi",2,1,1,0,0
"interaction analysis ind",1,1,0,0,0
"interaction design",2,1,1,0,0
"interaction profil",1,0,0,0,1
"interaction techniqu",1,1,0,0,0
"interactive visu",2,1,0,1,0
"interception predict",1,0,0,0,1
"interest rate model",1,0,0,0,1
"interleav",1,0,0,0,1
"intern",1,0,1,0,0
"international assess",1,0,0,1,0
"internet of th",2,0,0,1,1
"interoper",1,0,0,1,0
"interpersonal interact",2,0,2,0,0
"interpret",3,2,0,0,1
"interpretable machine learn",1,0,0,0,1
"interrater reli",1,0,0,0,1
"intervent",7,2,4,0,1
"intervention design",2,1,1,0,0
"intervention evalu",1,0,0,1,0
"introductory program",2,0,0,1,1
"iot",1,0,0,0,1
"irt",2,1,0,1,0
"it",2,0,1,0,1
"item pool",1,0,0,1,0
"item respons",1,0,0,0,1
"item response theori",3,0,0,1,2
"iterative design",1,0,0,1,0
"job interview",1,0,0,1,0
"journal writ",1,0,1,0,0
"judgments of learn",1,0,0,1,0
"k-12",2,0,0,2,0
"k-12 computer science educ",1,0,1,0,0
"k-12 educ",1,0,0,0,1
"k-nearest neighbour",1,1,0,0,0
"kernel density estim",1,0,1,0,0
"kernel funct",1,0,1,0,0
"keyword extract",1,1,0,0,0
"keywords microgenetic research",1,1,0,0,0
"keywords student engag",1,1,0,0,0
"khan academi",1,0,1,0,0
"kinect",1,0,1,0,0
"knn",1,0,1,0,0
"knowledg",1,0,1,0,0
"knowledge artifact",1,1,0,0,0
"knowledge build",3,2,1,0,0
"knowledge commun",1,1,0,0,0
"knowledge compon",4,0,1,2,1
"knowledge component model",1,0,1,0,0
"knowledge cr",2,1,0,0,1
"knowledge gap measur",1,0,0,0,1
"knowledge model",3,0,1,0,2
"knowledge retent",2,0,1,1,0
"knowledge trac",5,0,1,1,3
"la",1,0,0,1,0
"lace project",1,0,1,0,0
"ladder",1,0,0,0,1
"lag-sequential analysi",1,1,0,0,0
"lak",1,1,0,0,0
"lambdamart",1,0,0,0,1
"languag",1,0,1,0,0
"language learn",3,2,1,0,0
"language model",1,0,0,0,1
"language train",1,0,0,1,0
"large-scale analyt",1,0,0,0,1
"large enrollment cours",1,0,1,0,0
"large lectur",1,0,0,0,1
"latent semantics analysi",1,0,0,1,0
"latent traits estim",1,0,0,0,1
"latent transition analysi",1,0,0,1,0
"latex",1,0,1,0,0
"layer-wise relevance propag",1,0,0,0,1
"lda",4,2,2,0,0
"lda topic model",1,0,1,0,0
"leadership",2,1,0,1,0
"leagu",1,0,0,0,1
"leaning analyt",1,1,0,0,0
"learn",8,1,5,2,0
"learn by do",1,0,1,0,0
"learner-centered analyt",1,0,1,0,0
"learner-centred analysi",1,0,0,1,0
"learner-centric learning analyt",1,0,0,1,0
"learner analyt",1,1,0,0,0
"learner awar",1,0,0,1,0
"learner behavioral model",1,0,1,0,0
"learner behaviour",1,0,0,0,1
